"url","title","categories","reuse_notes","source_files"
"https://4713562.fs1.hubspotusercontent-na1.net/hubfs/4713562/Teacher%20Portal/Navigating%20Palestines%20struggle%20through%20faith/Lesson%20plan.pdf","Navigating Palestine’s Struggle Through Faith—Lesson Plan","research-reference","","agents/muslingo-islamic-studies-curricula-research.md"
"https://about.duolingo.com/","company/product overview","research-reference","","agents/muslingo_quranic_arabic_course_research_2026-09-10.md"
"https://academy.arabic101.org/course-2-quran-mastery","Quran Mastery","research-reference","","agents/muslingo-competitive-pedagogy-2026-09-10.md; agents/muslingo_quranic_arabic_course_research_2026-09-10.md"
"https://academy.arabic101.org/course-3-how-to-understand-the-quran-in-arabic","Understand the Quran in Arabic","research-reference","","agents/muslingo-competitive-pedagogy-2026-09-10.md"
"https://academy.arabic101.org/courses","course catalogue","Official playlist; Quranic Arabic; research-reference","https://store.arabic101.org/85landing/","agents/muslingo-competitive-pedagogy-2026-09-10.md; agents/muslingo_course_source_table_2026-09-10.csv; agents/muslingo_quranic_arabic_course_research_2026-09-10.md"
"https://academy.arabic101.org/courses/arabic-vowels-system","Arabic Vowels System","research-reference","","agents/muslingo-competitive-pedagogy-2026-09-10.md"
"https://academy.arabic101.org/courses/how-to-read-arabic-basics","How to Read Arabic Basics","research-reference","","agents/muslingo-competitive-pedagogy-2026-09-10.md"
"https://academy.arabic101.org/courses/msa-arabic-course","MSA Arabic Course","research-reference","","agents/muslingo-competitive-pedagogy-2026-09-10.md"
"https://academy.arabic101.org/courses/understand-the-holy-quran?current_page=2","Understand the Holy Quran","research-reference","","agents/muslingo-competitive-pedagogy-2026-09-10.md"
"https://academy.arabic101.org/guided-learning","Guided Learning","research-reference","","agents/muslingo-competitive-pedagogy-2026-09-10.md; agents/muslingo_quranic_arabic_course_research_2026-09-10.md"
"https://academy.arabic101.org/tiersplans3","Arabic101","Quranic Arabic; research-reference","https://store.arabic101.org/85landing/","agents/muslingo_course_source_table_2026-09-10.csv; agents/muslingo_quranic_arabic_course_research_2026-09-10.md"
"https://academy.seekersguidance.org/","SeekersGuidance Islamic Studies Curriculum","research-reference","","agents/muslingo-islamic-studies-curricula-research.md"
"https://academy.seekersguidance.org/?redirect=0&track=odc","Just a moment...","Classical and MSA; islamic-studies; research-reference","Free enrollment does not imply redistribution; seek permission; No republication grant; https://academy.seekersguidance.org/?redirect=0&track=odc","agents/muslingo_course_source_table_2026-09-10.csv; agents/muslingo_quran_tajwid_sources_2026-09-10.csv; agents/muslingo_quranic_arabic_course_research_2026-09-10.md; islamic-source-metadata-2026-09-10.json"
"https://academy.seekersguidance.org/mod/page/view.php?context=191073&id=15700","On Worship: Shurunbulali’s Ascent to Felicity","research-reference","","agents/muslingo-islamic-studies-curricula-research.md"
"https://academy.seekersguidance.org/mod/page/view.php?context=323702&id=26491","An Introduction to the Science of Hadith: Bayquni’s Hadith Terminology","research-reference","","agents/muslingo-islamic-studies-curricula-research.md"
"https://alhudaonline.org/about","AlHuda Online","","Reference only","agents/muslingo_quran_tajwid_sources_2026-09-10.csv"
"https://alhudaonline.org/online-courses","AlHuda Online","","No reuse grant","agents/muslingo_quran_tajwid_sources_2026-09-10.csv"
"https://alhudaonline.org/welcome-to-al-huda-international","AlHuda Online","","Reference only","agents/muslingo_quran_tajwid_sources_2026-09-10.csv"
"https://alquran.cloud/api","AlQuran.cloud","","Aggregator/source terms apply","agents/muslingo_quran_tajwid_sources_2026-09-10.csv"
