product,product_status,segment,platforms_regions_languages,onboarding,diagnostic,learning_path,memorization_srs,speech_feedback_claim,speech_claim_honesty,reader_audio,ai,teacher_human_review,gamification,voice_privacy,free_paid_limits,strengths,weaknesses,switch_trigger_to_muslingo,evidence_status,evidence_date,official_urls
Tarteel AI,active; 20M+ downloads claimed on official pricing page,AI Quran memorization and recitation,iOS; Android; web; multilingual; global,account or direct Quran use; goals and memorized range setup,no broad reading/tajwid placement found,memorization planning; suggested tests; Weakest Link uses mistakes and recency,mistake history and recency-aware review; interval formula not published,"real-time word, skipped-word and tashkeel mismatch detection",confirmed scope is memorization/word and tashkeel mistakes; official help acknowledges it does not recognize tajwid mistakes as a full tajwid teacher would,full Quran; multiple reciters; repeat; translations; tafsir; downloads,voice search; follow-along; mistake detection; analytics,not found in core app,streaks; goals; badges; challenges,recordings and AI-training controls documented; deletion and opt-out help available; child-specific voice controls not found,free reader/follow-along/voice search/streaks; Premium USD 7.50 monthly billed annually; Family USD 13 monthly billed annually,best-known real-time hifz error loop; mature history and analytics,premium wall around mistake detection; no public independent accuracy/fairness benchmark; no qualified tajwid certification,"Muslingo can combine honest word-level feedback with meaning, prerequisite lessons, spaced repair drills and teacher escalation",confirmed core features/pricing/privacy; inference on strategic strengths; not found independent validation and child safeguards,2026-09-11,https://tarteel.ai/en/pricing | https://support.tarteel.ai/en/articles/12267535-can-i-use-tarteel-for-free | https://support.tarteel.ai/en/collections/15105266-tarteel-features | https://support.tarteel.ai/en/collections/15105282-troubleshooting-and-support | https://tarteel.ai/privacy
HIFZ,active; official support updated 2026,structured hifz companion,iOS; Android; public language/region inventory not found,guest/local progress or account sync; select Al-Fatihah or any surah,no broad skill diagnostic found,listen; read along; repeat; recall; Practice queue,"explicit Sabaq, Sabqi and Manzil spaced review",microphone-based recitation aid; manual mode remains available,"officially says companion, not teacher replacement; public model benchmark not found",ayah audio and guided repetition; offline envelope not fully documented,recitation assistance and adaptive scheduling,teacher pairing recommended; no embedded marketplace found,progress and daily practice; detailed reward system not found,guest progress local; account deletion documented; voice processor/retention detail not found,price not consistently exposed on reviewed official pages,clear traditional hifz workflow and honest teacher boundary,"limited public detail on model, languages, accessibility, children and pricing","Muslingo can add diagnostic routing, meaning tasks and transparent error confidence to the same disciplined review model",confirmed workflow and boundary; not found accuracy/pricing detail; inference on switch trigger,2026-09-11,https://gethifz.com/ | https://gethifz.com/support
Sadr,active; iOS and Android stated,privacy-first Quran memorization,iOS 16+; iPadOS 16+; Android; English/French/Arabic/Turkish/Indonesian,goal and learner-profile intake; account supports sync,initial evaluation result/persona stored; method not published,personalized path; daily goals; guided review,adaptive SRS tied to verse performance,native iOS/Android speech recognition verifies recitation verse by verse,confirmed as verse recognition; no public tajwid or phoneme validation,reader; translations; reciter audio; background playback; speed control,personalization and voice analysis,not found,badges; achievements; daily goals,audio processed in real time through native system APIs and not stored on Sadr servers; Apple/Google processing policies apply,public price not found,clear privacy statement; on-device/native architecture; multilingual,new product; no independent validation; child use disallowed under 13; no human correction,"Muslingo can preserve local-first privacy while adding sourced meaning, learning prerequisites and teacher-reviewed tajwid checkpoints",confirmed privacy/features; not found pricing/validation; inference on differentiation,2026-09-11,https://sadr.app/ | https://sadr.app/privacy | https://sadr.app/terms | https://apps.apple.com/us/app/sadr-quran-memorization/id6762648928
Mualim,active; guided programs updated 2026,Quran memorization and revision,iOS; Android; smartphones/tablets; 11 interface languages claimed; Hafs,"choose surah, memorization method and program",no formal placement found,three memorization programs and two retention programs; daily plan,structured revision focuses on weakest surahs; exact scheduler not public,"Detector, Corrector and vocal quiz identify Quranic words/verses","officially states it does not assess tajwid or pronunciation; results vary by device, connection and environment",full Quran; translations; reciter audio; quizzes,speech recognition and adaptive program,not found,quizzes and progress; detailed rewards not found,privacy controls referenced; exact voice retention/processor details not found on reviewed product page,free/paid offers vary by platform; exact current public price not stable,excellent claim honesty; flexible methods; similar-verse Binder,no teacher loop; no published accuracy; Warsh only planned,Muslingo can offer the same honest mismatch label plus pronunciation-specific micro-lessons and verified human review,confirmed feature and limitation language; not found model/privacy detail; inference on strategy,2026-09-11,https://mualim-app.com/en | https://apps.apple.com/us/app/mualim-master-the-quran/id6471001108
Tasmi,active official site,family and tutor hifz practice,"web/app availability stated; exact stores, regions and languages not fully found",family/tutor setup and practice between live lessons,not found,structured practice positioned between teacher sessions,review workflow described; algorithm details not found,recitation feedback positioned as practice support,"official positioning says honest feedback between live lessons, not instead of a teacher",audio-led memorization; full reader scope not found,recitation assistance claimed; technical method not found,family/tutor-centered model,not found,"voice retention, processor, deletion and child-consent detail not found",pricing not found on reviewed public page,correct product boundary and family/tutor framing,"thin public evidence for platforms, curriculum, pricing and privacy",Muslingo can provide a more complete daily route while retaining explicit teacher authority and family controls,confirmed positioning only; substantial not found fields; inference on switch trigger,2026-09-11,https://www.tasmi.app/
TajweedMate,active; App Store version updated 2026,AI tajwid and Quran recitation practice,iPhone; iPad; Android; English plus Hausa and German added; global stores,"start from alphabet, tajwid lesson or Quran passage",no placement test found,choose lesson; listen; record; receive feedback; repeat,repeat-until-improved; no SRS found,AI speech analysis for recitation/tajwid practice,official privacy page says still under development and not a professional-teacher replacement,full Quran added; audiovisual examples; memorization passages,offline speech-analysis engine trained using 40+ reciters claimed,no built-in review; recordings can be shared externally with a teacher,scoreboard; Kids Theme; quizzes,evaluation offline; audio donation disabled by default and requires both opt-in and per-record send; erasure route documented,free download; in-app tips/Kids Theme; stable full pricing not found,strong listen-first loop; unusually explicit consent for model-improvement audio,no independent rule-level accuracy/fairness study; app-store and site messaging differ in confidence,"Muslingo can match consent clarity while adding confidence labels, item-level SRS and teacher disposition",confirmed workflow/privacy/store metadata; not found independent validation; inference on competitive position,2026-09-11,https://tajweedmate.com/ | https://tajweedmate.com/privacy.html | https://apps.apple.com/us/app/tajweedmate/id1547696689 | https://play.google.com/store/apps/details?id=com.tajweedmate.androidapp
Learn Quran Tajwid,active; official site and stores,self-study tajwid curriculum,iOS; Android; international; public language list incomplete,self-select level/topic,no diagnostic found,"23 topics with repeated Theory, Practice and Test sequence",no algorithmic SRS found,audio examples and practice; automated phoneme scoring not confirmed,scholar-certified marketing present; reviewer identities and validation detail not fully public,audio examples and practice passages; full reader not central,not found for adaptive AI assessment,usable with teacher; no in-app teacher workflow confirmed,tests and progression,policy allows personal data collection; voice-specific retention not found,free access with Pro/Pro+ offers; exact regional prices vary,clear compact tajwid syllabus and repeatable lesson structure,"limited adaptivity, retention engine and public assessment validity","Muslingo can turn this syllabus into contrastive listening, unseen transfer, voice retry and scheduled review",confirmed topic structure/policy; not found validation and voice handling; inference on strategy,2026-09-11,https://tajwid.learn-quran.co/ | https://tajwid.learn-quran.co/privacy-policy/ | https://tajwid.learn-quran.co/terms-of-use/
Quran Companion,"active Android product name; legacy memorization iOS listing unavailable, creating identity ambiguity",Quran super-app with gamified hifz; legacy product was memorization-focused,current Android; 9 languages claimed; legacy iOS status not found,direct access to 18+ tools,not found,"reader, daily inspiration and tool hub rather than a proven adaptive curriculum",gamified hifz named; scheduler details not found,not found,no public technical or accuracy claim found,full Quran; 6 reciters; tafsir; daily verse; bookmarks,AI-powered Quran search claimed,not found,reading streak and gamified hifz,Google Play developer declaration says no data collected/shared; separate detailed voice policy not relevant/not found,free install; paid limits not found,broad utility and language coverage,brand/name ambiguity; shallow public evidence for learning outcomes and SRS,"Muslingo can win through a focused, inspectable daily learning path instead of a generic tool bundle",confirmed current Play listing; legacy availability not found; inference on focus advantage,2026-09-11,https://play.google.com/store/apps/details?id=com.qurancompanion.app | https://apps.apple.com/us/app/quran-companion-memorize-quran/id1111843462
Quranly,active; Google Play updated 2026; 1M+ downloads shown,Quran reading habit,iOS; Android; 10+ languages claimed; global,set daily reading goal and begin,reading goal/level only; no skill diagnostic,personalized daily reading target,habit reminders; no ayah mastery SRS found,not found,not applicable,Quran reader; reciter audio; repeat; progress,personalization is goal-based; no learning AI evidence found,not found,streaks; tracker; challenges; reminders,"conflicting official disclosures: Google Play says no data collected, while the product privacy policy describes email, device/IP and advertising identifiers, purchases, usage data and service providers; voice is not core",free download with in-app purchases; exact offer varies,very low-friction habit loop and clean progress visualization,"habit is not demonstrated mastery; no pronunciation, teacher review or deep curriculum","Muslingo can convert an existing reading habit into a six-minute plan with meaning, retrieval, recitation and due reviews",confirmed habit claims; conflicting_official_disclosures for privacy; not found mastery evidence; inference on transition value,2026-09-11,https://www.quranly.app/ | https://www.quranly.app/privacy-policy | https://play.google.com/store/apps/details?id=com.quranly.app
Quranic,active official pricing,Quranic Arabic microlearning,iOS; Android; multiple interface languages; global,start with high-frequency words and stories,formal placement not found,"short vocabulary, grammar, story and translation lessons",explicit spaced repetition and customizable quizzes,not found,not applicable,lesson audio; offline word list and quizzes on paid tier,personalized quiz options; generative AI not found,not found,timed quizzes; social rooms/community,terms/privacy published; voice-specific privacy not applicable,free one lesson per 12 hours; Premium USD 49/year; Family USD 99/year,closest mature Quranic-Arabic retrieval product; clear monetization,no recitation assessment or teacher feedback; limited full reading/tajwid integration,"Muslingo can unite Quranic Arabic comprehension with actual ayah reading, hifz and pronunciation in one daily plan",confirmed curriculum/pricing; not found placement/speech; inference on integration advantage,2026-09-11,https://www.getquranic.com/learners/ | https://www.getquranic.com/pricing/ | https://www.getquranic.com/terms/
