product,category,primary_segment,availability,lesson_loop,lesson_loop_status,motivation,motivation_status,levels_and_path,levels_status,progress,progress_status,sources_and_reliability,sources_status,expert_review,review_status,languages,languages_status,price_snapshot,price_status,principal_gap,muslingo_relevance,source_urls,accessed_date
Sabinoor,Gamified Quran and Hadith,Teens; adults; families,iOS and Android claimed live,"Three-minute daily ladder: Essentials, Hadith, Quran, Quran; recitation practice",confirmed,XP; gems; streaks; freezes; leagues; duels; companions; cosmetic skins,confirmed,60-second placement; three difficulty tiers; full Quran and Hadith catalog claimed,confirmed,"Personal streaks, stats, family hub, advanced analytics on paid tier",confirmed,"Mushaf Uthmani, verified translation and Sahih al-Bukhari metadata are claimed; App Store privacy labels report tracking identifiers/diagnostics, third-party advertising and linked audio, email and user ID",conflicting_official_disclosures,Curriculum described as scholar-structured; reviewer identities and workflow not found,inference,English interface; broader language coverage not found,not found,Free curriculum; Plus $13.99/month or $84.99/year; Al-Ihsan $29.99/month or $169.99/year; family plans; 7-day trial,confirmed,"Speech claims include pitch, timing and madd, but public validation and teacher agreement data were not found; privacy marketing requires reconciliation with App Store data labels",Closest direct benchmark for Muslingo daily learning loop; validate rather than copy its AI claims,https://sabinoor.com/ | https://apps.apple.com/us/app/sabinoor/id6765837763,2026-09-11
Irshad,Bite-sized Islamic studies,Adults; new and returning learners,iOS live,"Short structured lessons, quizzes, missed-question review and spaced repetition",confirmed,Daily streak,confirmed,"Subject tracks include fiqh, hadith, aqeedah, seerah, Quranic sciences, usul al-fiqh and history",confirmed,Course completion and error review are described; granular mastery model not found,inference,Listing says material is based on classical Islamic sources; row-level citations not verified,confirmed,Named scholar or review board not found,not found,English,confirmed,Free on the reviewed App Store listing,confirmed,Very small public review base and no transparent source/reviewer workflow,Strong benchmark for low-friction adult foundations and compact lessons,https://apps.apple.com/us/app/irshad-islamic-learning/id6761447206,2026-09-11
LearnDeen,Gamified Islamic quiz,Teens; adults,Google Play live,Five-minute lessons and sourced quiz explanations across seven categories,confirmed,Combo; XP; gems; badges; streak; six ranked leagues; timed lives,confirmed,Category progression and ranked seasons; prerequisite map not found,confirmed,Scores and league progress; durable concept mastery not found,inference,Claims every answer is sourced from Quran and Sunnah,confirmed,Named qualified reviewers and correction workflow not found,not found,English on reviewed listing,confirmed,Free download; precise in-app pricing not found,not found,Quiz-heavy loop can reward recognition and speed more than transfer or application,Benchmark for energetic motivation; Muslingo should tie rewards to delayed mastery,https://play.google.com/store/apps/details?id=com.learndeen.learndeen,2026-09-11
DeenUp,Swipe-based Islamic learning,Teens; adults,iOS claimed live,"Swipe through short lessons, answer quick quizzes and return daily",confirmed,Daily streak and low-friction feed interaction,confirmed,Structured level map not found,not found,Completion and streak implied; detailed learning analytics not found,inference,Claims Quran and authentic Sunnah grounding,confirmed,Claims qualified-scholar review; public reviewer list/workflow not found,confirmed,English; other languages not found,not found,Price not found on reviewed official page,not found,Feed behavior may encourage consumption more than cumulative mastery,"Useful benchmark for discovery, but Muslingo should keep a directed path",https://www.deenup.app/,2026-09-11
Islam IQ,Islamic trivia and challenge,Teens; adults; families; schools,iOS live,"Topic-set practice, challenges and daily quiz",confirmed,Streaks; credits; bonuses; friend/family groups; global leaderboard,confirmed,Topic sets unlock as users grow; explicit prerequisite graph not found,inference,"Questions answered, accuracy, streak and percentile",confirmed,"Claims 4,500+ facts across Quran, Hadith, Seerah and fiqh; source display not confirmed",inference,Named expert review not found,not found,English,confirmed,"Free with in-app purchases; monthly, yearly and lifetime Premium named but exact prices vary by storefront",confirmed,Competitive rank is prominent while source and mastery transparency are weak,"Benchmark for social competition, with caution around religious status signaling",https://apps.apple.com/bz/app/islam-iq-quiz-learn-quran/id6760637065,2026-09-11
muslimquiz,Islamic quiz game,Teens; adults,Android live,"Category quizzes, timed challenge, guess-the-surah audio and daily question",confirmed,Points; high scores; streak; challenges; physical-card scanning,confirmed,12 challenge levels and 15 categories; curriculum sequence not found,confirmed,High score and daily streak; knowledge decay tracking not found,inference,Claims Quran and authentic Sunnah basis,confirmed,Reviewer identities and corrections not found,not found,English; German; French; Turkish,confirmed,Free; ads and in-app purchases; exact pack prices not found,confirmed,Broad recall game without demonstrated explanation depth or transfer assessment,Good benchmark for multilingual quiz variety and hybrid physical/digital packs,https://play.google.com/store/apps/details?id=com.muslimquiz.muslim_quiz_v1,2026-09-11
Salah - Learn How to Pray,Prayer instruction,Beginners; reverts; children; adults,iOS live,"Step-by-step salah and wudu with audio, illustrations, transliteration, translation and autoplay",confirmed,Guided completion; no XP or streak evidenced,not found,Five obligatory prayers; follows Hanafi method; learner chooses pace,confirmed,Progress model not found,not found,Developer discloses Hanafi scope and advises consulting trusted sources and scholars,confirmed,No named expert review found; developer explicitly acknowledges possible mistakes,confirmed,English plus 10 more languages,confirmed,Free; optional one-time Premium for reciters and illustration styles,confirmed,"No retrieval practice, assessment or demonstrated correction loop",Strong transparency benchmark for madhhab scope and humble safety language,https://apps.apple.com/us/app/salah-learn-how-to-pray/id6771000609,2026-09-11
Learn Salah - Prayer Guide,Prayer learning and habit,Beginners; reverts; families; pilgrims,iOS live,"Video/audio walkthroughs, layered Arabic/transliteration/translation, quizzes and offline practice",confirmed,Streak; freeze; Hasanat goal; XP; leagues; friends; badges; seasonal bonuses,confirmed,"Skill path plus salah, wudu, Taraweeh, Hajj and Umrah modules",confirmed,"Heatmap, monthly statistics, strengths/weaknesses and checklist",confirmed,Madhhab/source disclosure was not found on the reviewed listing,not found,Qualified reviewer evidence not found,not found,English,confirmed,Free with in-app purchases; exact price not found,confirmed,Many engagement mechanics surround worship; pedagogical and jurisprudential governance is unclear,"Benchmark for guided ritual learning and offline mode, not for religious authority",https://apps.apple.com/us/app/learn-salah-prayer-guide/id6759625943,2026-09-11
Prayer Teacher,Prayer instruction and tracker,Beginners; Turkish and multilingual users,iOS live,"Step-by-step daily prayers and wudu with audio, visual guidance and adjustable speed",confirmed,Prayer tracker and consistency insights; no game economy evidenced,confirmed,All daily prayers; male/female visual variants; learner-directed,confirmed,"Weekly progress, monthly completion and most consistent prayer",confirmed,Prayer-time source is shown; jurisprudential content sources not detailed,inference,Named scholar/reviewer not found,not found,Turkish; English; French; Arabic,confirmed,Free on reviewed listing,confirmed,Tracks behavior more than learning; no test or correction of understanding,"Benchmark for private, on-device practice records and source transparency",https://apps.apple.com/us/app/prayer-teacher-learn-salah/id6761936320,2026-09-11
SalahMate,Voice-guided prayer learning,New and existing Muslims,iOS live,"Practice and actual-prayer modes with voice recognition, animations, wudu and surah reading",confirmed,Prayer tracking; progress; no robust game loop evidenced,inference,Step-by-step stages and hands-free Jummah mode; formal levels not found,inference,Prayer consistency and lesson progression claimed,confirmed,Verified Quran translation claim appears for khutbah; broader source map not found,inference,Qualified religious review not found,not found,English,confirmed,Free on reviewed listing,confirmed,"High-risk live voice and AI-faith features lack public validation, scope and governance evidence",Useful interaction benchmark; Muslingo needs stricter claim boundaries and privacy detail,https://apps.apple.com/us/app/salahmate/id6754115719,2026-09-11
