Category,Provider,Offering,Primary_URL,Curriculum_URL,Pricing_URL,Terms_or_License_URL,Format,Current_price_note,Commercial_reuse_note
Quranic Arabic,Bayyinah,Dream Arabic,https://explore.bayyinahtv.com/arabic/,https://explore.bayyinahtv.com/arabic/,https://revealed.bayyinahtv.com/,https://bayyinah.com/terms-and-conditions/,Web app and video,"Free beginner playlist; full library USD 11/month or USD 112/year; named-country regional price USD 4.50/month or USD 45/year","Proprietary; written consent required for reproduction/distribution/modification"
Quranic Arabic,Quranic,App and Understanding Quranic Arabic,https://www.getquranic.com/learners/,https://courses.getquranic.com/courses/uqa,https://www.getquranic.com/pricing/,https://www.getquranic.com/terms/,Mobile app and prerecorded courses,"App free or USD 49/year Premium; family USD 99/year; course membership USD 30/month or USD 299/year","Proprietary; terms prohibit copying/resale/exploitation without permission"
Quranic Arabic,Arabic Unlocked,App and Academy,https://arabicunlocked.com/app/,https://arabicunlocked.com/academy/,https://arabicunlocked.com/,https://arabicunlocked.com/terms/,Mobile app and teacher-led academy,"GBP 9.99/month; GBP 47.99/six months; GBP 58.99/year; Academy promotional GBP 997/year","Personal use; copying/distribution/resale prohibited"
Quranic Arabic,Understand Al Quran Academy,Read and Understand Quran pathway,https://understandquran.com/,https://understandquran.com/how-to-access-courses-after-subscribing/,https://understandquran.com/online-madrasah/,https://understandquran.com/downloads/,Website videos apps and live classes,"Recorded courses free; overseas individual diploma USD 90/month; group/maktab USD 12/month","Free access is not a commercial license; downloadable works may carry copyright"
Quranic Arabic,Arabic101,Free courses and guided/live academy,https://arabic101.org/,https://academy.arabic101.org/courses/,https://academy.arabic101.org/tiersplans3/,https://store.arabic101.org/85landing/,Website app books video and live classes,"Self-study free; guided USD 40-60/month; live from USD 9/hour; ebook EUR 0-7.99","Copyrighted; free ebook option explicitly personal use only"
Quranic Arabic,AMAU Academy,Arabic with AMAU,https://helpdesk.amauacademy.com/articles/programs-and-study-paths/arabic-with-amau-explained/,https://helpdesk.amauacademy.com/articles/programs-and-study-paths/arabic-with-amau-explained/,https://www.amauacademy.com/pages/pricing,https://www.amauacademy.com/pages/pricing,Web/mobile subscription,"USD 15/month billed USD 180 annually","No open curriculum license found; treat subscription content as proprietary"
Classical and MSA,SeekersGuidance,Clear Learning Arabic and Mastering Arabic,https://academy.seekersguidance.org/?redirect=0&track=odc,https://academy.seekersguidance.org/?redirect=0&track=odc,https://academy.seekersguidance.org/?redirect=0&track=odc,https://academy.seekersguidance.org/?redirect=0&track=odc,Self-paced courses tutorials and mentoring,Free,"Free access does not confer commercial reuse; core textbook is third-party copyrighted"
Arabic literacy,Madinah Arabic,Arabic Reading and Grammar courses,https://madinaharabic.com/free-content/reading,https://madinaharabic.com/free-content/reading,https://madinaharabic.com/free-content/reading,https://madinaharabic.com/terms-of-service,Interactive website and tutoring,"Free public courses; tutoring separate","Terms describe access but no open content license"
Classical and Quranic,LQToronto,Madina Books archive,https://www.lqtoronto.com/downloads.html,https://www.lqtoronto.com/videodlmac.html,https://www.lqtoronto.com/downloads.html,https://www.lqtoronto.com/talkingarabic.html,Books audio and video archive,Free/non-profit,"Personal use only; no commercial use"
MSA app,AlifBee,Arabic From A to Z and Quranic curriculum,https://www.alifbee.com/en,https://www.alifbee.com/en,https://store.alifbee.com/products/alifbee-premium,https://www.alifbee.com/en/terms-conditions,Web iOS and Android,"About 20% free; store options start at AED 19 for one week; longer prices vary","Proprietary original content and service"
MSA app,Busuu,Complete Arabic A1-B2,https://www.busuu.com/en/course/learn-arabic-online,https://www.busuu.com/en/course/learn-arabic-online,https://www.busuu.com/en/premium-plans,https://www.busuu.com/en/terms,Web iOS and Android,"Free tier; Premium prices vary by regional checkout","Personal non-transferable non-sublicensable license; copying/resale prohibited"
MSA app,Duolingo,Arabic for English speakers,https://www.duolingo.com/course/ar/en/Learn-Arabic,https://www.duolingo.com/course/ar/en/Learn-Arabic,https://www.duolingo.com/course/ar/en/Learn-Arabic,https://www.duolingo.com/terms,Web iOS and Android,"Core free/ad-supported; paid plan prices vary by market/device","Proprietary; contact licensing for commercial collaboration"
MOOC,Khalifa University and Coursera,Arabic for Beginners specialization,https://www.coursera.org/learn/arabic-for-beginners-1-arabic-alphabet-and-phonology,https://www.coursera.org/learn/arabic-for-beginners-1-arabic-alphabet-and-phonology,https://www.coursera.org/learn/arabic-for-beginners-1-arabic-alphabet-and-phonology,https://www.coursera.org/about/terms,MOOC,"Enrollment can start free; paid certificate/Plus varies by market","University/Coursera copyrighted course; no republishing right"
Open course,Open University OpenLearn,Introduction to Arabic,https://www.open.edu/openlearn/education-development/introduction-arabic,https://www.open.edu/openlearn/education-development/introduction-arabic,https://www.open.edu/openlearn/education-development/introduction-arabic,https://www.open.edu/openlearn/education-development/introduction-arabic/altformat-printable,Open web course and downloadable formats,Free,"Course materials state all rights reserved unless otherwise stated"
Official playlist,Bayyinah,Dream beginner intensives,https://www.youtube.com/playlist?list=PLutdSTmJ7bAKZdXPAjG3-T7OuByMRYa6z,https://explore.bayyinahtv.com/beginner-arabic/,https://explore.bayyinahtv.com/beginner-arabic/,https://bayyinah.com/terms-and-conditions/,YouTube playlist,Free to view,"View/link/embed under platform rules; do not redistribute lesson assets"
Official playlist,Arabic101,Quranic Grammar Made Easy,https://www.youtube.com/playlist?list=PL6TlMIZ5ylgrtqN60yWKuS6xvPDUx6cNZ,https://academy.arabic101.org/courses/,https://academy.arabic101.org/courses/,https://store.arabic101.org/85landing/,YouTube playlist,Free to view,"Copyrighted; do not download/republish without permission"
