priority,horizon,move,target_user,user_problem,product_change,proof_metric,competitive_reason,dependency,decision
P0,0-30 days,Production readiness gates,All production users,"Growth would amplify incomplete identity, device and trust workflows","Finish email verification and recovery, authoritative step outcomes, speech quota/privacy controls, signed builds, physical-device QA and expert review ownership",All release gates pass on signed builds and physical devices,Reliability and trust are prerequisites for acquisition in a sensitive learning product,Email provider; store accounts; signing; devices; expert team,Build before growth
P0,0-30 days,Diagnostic that changes the path,Beginner and returning learner,Does not know where to start,2-4 minute adaptive diagnostic across letters decoding known surahs meaning recall and speech,At least 70% accept the recommended start; D7 completion uplift versus goal-only onboarding,Most competitors ask for a goal or content choice rather than measuring separate Quran skills,Validated item bank; skill graph; anonymous first-use analytics,Build
P0,0-30 days,Honest speech contract,All reciting learners,Cannot tell what the microphone really checked,Separate verse match vowel pattern timing probable phoneme issue and teacher-reviewed tajwid; always show confidence and retry,False-accept and false-reject rates by device and speaker cohort; teacher agreement,Direct AI competitors create value but reviews expose misses false flags and qiraat limitations,Evaluation corpus; consent; deletion; teacher rubric,Build and validate
P0,0-30 days,One daily decision,Busy adult,Too many sections and choices,Home CTA composes due review weak-skill repair one new item meaning task and optional voice,Assigned-review return rate; daily plan completion; median session 6-10 minutes,Superapps win breadth but leave a focused-learning opening,Knowledge state; scheduler; lesson prerequisites,Build
P0,0-30 days,Source and reviewer trust layer,Parent new Muslim and serious learner,Cannot judge whether a religious answer is trustworthy,Show source locator reviewer version correction history and scope on every faith lesson and AI answer,100% published faith claims have source and reviewer; correction SLA,Trust is a stronger durable moat than feature count,Editorial CMS; scholarly board; rights ledger,Build with experts
P0,0-30 days,Switching diagnostic,Users of Tarteel Quranly Sajda Quranic or generic readers,Does not want to restart from zero,Optional source-app question known-surah map reading-speed check weak-skill sample and instant seven-day plan,At least 50% of experienced users reach a credible non-beginner start in under 5 minutes,Removes the largest psychological switching cost without copying competitor data,Diagnostic; explicit consent; no credential collection,Build
P0,0-30 days,Claim discipline,All prospects,Marketing promises more than the product can prove,Publish a claim matrix with current evidence beta labels and prohibited comparisons,Zero unsupported app-store or landing claims; support tickets caused by misleading speech claims trend to zero,Trust failures are costly in a religious product,Product analytics; legal and expert review,Govern
P1,31-60 days,Ayah and skill memory engine,Quran and Arabic learner,Completes lessons but forgets components,Track letters words ayat meanings rules and pronunciation signals separately with due dates,D30 delayed-recall mastery; error recurrence; overdue-review recovery,Combines Anki-style item state with Quran-specific Sabaq Sabqi Manzil constraints,Knowledge graph; scheduler; progress integrity,Build
P1,31-60 days,Meaning inside recitation,Hifz and reader users,Can recite but does not understand,Attach vocabulary simple meaning context and retrieval prompt to the exact ayah being learned,Meaning-recall accuracy after 7 and 30 days,Tarteel is strong at hifz while Quranic is strong at meaning; integration is whitespace,Licensed translations and tafsir; reviewers,Build
P1,6-12 months,Private teacher escalation,Serious tajwid learner,AI uncertainty needs a human answer,Submit a short selected recording with rubric source model output and learner question,Teacher turnaround; agreement; resolved-error recurrence,Human review is the credible boundary competitors often lack,Qualified teacher network; payments; safeguarding,Partner and build
