source_id,provider,program_title,provider_type,country_or_region,target_age_or_stage,format,languages,sequence_and_scope,learning_objectives,assessment,safeguarding,scholarly_governance,declared_scope,license_and_reuse,primary_url,policy_or_license_url,verified_on,evidence_quality,muslingo_relevance
S01,Safar Publications,Learn about Islam Primary,Publisher and academy,UK,"5-11; adaptable to adults and new Muslims",Books workbooks teacher guides and training,English,"Six progressive books across aqidah fiqh history seerah and personal development","Differentiated lesson outcomes; knowledge practice character and life skills",Workbook marks mid-term and final tests with mark schemes,"Age-banding and classroom guidance; public child-protection process not found on curriculum page","Named Alimiyyah-trained authors editors teachers and researchers; ongoing corrections","Traditional Sunni; Hanafi fiqh; Shafii material in development","Copyrighted; reproduction or adaptation requires prior written permission",https://docs.safarpublications.org/article/179-is-the-islamic-studies-syllabus-for-me,https://safarpublications.org/help-center/islamic-studies/primary-islamic-studies-syllabus/can-i-print-or-reproduce-safar-publications-books-or-content/,2026-09-11,High,"Best benchmark for age progression teacher support and spiral strands"
S02,Safar Publications,Learn about Islam Secondary,Publisher and academy,UK,"11-16; also adults and youth groups",Books workbooks teacher guides and training,English,"Books 7-8 over four years; belief fiqh Quran seerah history technology money health and social ethics","Apply Islamic learning to identity adolescence modernity money and community life",Differentiated outcomes projects journals worksheets and formal assessments,"Adolescence and personal-health content is age-labelled; public safeguarding workflow not stated","Same Safar editorial team; classroom feedback and edition control","Traditional Sunni; Hanafi fiqh with stated school scope","Copyrighted; written adaptation permission required",https://safarpublications.org/help-center/islamic-studies/primary-islamic-studies-syllabus/what-should-i-teach-after-textbook-6/,https://safarpublications.org/help-center/islamic-studies/primary-islamic-studies-syllabus/can-i-print-or-reproduce-safar-publications-books-or-content/,2026-09-11,High,"Strongest benchmark for teen contemporary-life strand"
S03,Safar Publications,Journey2Jannah,Digital learning platform,UK,5-12,"Animated video micro-activities quizzes dashboards and gamification",English,"Digital implementation of Safar books 1-6; video then activity summary quiz and cumulative part quiz","Reinforce Islamic Studies and Quran reading through age-matched multisensory practice","Automated quizzes; 80 percent pass threshold; retries certificates progress dashboards","Parent and institute accounts; no public child-data or safeguarding specification found in curriculum docs","Safar-authored curriculum and reciter audio; institute monitoring","Same Sunni and Hanafi framing as Safar syllabus","Commercial platform; no open reuse right; permission required",https://journey2jannah.com/docs/what-is-the-structure-of-the-learning/,https://safarpublications.org/terms-conditions/,2026-09-11,High,"Closest direct product benchmark for Muslingo lesson mechanics"
S04,An Nasihah Publications,Islamic Curriculum Books 1-8,Publisher,UK,Young learners,"Eight coursebooks workbooks teacher handbook digital media quizzes and exam portal",English,"Seven strands over four terms: fiqh hadith seerah history aqaid akhlaq and adab","Age-relevant knowledge with Bloom-taxonomy activities and Australian capability mapping","Workbooks digital quizzes and exam portal","Child-friendly claim; no public safeguarding framework found","States authentic sources and verification by senior scholars; public reviewer identities limited","Sunni; separate Shafii fiqh product exists but default legal scope should be confirmed","No open licence found; permission required",https://an-nasihah.com/project/scope-and-sequence-books-1-8/,not_publicly_found,2026-09-11,High,"Useful strand map and cross-curricular capability benchmark"
S05,Weekend Learning Publishers,Revised Islamic Studies K-12,Publisher,USA,K-12,"Grade books teacher resources and school curriculum",English,"Quran hadith prophets aqidah fiqh seerah history ethics and contemporary issues recur by grade","Age-appropriate systematic religious literacy and application to Muslim life","Review questions activities and teacher-led school assessment; public common rubric not found","Age and grade selection; public safeguarding process not stated","Named authors and publisher editorial process; scholar sign-off detail limited on curriculum page","Sunni; madhhab scope not prominently declared","Copyrighted commercial books; no open adaptation licence found",https://weekendlearning.com/pages/curriculum,https://weekendlearning.com/policies/terms-of-service,2026-09-11,High,"Broad K-12 topic coverage including identity racism relationships and finance"
S06,International Curricula Organization,Islamic Studies Grades 1-12,Publisher and curriculum organization,Saudi Arabia and international,Grades 1-12,"Student textbooks activity books teacher manuals and e-learning",English and French,"Continuous grade sequence covering Quran Sunnah creed worship seerah manners identity and society","Build a knowledge base for faith identity practice and constructive interaction with others","Teacher manuals and activity books; assessment details vary by grade","Designed for international-school environments; public safeguarding policy not found","Organizational authorship and teacher manuals; named lesson-level reviewers not public","Sunni; exact madhhab treatment should be contractually confirmed","Commercial copyrighted curriculum; permission required",https://www.iconetwork.com/product-category/islamic-studies/,not_publicly_found,2026-09-11,High,"Complete grade architecture and multilingual-school benchmark"
S07,Darussalam,Islamic Education Series Grades 1-12,Publisher,Saudi Arabia and international,Grades 1-12,"Twelve connected textbooks",English with Arabic terms,"Tafsir hadith tawhid fiqh seerah etiquette recur at increasing depth","Develop continuous Islamic knowledge while retaining Arabic religious vocabulary","Examinable upper grades; public assessment design and rubrics not detailed","Age progression is stated; safeguarding process not public","Publisher-led content; reviewer and correction workflow not transparent on product page","Sunni with Athari-oriented publisher context; legal scope not explicit on page","Commercial copyrighted books; permission required",https://dar-us-salam.com/kids/educational-series/c61-islamic-education-series-grades-1-12-set-of-12-books.html,not_publicly_found,2026-09-11,Medium,"Spiral K-12 coverage benchmark; governance must be verified before partnership"
S08,Islamic Studies Standardized Tests,NISS National Islamic Studies Standards,Standards body,USA,Grades K-12,"Downloadable standards by strand",English,"Separate progression grids for aqidah fiqh akhlaq Quran seerah hadith and history","Define grade-level learning benchmarks for teaching and assessment",Standards designed to support standardized testing,"No dedicated safeguarding curriculum visible","National committee of scholars professors certified teachers and principals","Broad North-American Islamic-school standard; madhhab scope not stated","Copyright status not clearly open; use as benchmark only",https://isstschools.com/national_standard.html,https://isstschools.com/,2026-09-11,High,"Best source for atomized grade-level outcome mapping"
S09,SIFAH,Weekend Islamic School Curriculum,School and publisher,USA,Elementary through high school ages 5-16,"Books and downloadable syllabus",English,"Aqidah Quran and Sunnah seerah fiqh akhlaq repeated by age; high school adds comparative religion finance family and contemporary life","Move from basic recall to analysis of faith and modern social questions",Chapter exercises; public common assessment scheme not detailed,"Age-grouped delivery; public safeguarding framework not stated","Institutional syllabus; named scholarly review process not visible on page","Sunni; exact fiqh and aqidah scope should be confirmed","Copyrighted; no open licence found",https://sifah.org/year-high-school,https://sifah.org/,2026-09-11,High,"Useful teen scope including peer pressure media finance and plural society"
S10,Islamic Center of Maryland,Islamic Studies K-12 Curriculum 2025-26,Community school,USA,K-12,"Weekend school using grade texts and published curriculum PDF",English,"Spiral themes: faith worship character seerah prophets contemporary issues; environment and social media in middle grades","Apply Islamic values at home school and community with increasing analytical depth",Classroom assessment not fully specified in public PDF,"School delivery implies supervised classrooms; public curriculum PDF lacks explicit safeguarding protocol","Center administration and teaching staff; scholar-review chain not stated","Sunni community-school context","Curriculum PDF publicly viewable; no derivative licence stated",https://icomd.org/wp-content/uploads/Curriculum-2025-26.pdf,https://icomd.org/,2026-09-11,High,"Concrete grade-band example of social-media and environment progression"
