product,category,official_sources,placement,adaptive_path,spaced_repetition,speech_feedback,teacher_review,curriculum_depth,assessment,accessibility,privacy_child_safety,pricing_boundary,offline_audio,confirmed,evidence_gaps,inference_for_muslingo
"Tarteel","Quran memorization and recitation","https://support.tarteel.ai/en/collections/15105266-tarteel-features | https://support.tarteel.ai/en/articles/12267535-can-i-use-tarteel-for-free | https://tarteel.ai/privacy","Goal and memorized-range setup; no broad placement test documented","Weakest Link and suggested tests use mistakes, scores and recency","Personalized review signals; no published interval model","Real-time word and tashkeel mismatch feedback; not validated tajwid assessment","No teacher review in core app documented","Deep hifz practice; not a sequenced Arabic or faith curriculum","Hidden-text tests, mistake history, analytics","Tajweed colors are visual; public accessibility conformance not located","Privacy policy and account controls; child-specific controls not established","Core reading/listening free; AI memorization features Premium","Downloadable reciter audio","Feature set and limits confirmed by official help center","Independent efficacy benchmark, tajwid phoneme validity and child safeguards not published","Best benchmark for error-directed hifz, but Muslingo should keep explicit teacher boundary"
"Quranly","Quran habit","https://www.quranly.app/ | https://www.quranly.app/privacy-policy","Daily reading level/goal rather than skill diagnosis","Reading volume is described as personalized; no skill graph documented","Habit reminders and repeat audio; no item-level SRS documented","None documented","None documented","Quran reading habit, not a curriculum","Streak, reading time, verses and goals","Public accessibility statement not located","GDPR policy, guest use and deletion; collects account, device and usage data; child policy unclear","Free download with purchases; exact current offer is checkout-dependent","Listening and repeat features; full offline scope not verified","Habit mechanics and privacy terms confirmed","No evidence of recall scheduling or learning outcome assessment","Use its low-friction daily goal mechanics, not its reward counters as mastery evidence"
"HIFZ","Quran memorization","https://gethifz.com/ | https://gethifz.com/support","Starts from al-Fatihah or a selected surah; no diagnostic documented","Adaptive review around performance and review state","Explicit Sabaq, Sabqi, Manzil and spaced review","Word-level recitation aid; public validation benchmark not found","Officially recommends pairing with a qualified teacher; no built-in review marketplace documented","Focused, coherent hifz workflow","Listen, shadow, repeat, recall and review checks","Public accessibility conformance not located","Account deletion documented; teacher-not-replacement boundary; child policy not found","Current public price not consistently exposed","Audio-led practice; offline scope not confirmed","Workflow, deletion and teacher boundary confirmed","Speech validity, intervals, accessibility and child safety remain underdocumented","Strong model for a traditional review queue and honest AI limitations"
"Quran.com","Quran reader and study","https://quran.com/ | https://quran.com/privacy | https://api-docs.quran.com/docs/tutorials/content-sync/getting-started/","Immediate guest study; no placement","Personalized suggestions may use reading history; no adaptive course path","Goals and repeat audio; no formal learning SRS","None documented","No teacher review workflow in reader","Very deep reference layer: text, translations, tafsir, word-by-word and audio","Goals, reading progress, notes and bookmarks; few graded tasks","Broad web/app access; no public WCAG conformance found in reviewed pages","Nonprofit privacy policy; OAuth scopes, deletion and sensitive religious data guidance are unusually explicit","Free nonprofit product","Official Content Sync supports offline Quran resources","Content, API, offline and privacy architecture confirmed","No graded curriculum, speech grading or mastery validation","Use as trusted Quran data substrate, not as a substitute for Muslingo pedagogy"
"Mualim","Quran memorization","https://mualim-app.com/en","Learner chooses material/method; no formal placement found","Structured sessions vary by chosen memorization method","Revision and tests are structured; exact SRS formula not public","Word/verse mismatch detection; official site explicitly says it does not assess tajwid or pronunciation","No embedded teacher review confirmed","Full-Quran memorization practice with methods, translations and quizzes","Next/previous verse and surah-name quizzes plus live mismatch feedback","11 interface languages; accessibility statement not found","Public privacy controls exist; child-specific safeguards not confirmed","Free/paid offers vary by platform","Audio and practice features; exact offline envelope not verified","Mismatch-versus-tajwid boundary and feature set confirmed","No independent speech benchmark or child-safety evidence","Copy its precise non-tajwid wording and flexible memorization methods"
"Sadr","Quran memorization","https://sadr.app/ | https://sadr.app/terms | https://sadr.app/privacy","Personalized path claimed; diagnostic method not published","Adaptive SRS and personalized path claimed in official terms","Explicit adaptive spaced repetition","Native OS speech recognition with automatic verse analysis; not tajwid validation","No teacher review documented","Focused hifz and tartil workflow","Voice recitation and review states","Public accessibility statement not located","Audio processed through native system APIs; Apple/Google policies apply","Current price boundary not clearly published","On-device/native voice path; full offline content scope unclear","SRS, voice architecture and personalization claims confirmed in current terms","No published accuracy study, child controls or curriculum map","Useful privacy-first architecture benchmark; do not infer phonetic quality from verse recognition"
"Naml","Child Quran memorization","https://naml-app.com/en | https://naml-app.com/en/pricing | https://naml-app.com/en/legal/privacy","Parent enters age and memorization position","Per-child pace and assigned surah; parent controls promotion","Three mastery levels with 3-day and 7-day cooldowns","AI oral review is explicitly future work, not current","Parent-led exams and dashboard","38 surahs in phase 1; full 114 announced for phase 2","Listen, shadow, solo recite, parent-confirmed exam","11 languages and RTL; disability accessibility statement not found","Designed for parent-child use; separate child profiles and no child account needed for trial","All 38 current surahs free; Family EUR 6.99/month or EUR 69.90/year","Voice-led practice; offline not documented","Current versus future features, intervals, pricing and parent gate confirmed","No independent retention study or formal accessibility evidence","Best child-safety/product benchmark: parent approval must beat automatic promotion"
"TajweedMate","Tajwid and recitation","https://tajweedmate.com/ | https://tajweedmate.com/privacy.html","Starts at letters or chosen tajwid topic; no placement test documented","Learner repeats after feedback; no adaptive path model published","Repeat-until-improved; no SRS documented","Claims AI pronunciation/tajwid feedback; privacy page says offline evaluation and not a teacher replacement","No built-in teacher review","Letters through core rules including madd, izhar, ikhfa, iqlab and idgham","Theory/practice recording and quizzes","Kids Mode includes writing; accessibility conformance not located","Audio stays offline unless the user opts in and explicitly sends a recording; deletion route documented","Free download; in-app purchases appear in store listing","Core evaluation is described as offline","Offline audio handling, curriculum topics and opt-in donation confirmed","No independent model accuracy, dialect/age fairness or rule-level validation benchmark","Muslingo needs the same explicit recording consent, but stronger evaluation evidence"
"Learn Quran Tajwid","Tajwid curriculum","https://tajwid.learn-quran.co/ | https://tajwid.learn-quran.co/id/faq/","Self-select by level/topic; no diagnostic documented","Sequential topics but learner can choose freely","No algorithmic SRS documented","Narrated examples and practice; no verified automated phoneme scoring","Designed for self-study or use with a teacher; no in-app teacher workflow confirmed","23 structured topics from alphabet to waqf and makharij","Theory -> Practice -> Test for every topic","Multi-level beginner access; formal accessibility statement not found","Scholar-certified claim; detailed child/privacy controls need separate validation","Free access plus Pro/Pro+ platform offers","Audio examples; lifetime availability depends on service/platform continuity","Topic count and Theory-Practice-Test loop confirmed","Reviewer identities, assessment validity and accessibility not fully public","A strong minimum tajwid syllabus; Muslingo's 36 lessons need more transfer practice, not duplicate theory"
"Muslim Pro / Academy by Muslim Pro","Quran, faith and media","https://www.muslimpro.com/academy-islamic-courses/ | https://support.muslimpro.com/hc/en-us/articles/29158808395289-Quran-Learn-Memorisation | https://support.muslimpro.com/help/en/articles/privacy-policy","Beginner/intermediate/advanced course selection; no diagnostic confirmed","Content recommendations and memorization buckets; no item-level adaptive path documented","Needs Practice and Memorised states; no public interval algorithm","No automated Quran speech feedback documented","Live/Zoom classes with asatizah in Academy","Broad Quran, Arabic and Islamic media; curriculum depth varies","Course participation and self-marked memorization","Maturity ratings exist in Qalbox; parental controls were not available in documented first release","Terms restrict under-13 registration; privacy policy includes activity profiling and advertising disclosures","Beginner material free; advanced and Qalbox/Premium are paid with in-app pricing","Quran audio can be downloaded before memorization use","Memorization states, classes, age terms and privacy practices confirmed","No public mastery validity, current parental-control completion or SRS details","Breadth is not Muslingo's target; copy transparent maturity and data-use disclosures"
