"module_id","track","strand","sequence","module_title","learning_objective","difficulty","prerequisite","source_locator","rights_status","review_status","video_need","speaker_domain"
"QUR-001","Quran","Surah 1","1","Al-Fatiha / Аль-Фатиха: Каноническая карта","Ученик сможет находить границы суры и аяты по устойчивому локатору, не смешивая арабский текст с переводом; рабочий диапазон 1:1-7.","Beginner 1","Базовая диагностика Muslingo","Tanzil Quran Text v1.1 1:1-7 (https://tanzil.net/docs/download); Quran Foundation chapter/verses API, chapter 1 (https://api-docs.quran.com/docs/api-reference/); перевод/тафсир не выбран","Tanzil Quran Text: CC BY 3.0, verbatim only, attribution/link/notice required. Quran Foundation and each translation/tafsir/audio resource remain subject to current API and source-specific terms. Muslingo pedagogy must be original.","Planned, not publication-approved: canonical text checksum, edition-specific translation/tafsir rights, Islamic meaning review, qualified reciter/audio rights and accessibility QA required.","Не требуется; статическая схема","Редактор Корана и специалист по доступности"
"QUR-002","Quran","Surah 1","2","Al-Fatiha / Аль-Фатиха: Аудиокарта","Ученик сможет следить за последовательностью аятов по человеческой записи и возвращаться к точному месту после паузы; рабочий диапазон 1:1-7.","Beginner 1","QUR-001","Tanzil Quran Text v1.1 1:1-7 (https://tanzil.net/docs/download); Quran Foundation chapter/verses API, chapter 1 (https://api-docs.quran.com/docs/api-reference/); перевод/тафсир не выбран","Tanzil Quran Text: CC BY 3.0, verbatim only, attribution/link/notice required. Quran Foundation and each translation/tafsir/audio resource remain subject to current API and source-specific terms. Muslingo pedagogy must be original.","Planned, not publication-approved: canonical text checksum, edition-specific translation/tafsir rights, Islamic meaning review, qualified reciter/audio rights and accessibility QA required.","Не требуется; нужен лицензированный звук","Квалифицированный кари, Hafs an Asim"
"QUR-003","Quran","Surah 1","3","Al-Fatiha / Аль-Фатиха: Карта слов","Ученик сможет узнавать выбранные после лингвистической проверки слова в тексте и аудио без догадки по длине ответа; рабочий диапазон 1:1-7.","Beginner 2","QUR-002","Tanzil Quran Text v1.1 1:1-7 (https://tanzil.net/docs/download); Quran Foundation chapter/verses API, chapter 1 (https://api-docs.quran.com/docs/api-reference/); перевод/тафсир не выбран","Tanzil Quran Text: CC BY 3.0, verbatim only, attribution/link/notice required. Quran Foundation and each translation/tafsir/audio resource remain subject to current API and source-specific terms. Muslingo pedagogy must be original.","Planned, not publication-approved: canonical text checksum, edition-specific translation/tafsir rights, Islamic meaning review, qualified reciter/audio rights and accessibility QA required.","Опционально: короткая анимация сегментации","Преподаватель Quranic Arabic и кари"
"QUR-004","Quran","Surah 1","4","Al-Fatiha / Аль-Фатиха: Последовательность смысла","Ученик сможет восстанавливать только утверждённую редактором смысловую последовательность суры с указанием издания перевода; рабочий диапазон 1:1-7.","Intermediate 1","QUR-003","Tanzil Quran Text v1.1 1:1-7 (https://tanzil.net/docs/download); Quran Foundation chapter/verses API, chapter 1 (https://api-docs.quran.com/docs/api-reference/); перевод/тафсир не выбран","Tanzil Quran Text: CC BY 3.0, verbatim only, attribution/link/notice required. Quran Foundation and each translation/tafsir/audio resource remain subject to current API and source-specific terms. Muslingo pedagogy must be original.","Planned, not publication-approved: canonical text checksum, edition-specific translation/tafsir rights, Islamic meaning review, qualified reciter/audio rights and accessibility QA required.","Рекомендуется: объяснение редактора 2-4 мин","Исламский редактор с заявленной областью компетенции"
"QUR-005","Quran","Surah 1","5","Al-Fatiha / Аль-Фатиха: Цепочка хифза","Ученик сможет воспроизводить аяты по частям и целиком со скрытым текстом, отдельно измеряя порядок слов и качество чтения; рабочий диапазон 1:1-7.","Intermediate 1","QUR-004","Tanzil Quran Text v1.1 1:1-7 (https://tanzil.net/docs/download); Quran Foundation chapter/verses API, chapter 1 (https://api-docs.quran.com/docs/api-reference/); перевод/тафсир не выбран","Tanzil Quran Text: CC BY 3.0, verbatim only, attribution/link/notice required. Quran Foundation and each translation/tafsir/audio resource remain subject to current API and source-specific terms. Muslingo pedagogy must be original.","Planned, not publication-approved: canonical text checksum, edition-specific translation/tafsir rights, Islamic meaning review, qualified reciter/audio rights and accessibility QA required.","Не требуется; нужен A/B-аудиорежим","Кари и преподаватель хифза"
"QUR-006","Quran","Surah 1","6","Al-Fatiha / Аль-Фатиха: Отложенное мастерство","Ученик сможет через интервальную паузу показать чтение, продолжение, базовое понимание и воспроизведение без подсказки; рабочий диапазон 1:1-7.","Intermediate 2","QUR-005","Tanzil Quran Text v1.1 1:1-7 (https://tanzil.net/docs/download); Quran Foundation chapter/verses API, chapter 1 (https://api-docs.quran.com/docs/api-reference/); перевод/тафсир не выбран","Tanzil Quran Text: CC BY 3.0, verbatim only, attribution/link/notice required. Quran Foundation and each translation/tafsir/audio resource remain subject to current API and source-specific terms. Muslingo pedagogy must be original.","Planned, not publication-approved: canonical text checksum, edition-specific translation/tafsir rights, Islamic meaning review, qualified reciter/audio rights and accessibility QA required.","Опционально: итоговая обратная связь","Кари, исламский редактор и методист"
"QUR-007","Quran","Surah 91","7","Ash-Shams / Аш-Шамс: Каноническая карта","Ученик сможет находить границы суры и аяты по устойчивому локатору, не смешивая арабский текст с переводом; рабочий диапазон 91:1-15.","Beginner 1","Базовая диагностика Muslingo","Tanzil Quran Text v1.1 91:1-15 (https://tanzil.net/docs/download); Quran Foundation chapter/verses API, chapter 91 (https://api-docs.quran.com/docs/api-reference/); перевод/тафсир не выбран","Tanzil Quran Text: CC BY 3.0, verbatim only, attribution/link/notice required. Quran Foundation and each translation/tafsir/audio resource remain subject to current API and source-specific terms. Muslingo pedagogy must be original.","Planned, not publication-approved: canonical text checksum, edition-specific translation/tafsir rights, Islamic meaning review, qualified reciter/audio rights and accessibility QA required.","Не требуется; статическая схема","Редактор Корана и специалист по доступности"
"QUR-008","Quran","Surah 91","8","Ash-Shams / Аш-Шамс: Аудиокарта","Ученик сможет следить за последовательностью аятов по человеческой записи и возвращаться к точному месту после паузы; рабочий диапазон 91:1-15.","Beginner 1","QUR-007","Tanzil Quran Text v1.1 91:1-15 (https://tanzil.net/docs/download); Quran Foundation chapter/verses API, chapter 91 (https://api-docs.quran.com/docs/api-reference/); перевод/тафсир не выбран","Tanzil Quran Text: CC BY 3.0, verbatim only, attribution/link/notice required. Quran Foundation and each translation/tafsir/audio resource remain subject to current API and source-specific terms. Muslingo pedagogy must be original.","Planned, not publication-approved: canonical text checksum, edition-specific translation/tafsir rights, Islamic meaning review, qualified reciter/audio rights and accessibility QA required.","Не требуется; нужен лицензированный звук","Квалифицированный кари, Hafs an Asim"
"QUR-009","Quran","Surah 91","9","Ash-Shams / Аш-Шамс: Карта слов","Ученик сможет узнавать выбранные после лингвистической проверки слова в тексте и аудио без догадки по длине ответа; рабочий диапазон 91:1-15.","Beginner 2","QUR-008","Tanzil Quran Text v1.1 91:1-15 (https://tanzil.net/docs/download); Quran Foundation chapter/verses API, chapter 91 (https://api-docs.quran.com/docs/api-reference/); перевод/тафсир не выбран","Tanzil Quran Text: CC BY 3.0, verbatim only, attribution/link/notice required. Quran Foundation and each translation/tafsir/audio resource remain subject to current API and source-specific terms. Muslingo pedagogy must be original.","Planned, not publication-approved: canonical text checksum, edition-specific translation/tafsir rights, Islamic meaning review, qualified reciter/audio rights and accessibility QA required.","Опционально: короткая анимация сегментации","Преподаватель Quranic Arabic и кари"
"QUR-010","Quran","Surah 91","10","Ash-Shams / Аш-Шамс: Последовательность смысла","Ученик сможет восстанавливать только утверждённую редактором смысловую последовательность суры с указанием издания перевода; рабочий диапазон 91:1-15.","Intermediate 1","QUR-009","Tanzil Quran Text v1.1 91:1-15 (https://tanzil.net/docs/download); Quran Foundation chapter/verses API, chapter 91 (https://api-docs.quran.com/docs/api-reference/); перевод/тафсир не выбран","Tanzil Quran Text: CC BY 3.0, verbatim only, attribution/link/notice required. Quran Foundation and each translation/tafsir/audio resource remain subject to current API and source-specific terms. Muslingo pedagogy must be original.","Planned, not publication-approved: canonical text checksum, edition-specific translation/tafsir rights, Islamic meaning review, qualified reciter/audio rights and accessibility QA required.","Рекомендуется: объяснение редактора 2-4 мин","Исламский редактор с заявленной областью компетенции"
