"id","snapshot_date","product","operator","segment","audience_age","platforms","languages_geography","learning_model","curriculum_multimedia","parent_family_controls","teacher_led_features","safeguarding_privacy","pricing_family_plan","evidence_status","confirmed","inference","not_found","transition_to_muslingo","official_urls","accessed_on"
"KF01","2026-09-11","Naml","Naml App","family Quran memorization","children with parent; exact age not stated","web app","11 interface languages; global","parent-led listen, shadow, solo recite, mastery; spaced review","38 Juz 30 surahs in phase 1; 3 reciters; jigsaw progression","parent account; 1 free child or up to 3 family profiles; parent approves exams","school contact exists; no public teacher dashboard confirmed","no ads claimed; child progression under parent; detailed child privacy controls not confirmed on accessible page","Free EUR0; Family EUR6.99/month or EUR69.90/year","mixed","parent-led promotion, multi-child profiles, cooldown-based mastery and 11 languages are stated on official pages","strong fit for families that want gentle shared hifz rather than autonomous AI scoring","child age bands; retention/deletion details; school dashboard depth","offer a short placement that imports known surahs manually, preserves parent approval for progression and adds meaning plus pronunciation practice","https://naml-app.com/en|https://naml-app.com/ar/pricing","2026-09-11"
"KF02","2026-09-11","Miraj Stories","Sidra Media Ltd","Islamic kids edutainment","primarily 4-9; some 2026 guidance references 4-11","iOS; Android; Apple Silicon Mac; offline downloads","English-led; global families; language inventory not fully published","interactive stories, choices, games, puzzles and audio-first bedtime use","Quran and prophet stories; Arabic introduction; audiobooks; touchbooks; animations; licensed and original content","parent account with child profiles; immediate family use on up to 4 devices","educator and bulk pricing by contact; no teacher dashboard confirmed","ad-free; no child IAP; dedicated Children's Privacy Policy; nickname and broad age band; parent deletion controls; usage tracked mainly at parent-account level","7-day annual-plan trial; current public page obscures exact local price; four-device household sharing","confirmed","ages, modalities, review process, household access, child-data categories and deletion controls are documented","a trust-first family media companion can build affinity but does not demonstrate Quran mastery","full language list; teacher analytics; independent safeguarding audit; exact universal price","let families keep story/audio routines while Muslingo adds diagnostic learning, recitation evidence and scheduled mastery reviews","https://www.mirajstories.com/|https://www.mirajstories.com/faq/|https://www.mirajstories.com/children-privacy-policy/|https://www.mirajstories.com/about-miraj/","2026-09-11"
"KF03","2026-09-11","Muslim Kids TV","Milo Productions Inc.","family Islamic streaming and activities","children and families; precise public age band not confirmed","web; iOS; Android; Roku; Apple TV; Amazon Fire TV; LG; Samsung; Chromecast","global; language inventory not found","curated streaming plus games, eBooks and Quran player","15,000+ resources claimed; cartoons, live action, games, eBooks, Quran player and recitation buddy","household subscription; device support; detailed multi-child progress controls not found","school materials exist; teacher approval claimed; current teacher dashboard not found","ad-free positioning; school PDF states COPPA compliance; exact child-data controls need policy-level verification","USD9.99/month or USD79.99/year; free trial stated","mixed","large cross-device catalogue, plans, Quran player and ad-free positioning are official","primarily competes for safe screen time, not for measured learning outcomes","age modes; child profiles; retention/deletion; teacher analytics; scholar review workflow","position Muslingo as the focused daily-learning layer that converts passive Quran media into assigned practice and measurable recall","https://www.muslimkids.tv/|https://help.muslimkids.tv/hc/en-us/articles/35566128101268-What-is-Muslim-Kids-TV|https://help.muslimkids.tv/hc/en-us/articles/35566460267668-Plans-and-Pricing|https://resources.muslimkids.tv/wp-content/uploads/2023/05/MuslimKidsTV-School-Background-2023.pdf","2026-09-11"
"KF04","2026-09-11","Noor Kids","Noor Kids Inc.","character education for Muslim children","4-9","physical subscription; iOS Ramadan app","North America and global shipping; English-led","monthly story-led character curriculum with parent discussion","books, activities, live/on-demand Ramadan programs, nasheeds and challenges","Parent's Guide; Global Muslim Citizen Passport; family participation","educational program; no current teacher dashboard found","age-targeted; App Store privacy declaration exists; dedicated child-data policy not found in reviewed pages","USD40/4 months or USD89.99/year in help center; some storefronts show USD9.99 monthly or USD24.99 quarterly","mixed","age, parent guide, curriculum wheel and renewal model are official","strong parent-child conversation product, weak evidence of adaptive Quran skill tracking","multi-child account; learning analytics; data retention; scholar review workflow","keep character stories as optional enrichment and route users to Muslingo's verified Quran/Arabic daily plan instead of replacing Noor's physical ritual","https://noorkids.com/collections/subscriptions/products/noor-kids-character-building-program-3|https://help.noorkids.com/support/solutions/articles/13000117713-subscription-plans-pricing|https://apps.apple.com/in/app/noor-kids/id1462609720","2026-09-11"
"KF05","2026-09-11","Ali Huda","Ali Huda Inc.","Islamic kids streaming","2-12 in historical official positioning; App Store 4+","historically iOS, iPad and Apple TV; Android listing no longer available","multilingual claim; exact current languages not found","video-on-demand with quizzes and activities","thousands of Quran, Arabic, Islamic values, science and craft videos were claimed","household access across devices; detailed profiles not found","no current teacher dashboard found","ad-free and safe-environment claims in App Store description; current dedicated child privacy page not found","historical App Store offer USD7.99/month with one-week trial","not found","an official App Store page remains accessible in Australia with product description","the product appears inactive or delisted in major storefronts and should be treated as a cautionary lifecycle case","current operating website; current download availability; privacy terms; support status","provide a transparent migration prompt for former Ali Huda users: choose known topics and surahs, receive a seven-day plan, never claim automated data import","https://apps.apple.com/au/app/ali-huda/id1243697319|https://apps.apple.com/us/developer/ali-huda-inc/id583712793","2026-09-11"
"KF06","2026-09-11","Learning Roots / Kiitab","Learning Roots","children's Quran learning and family resources","products segmented from age 0+; Kiitab exact range not found","books and planned/on-demand app","US/UK/global stores; English-led","recite, record and receive expert teacher feedback; family resources","Quran learning app claim plus stories, play, books and progress kit","home progress kit; parent-oriented brand; multi-child controls not found","expert teacher feedback is stated; dashboard and service-level details not public","age-appropriate positioning; privacy and voice retention controls for Kiitab not found","product prices vary; Kiitab public launch price not found","mixed","official site states an on-demand Quran app with recording and expert feedback and age-banded books","teacher feedback can solve trust but may be operationally expensive","Kiitab availability date; teacher SLA; voice privacy; dashboard; family plan","Muslingo can offer instant private practice plus optional human review, with explicit turnaround and recording deletion controls","https://www.learningroots.us/|https://www.learningroots.com/products/home-progress-kit-free-download","2026-09-11"
"KF07","2026-09-11","Durioo+","Durioo Sdn Bhd","halal family streaming","0-8+ claimed on official campaign; App Store 4+","iOS; iPad; Apple TV; Android; smart TV; offline","100+ countries claimed; languages configurable","curated streaming with DuDeen memorization, short reminders and recommendations","25,000+ videos claimed; cartoons, shows, nasheeds and Islamic learning","family profiles; multiple screens; age/language/category filters; screen lock and time limits","no teacher dashboard found","ad-free; content vetted by Muslim parents; app listing says in-app controls; precise child-data policy not found in reviewed official pages","official pages conflict by campaign/region: USD17.99/month or USD169.99/year on pricing page; GBP11.90/month or GBP65.88/year campaign","mixed","parental controls, family profiles, offline use and cross-device model are official","recommendation engine optimizes viewing relevance, not necessarily mastery","independent scholar review; exact data collection; child profile deletion; teacher mode","use an intent-based switch: families selecting Quran mastery enter Muslingo diagnostic immediately; retain audio/video as optional background content only","https://duriooplus.com/pricing|https://join.duriooplus.com/|https://apps.apple.com/us/app/durioo-by-omar-hana-makers/id1605538612|https://play.google.com/store/apps/details?hl=en_US&id=ott.durioo1","2026-09-11"
"KF08","2026-09-11","One4Kids TV","One4Kids","music-free Islamic streaming","children and families; exact age band not found","web; iOS; Android; Roku; Apple TV; Android TV; Samsung TV; Amazon Fire TV","international; language inventory not found","curated video learning and family viewing","Quran, Arabic, seerah, manners, health, cartoons and voice-only songs","up to 3 simultaneous devices; offline mobile downloads; profiles not confirmed","no teacher dashboard found","ad-free and no musical instruments claimed; child-data policy details not reviewed","USD7.99/month or USD79.99/year; 7-day trial","confirmed","current membership page documents price, devices, downloads and content policy","strong faith-aligned entertainment but limited outcome evidence","child profiles; progress; age controls; review governance; data deletion","offer a free Quran-level check to convert entertainment intent into a daily learning plan without attacking music-policy preferences","https://one4kids.tv/pages/home-2060|https://one4kids.tv/join|https://one4kids.net/one4kids-tv-landing-page/","2026-09-11"
"KF09","2026-09-11","The Tarbiyah","The Tarbiyah","Islamic homeschool app","6-13","web; iOS; iPad; Android","global English-led","interactive curriculum with child rewards and parent evaluation","Islamic studies, Quran, character and academic subjects; games and activities","separate child profiles; individual progress; parent input on behaviour; safety lock","parent-led homeschooling; no school teacher dashboard found","kid-friendly safety lock; privacy page linked but detailed child-data findings not established in this review","14-day trial; USD9.99/month for one child, described as billed on an 8-month cycle","confirmed","age, child profile, progress and price are stated on the official page","holistic behaviour input creates a family feedback loop beyond screen completion","additional-child pricing; moderation; data retention; curriculum reviewer identities","Muslingo should import goals and self-reported level, then show evidence-based Quran mastery while avoiding scoring private religious behaviour","https://thetarbiyah.com/","2026-09-11"
"KF10","2026-09-11","Muslim Guard","MuslimGuard","Islamic parental control plus learning","child space; legal page says service account is 18+ and 15-18 needs guardian consent","Android; iOS announced; web tools","multilingual filtering claimed; French/English site","safe browser, quizzes, games, Quran, stories and family challenges","1,000+ validated quizzes claimed; 30+ games; Quran, duas, stories, audio and wellbeing","password-protected parent mode; screen limits; search/activity reports; app and site controls","teacher-friendly shareable quizzes; no classroom dashboard confirmed","no ads; own analytics claim; EU-hosted Supabase; search text may be sent to AI without names; child first name and age stored; deletion and portability stated","free download; paid plan details not found on reviewed English page","mixed","parental controls and a detailed August 2026 privacy policy are official","this is a device-safety suite more than a learning progression engine","independent filtering accuracy; child-age fit below 15; exact plan pricing; false-positive audit","Muslingo can integrate deep links from safe mode into short Quran tasks, but should not replicate device surveillance or claim content filtering","https://www.muslim-guard.com/en|https://www.muslim-guard.com/en/app/legal/politique-de-confidentialite|https://www.muslim-guard.com/en/quiz/creer","2026-09-11"
