"id","publisher_authority","collection","url","source_type","authority_verification","languages","topics","format","level","quality_signals","date_actuality","access","license_reuse","embedding_restrictions","muslingo_applicability","priority","accessed"
"YT01","Arabic 101","Official English channel","https://www.youtube.com/@Arabic101","YouTube official channel","Linked from arabic101.org; canonical channel UCEcQu_9GNDiGU_vqjVZXj3Q","English; Arabic","Quran reading; tajwid; waqf and ibtida; pronunciation; Quranic Arabic","Video; Shorts; playlists","Beginner to advanced","Large structured catalogue; specialist explanations; academy pathway; examples from Quran","Active; latest feed item observed 2026-09-07","Public; some academy links paid","YouTube Standard License by default; per-video CC status must be checked; no blanket reuse","Official YouTube player only; embedding can be disabled per video; no downloading, caching, audio extraction or rehosting","High-value pedagogy benchmark; link/embed selected lessons after per-video review; partnership candidate","High","2026-09-11"
"YT02","Arabic 101","Official Russian channel","https://www.youtube.com/@arabic101russian","YouTube official language channel","Linked from arabic101.org; canonical channel UCNA6ntbqX2Eg-zuvPb6JAnA","Russian; Arabic","Tajwid; Quran reading; Arabic pronunciation","Video; Shorts; playlists","Beginner to intermediate","Russian localization from the Arabic101 publisher; directly relevant to Muslingo's Russian-speaking audience","Active; latest feed item observed 2026-09-10","Public","YouTube Standard License by default; per-video license check required","Official player only; no extraction/rehosting; embedding subject to uploader setting","Best immediate Russian content benchmark; curate links and negotiate localization/adaptation rights","High","2026-09-11"
"YT03","Arabic 101","Quran Recitation Mastery playlist","https://www.youtube.com/playlist?list=PL6TlMIZ5ylgobWotOkJ0HQqNPB3gkga8M","YouTube official playlist","Playlist oEmbed identifies author as Arabic 101 and title as Quran Recitation Mastery","English; Arabic","Recitation; tajwid; error correction","Video playlist","Intermediate to advanced","Single-purpose sequence from a specialist publisher; better learning coherence than channel-wide browsing","Current playlist verified 2026-09-11","Public","YouTube Standard License unless an individual video states CC BY","Embed playlist in official player only; verify each item's embed status; no offline copy","Use as curriculum-gap benchmark for applied recitation and fine-error lessons","High","2026-09-11"
"YT04","Arabic 101","The Other 50% playlist","https://www.youtube.com/playlist?list=PL6TlMIZ5ylgq6HSz0cf5m6dPuyAGw8h1s","YouTube official playlist","Playlist oEmbed identifies Arabic 101; current videos cover waqf and ibtida","English; Arabic","Stopping and starting; meaning-preserving recitation; advanced reading","Video playlist","Intermediate to advanced","Rare systematic emphasis on waqf/ibtida and semantic consequences","Current; related series publishing observed in 2026","Public","YouTube Standard License unless marked otherwise","Official player only; no clips or extracted audio without permission","Strong source for Muslingo's missing stop/start decision drills","High","2026-09-11"
"YT05","Understand Al-Quran Academy","Understand Al-Quran Official channel","https://www.youtube.com/@understandquran","YouTube official channel","Linked from understandquran.com; canonical channel UCdqEwn5bGGbFE0u8UqdHmGQ","English; Urdu; Hindi; Arabic and additional localized tracks","Tajwid; Quranic Arabic; hifz; salah vocabulary; tafsir","Video; live recordings; playlists","Beginner to intermediate","Named founder Dr AbdulAzeez AbdulRaheem; worksheets, quizzes and course pages accompany videos","Active; latest feed item observed 2026-09-07","Public videos; some tutor programs paid","YouTube Standard License by default; academy terms do not grant adaptation rights","Official player only; no copying course media; per-video embed status applies","Benchmark multimodal lesson packaging and multilingual rollout; permission needed for adaptation","High","2026-09-11"
"YT06","Understand Al-Quran Academy","Hifz with Hikmah English playlist","https://www.youtube.com/playlist?list=PL62RQxDpIL7UENpFx6PwyxyHxdRBzfMst","YouTube official playlist","Playlist oEmbed identifies Understand Al-Quran Official as publisher","English; Arabic","Hifz methods; retention; understanding while memorizing","Recorded webinar playlist","Beginner to intermediate hifz","Combines memorization with meaning rather than repetition alone","Current playlist verified 2026-09-11","Public","YouTube Standard License unless per-video metadata says CC BY","Official player only; no extraction or local caching","Good benchmark for Hafiz Mode coaching and explanatory prompts","Medium-high","2026-09-11"
"YT07","Tarteel AI","Official channel","https://www.youtube.com/@tarteelai","YouTube official channel","Linked from tarteel.ai; canonical channel UCnFVLgJVA-dxmPkuKuJsiCA","English; Arabic","Memorization; recitation tracking; product tutorials; Quran reflection","Video; Shorts; tutorials","All levels; product-led","Direct demonstrations of voice follow-along, mistake detection and memorization workflows","Active; latest feed item observed 2026-09-10","Public","YouTube Standard License by default; Tarteel product/content proprietary","Official player only; no download, audio isolation or rehosting","Primary competitor workflow benchmark; not a source for copying scoring claims","High","2026-09-11"
"YT08","Tarteel AI","English tutorials playlist","https://www.youtube.com/playlist?list=PLjMqEsi-8yLmZRhOZWwVYCOnvV57dHmYU","YouTube official playlist","Playlist oEmbed identifies author Tarteel AI and title Tutorials - English","English","Voice follow-along; memorization testing; goals; app controls","Tutorial video playlist","All levels","Concrete end-to-end product explanations from the product owner","Playlist verified 2026-09-11","Public","YouTube Standard License unless an item states otherwise","Official player only; embedding may vary per item; no media extraction","Use to benchmark onboarding and explainability of Muslingo speech/Hafiz tools","High","2026-09-11"
"YT09","Bayyinah","Nouman Ali Khan - Official - Bayyinah channel","https://www.youtube.com/user/BayyinahInstitute","YouTube official channel","Linked from bayyinah.com; canonical channel UCRtiU-lpcBSi-ipFKyfIkug","English; Arabic examples","Quranic Arabic; surah study; rhetoric; reflection","Video; Shorts; lectures","Beginner to advanced comprehension","Named teacher and established research/teaching organization; strong contextual explanation","Active; latest feed item observed 2026-09-10","Public excerpts; full Bayyinah TV paid","YouTube Standard License by default; Bayyinah terms prohibit reproduction/distribution/modification without consent","Official player only; no clips, transcripts or adaptations without permission","Benchmark narrative explanation and Quranic Arabic motivation; not sufficient alone for recitation training","Medium-high","2026-09-11"
"YT10","Arabic Unlocked","Official channel","https://www.youtube.com/@arabicunlocked","YouTube official channel","Linked from arabicunlocked.com; canonical channel UCo4LVFMcpDe59FxCIncmnjQ","English; Arabic","Arabic literacy; Quranic vocabulary; pronunciation; study habits","Video; Shorts","Beginner to intermediate","Product-linked instruction and vocabulary orientation","Latest feed item observed 2024-06-20; less current than leading channels","Public","YouTube Standard License by default; product material proprietary","Official player only; no media extraction/rehosting","Secondary benchmark for gamified vocabulary and literacy; freshness review before featuring","Medium","2026-09-11"
"YT11","Madinah Arabic","Official channel","https://www.youtube.com/user/MadinahArabic","YouTube official channel","Linked from madinaharabic.com; canonical channel UCeEnsdKX9cCI0goEjAeZmmQ","English; Arabic","Arabic reading; grammar; vocabulary; Madinah course","Video; playlists","Beginner to intermediate","Free lessons aligned to a cumulative Arabic course; frequent examples and drills","Active; latest feed item observed 2026-09-10","Public","YouTube Standard License by default; site does not grant open audiovisual reuse","Official player only; no downloading or rehosting","Useful for sequencing Arabic grammar practice; requires Quran-specific contextual adaptation by Muslingo experts","Medium-high","2026-09-11"
"YT12","Studio Arabiya","Official channel","https://www.youtube.com/studioarabiya","YouTube official channel","Linked from studioarabiya.com; canonical channel UCrK5686oDN_ULxfx9hhanTQ","English; Arabic","Quran reading; tajwid; hifz; Arabic; family learning","Video; Shorts","Beginner to advanced","Cross-linked to licensed-teacher, structured-course and practice-center offerings","Active; latest feed item observed 2026-09-10","Public videos; tuition paid","YouTube Standard License; Studio Arabiya states all rights reserved","Official player only; no reuse of course media without written permission","Teacher/partner benchmark; inspect individual lesson pedagogy before referral","Medium-high","2026-09-11"
"YT13","Firdaws Academy","Official channel","https://www.youtube.com/@firdawsacademy8850","YouTube official channel","Linked from firdawsacademy.com; canonical channel UCiQX2cuNNAqm1Q7jOydNntA","English; Arabic","Quran reading; tajwid; hifz; academy activities","Video","Beginner to advanced","Linked to public curriculum books and named ijazah/Al-Azhar teacher profiles","Latest feed item observed 2026-06-06","Public videos; live tuition paid","YouTube Standard License by default; academy material proprietary unless explicitly downloadable for stated use","Official player only; downloadable books are not a blanket audiovisual license","Potential tutor/referral partner; curriculum examples useful after scholarly review","Medium","2026-09-11"
"YT14","AMAU Academy","Official channel","https://www.youtube.com/@AMAUofficial","YouTube official channel","Linked from amauacademy.com; canonical channel UCmTqZ28TaM7V_g7uJVuBAMw","English; Arabic source texts","Quran; Arabic; Islamic sciences; academy tutorials","Video; livestreams","Beginner to advanced","Named instructors, structured subscription programs and classical texts","Active; latest feed item observed 2026-09-08","Public samples; full program paid","YouTube Standard License; AMAU terms grant personal non-commercial access only","Official player only; no course-media reuse or adaptation","Benchmark long-form teacher-led depth; doctrinal framing must be explicitly labeled in any referral","Medium","2026-09-11"
"YT15","Qalam Institute","Official channel","https://www.youtube.com/user/QalamInstitute","YouTube official channel","Linked from qalaminstitute.org; canonical channel UCVp5Ze24V2iFiUY1y0WtRaA","English; Arabic source text","Quran study; recitation context; seerah; Arabic; Islamic sciences","Video; livestreams; podcast video","Intermediate enrichment","Seminary-linked named instructors and deep lecture series","Active; latest feed item observed 2026-09-09","Public","YouTube Standard License; Qalam terms restrict derivatives/resale","Official player only; no clipping or republishing without permission","Good explanation/podcast benchmark; not a complete reading curriculum","Medium","2026-09-11"
