canonical_product_id,product,segment,depth,evidence_status,defining_strength,main_gap,muslingo_move,official_sources
elevate,Elevate,adaptive brain training,deep,confirmed + inference + not found,Daily program and difficulty adjust to performance and goals [confirmed]; No spaced-repetition scheduler confirmed [not found]; Short multi-game daily workout [confirmed],"Do not make streak contingent on passing when disability, microphone or connectivity interferes",Balanced daily mix; adaptive difficulty; detailed skill trend charts,https://elevateapp.com/ | https://support.elevateapp.com/hc/en-us/articles/4402922583067-What-is-Elevate | https://support.elevateapp.com/hc/en-us/articles/4402925042715-What-is-a-streak | https://get.elevateapp.com/
ayatika,Ayatika,adaptive hifz quizzes,deep,confirmed store claim; not found validation; inference on trust advantage,good variety of recall tests and French/Arabic localization,unvalidated teacher-replacement wording; very new; limited public policy detail,"Muslingo can differentiate through calibrated uncertainty, teacher escalation and no false tajwid certification",https://play.google.com/store/apps/details?id=fr.ayatika.app | https://ayatika.fr
zad-academy,Zad Academy,Adult Islamic studies,deep,confirmed_with_gaps,"Depth, progression gate and exam system confirmed","No adaptive personalization, speech or item memory model",Depth and cumulative assessment benchmark for foundations; not a mobile microlearning pattern,https://zad-academy.com/en | https://zad-academy.com/en/curriculum | https://support.zad-academy.com/en/275805-Exams
noor,NOOR,Adventure Quran learning for children,mapped,confirmed_with_gaps,"500+ interactive lessons, quests, XP, streaks and parent dashboard",Independent outcome and content-governance evidence not found,"Build coherent character-led journeys while measuring mastery, not activity",https://noor.vip/
loora,Loora,AI conversation coach,deep,confirmed + not found,"Adapts to skill/pace and provides reports; personalized plans for intermediate learners [confirmed]; Saved vocabulary/takeaways; SRS not confirmed [confirmed/not found]; Classic lesson, role-play, Read and Talk, then unlimited practice [confirmed]",AI feedback on recitation needs uncertainty and expert escalation; league should be optional,Show full value before paywall; after-action summary; repeat same scenario with a new approach,https://www.loora.com/ | https://www.loora.com/support/billing-and-subscription/pricing-plans | https://www.loora.com/use-cases/intermediate-english
praktika,Praktika,AI conversation tutor,deep,confirmed + inference + not found,"Personal study plan adapts to goals, interests and pace [confirmed]; Review scheduling not documented [not found]; Conversation plus grammar, vocabulary, listening and reading exercises [confirmed]",Anthropomorphic AI must not impersonate an imam or claim religious authority,Selectable feedback strictness; gentle error framing; persistent context,https://praktika.ai/
huffaz,Huffaz,AI hifz and tajwid practice,deep,confirmed headline claims only; many not found fields; inference on switch trigger,focused memorization proposition,official site fetch instability and insufficient public evidence,"Muslingo can win on evidence transparency, stable cross-platform access and inspectable privacy controls",https://www.huffaz.id/
elsa-speak,ELSA Speak,AI pronunciation coaching,deep,confirmed + not found,"Continuously reassesses and builds personalized daily path [confirmed]; Saved sets and practice exist; SRS details not confirmed [confirmed/not found]; Daily recommended lessons across pronunciation, conversation, vocabulary and grammar [confirmed]",English ASR claims cannot be transferred to Quran phonemes/tajwid without Arabic validation and scholar review,Diagnostic-to-plan; granular actionable feedback; role-specific tasks; teacher dashboard,https://elsaspeak.com/en | https://elsaspeak.com/en/elsa-subscription | https://elsaspeak.com/en/enterprise/business
speak,Speak,AI speaking tutor,deep,confirmed + not found,Premium Plus creates personalized study plan and lessons from frequent mistakes [confirmed]; Smart Review exists; scheduling details not public [confirmed/not found]; Curriculum plus situational role-play and custom lessons [confirmed],Open-ended AI must not generate religious rulings or unverified Quran explanations,Generate practice from recurring errors; use goals/interests without abandoning curriculum,https://www.speak.com/ | https://help.speak.com/en/articles/5358417-what-s-the-difference-between-premium-and-premium-plus | https://app.speak.com/us-en/gift
deendropz,DeenDropz,AI-assisted Islamic learning for youth,deep,confirmed,"Daily lessons and quizzes, Quran audio, Arabic tutor and source-citing AI Q&A; Streak; XP levels; reminders; score sharing",Fast feature expansion and AI answers create governance and child-safety risk without visible review workflow,Benchmark for age modes and parent reports; Muslingo needs stronger safety controls,https://apps.apple.com/my/app/deendropz/id6759574013
quran-by-islam-org,Quran+ by Islam.org,AI-search Quran study platform,deep,confirmed as publisher claims,"confirmed: semantic/phonetic search, audio, word sync, tafsir, roots, notes, tags and playlists; inference: study and research tools; sequential Academy not found",focused study/search entrant with interesting AI discovery but limited validation evidence,AI search should be evaluated for citation fidelity before comparison claims.,https://apps.apple.com/us/app/quran-by-islam-org/id1621850736 | https://www.islamicity.org/
athan-pro,Athan Pro,Apple-centric Islamic superapp,deep,confirmed with gaps,confirmed: Quran listening; not found,broad prayer-first utility with relatively shallow Quran learning,Distinct from Athan by IslamicFinder.,https://apps.apple.com/us/app/athan-pro-muslim-prayer-times/id743843090
