snapshot_date,product,segment,free_tier,monthly_price,annual_price,lifetime_or_one_time,family,trial,scholarship_or_gifting,institutional,renewal_and_cancel,price_scope,evidence_status,source_urls,notes
2026-09-11,Tarteel AI,AI Quran memorization,"Free reader, follow-along, voice search, goals and streaks",USD 7.50 equivalent when billed annually; separate monthly offer exists,USD 90 implied by published annual billing,not_found,"Family USD 156/year, 5 accounts total",Free trial advertised; duration not consistently exposed on reviewed pricing page,Gift cards and Alim access program documented,not_found,Auto-renews; cancellation before renewal; family is web-only and annual,"Official web, USD; store prices may differ",confirmed,https://tarteel.ai/en/pricing | https://tarteel.ai/en/family | https://support.tarteel.ai/en/collections/15105269-subscriptions-and-billing,AI mistake detection and advanced analytics are the primary paywall.
2026-09-11,Quranly,Quran reading habit,Free download and core reading habit features,USD 4.99,USD 29.99,USD 79.99 or USD 199.99 storefront variants,Friends and family accountability exists; paid family bundle not found,not_found,not_found,not_found,App Store-managed auto-renewal,US App Store snapshot,confirmed_with_regional_variation,https://apps.apple.com/us/app/quran-by-quranly/id1559233786 | https://www.quranly.app/,Multiple lifetime SKUs indicate offer variation; do not treat one amount as universal.
2026-09-11,Quranic,Quranic Arabic microlearning,One lesson every 12 hours; unlimited timed quizzes,not_found,Premium USD 49/year,not_found,"Family USD 99/year, up to 4 additional members",No time-limited trial found; app can be explored free,Gift and donated subscription flow advertised,"Custom school, masjid and organization package",Recurring billing terms published,"Official web, USD",confirmed,https://www.getquranic.com/pricing/ | https://www.getquranic.com/terms/,Family also adds offline lessons; free timers are a deliberate conversion gate.
2026-09-11,Sabinoor,Gamified Quran and Islamic learning,Full curriculum free with ads and energy limits,Plus USD 13.99; Al-Ihsan USD 29.99,Plus USD 84.99; Al-Ihsan USD 169.99,not_found,Plus Family USD 119.99/year; Al-Ihsan Family USD 239.99/year; six learners total,7 days on all paid plans,not_found,not_found,Cancel anytime language published,"Official web, USD",confirmed,https://www.sabinoor.com/,AI Tajweed coaching sits in the highest tier; published validation evidence was not found.
2026-09-11,Naml,Family Quran memorization,All currently published Juz 30 content free; one child profile,EUR 6.99,EUR 69.90,not_found,Up to 3 child profiles,not_found,not_found,School contact exists; price not found,Recurring subscription; cancellation detail not found,"Official web, EUR",confirmed,https://naml-app.com/en | https://naml-app.com/en/pricing,"Family value is parent controls and profiles, not AI scoring."
2026-09-11,HIFZ,Structured hifz companion,Guest/local progress and account sync are described,not_found,not_found,not_found,not_found,not_found,not_found,not_found,not_found,Official site/help,not_found,https://gethifz.com/ | https://gethifz.com/support,Public packaging is not transparent enough for a reliable price comparison.
2026-09-11,HifzAI by NxGenZ,AI memorization companion,5 minutes per day,USD 6 Basic; USD 12 Standard; USD 19 Pro,Yearly offers published; current totals vary by selected plan,not_found,not_found,not_found,not_found,not_found,Recurring plan controls not fully found,"Official web, USD",confirmed_with_gaps,https://hifzai.org/ | https://hifzai.org/privacy,Tiering is based mainly on daily AI usage and analytics.
2026-09-11,Hifz Musaa'id,Hifz scheduling and review,All features free through 2026-12-31; Basic remains free after,From 2027 Lite USD 1.99; Pro USD 2.99,not_found,not_found,not_found,Current free period functions as an extended launch offer,not_found,not_found,not_found,"Official web, USD; future pricing",confirmed,https://www.hifzmusaaid.com/ | https://apps.apple.com/us/app/hifz-musaaid-memorize-quran/id6767211882,"Future price is announced, not yet charged at snapshot date."
2026-09-11,Itqan Ayah,Quran memorization testing,First quiz without signup,Price not publicly exposed,Price not publicly exposed,not_found,not_found,3-day Premium trial,not_found,not_found,Store-managed subscription,Saudi App Store listing; numeric offer not found,confirmed_with_gaps,https://apps.apple.com/sa/app/itqan-ayah-quran-memorization/id6468956692,"Retries, planner, SRS and analytics are Premium."
2026-09-11,TajweedMate,Offline AI Tajweed practice,Free download; main learning flow available,not_found,not_found,Kids Theme USD 2.99,No multi-profile family plan found,not_found,Tips supported,not_found,One-time in-app purchase and tips,US App Store snapshot,confirmed_with_gaps,https://apps.apple.com/us/app/tajweedmate/id1547696689 | https://tajweedmate.com/,Offline speech analysis and no-data-collection claim differentiate the offer.
2026-09-11,Learn Quran Tajwid,Tajweed curriculum and practice,Free download with limited lesson access,Pro+ variants USD 5.99-9.90,Pro USD 34.99; Pro+ USD 30.99 storefront variants,Lifetime Pro USD 48.99; Pro+ USD 67,No family plan found,Some monthly offers include 3 free days,not_found,not_found,Auto-renews unless canceled; unused trial ends on purchase,US App Store snapshot; multiple legacy/promotional SKUs,confirmed_with_regional_variation,https://apps.apple.com/us/app/learn-quran-tajwid/id960134803 | https://tajwid.learn-quran.co/terms-of-use/,Pricing is difficult to summarize because multiple overlapping SKUs remain visible.
2026-09-11,Sadr,AI Quran memorization,Free download,not_found,not_found,not_found,not_found,not_found,not_found,not_found,not_found,Official site and US App Store,not_found,https://sadr.app/ | https://apps.apple.com/us/app/sadr-quran-memorization/id6762648928,No stable public price or quota was found.
2026-09-11,Mualim,AI Quran recitation tracking,Free download; offer varies by platform,not_found,not_found,not_found,not_found,not_found,not_found,not_found,Store-managed if purchased,Official site and US App Store,mixed,https://mualim-app.com/en | https://apps.apple.com/us/app/mualim-master-the-quran/id6471001108,Exact current public price is not stable across accessible surfaces.
2026-09-11,Quran Companion,Quran memorization and social motivation,Free install,not_found,not_found,not_found,not_found,not_found,not_found,not_found,not_found,Official store listings,not_found,https://apps.apple.com/us/app/quran-companion-memorize-quran/id1111843462 | https://play.google.com/store/apps/details?id=com.qurancompanion.app,Paid boundary was not found in public listing data.
2026-09-11,iman.app,Quran memorization cycles,Full Quran and five cycles free,Numeric price not visible in reviewed table,Numeric price not visible in reviewed table,not_found,Family supports up to 6,not_found,not_found,not_found,Subscription management described on pricing surface,Official web,confirmed_with_gaps,https://iman.app/ | https://iman.app/pricing,"Premium adds reciters, speeds, repeat, reminders and analytics; amount remains not_found."
2026-09-11,Muslim Pro,Islamic superapp,Free with advertising and limited premium tools,USD 12.99,USD 34.99,not_found,No current consumer family bundle confirmed,not_found,Gift or scholarship not found,Academy and partner courses have separate offers,Auto-renews; managed in Apple account,US App Store snapshot,confirmed,https://apps.apple.com/us/app/muslim-pro-quran-athan/id388389451 | https://www.muslimpro.com/academy-islamic-courses/,"Premium bundles ad removal, offline Quran/audio, widgets and lessons."
