snapshot_date,product,segment,pain_category,recurring_pattern,user_impact,evidence_basis,signal_strength,status,muslingo_response,source_urls,notes
2026-09-11,Tarteel AI,AI Quran memorization,speech_accuracy,"Fast recitation, accents, pauses and audio glitches can produce false flags or lose the recitation position",Interrupts concentration and weakens trust in premium feedback,Multiple recent low-rated App Store reviews plus official support direction for pausing/error-detection issues,high,confirmed,"Show confidence, separate text match from Tajweed, support accents and speeds, allow instant replay/retry, and never claim teacher-grade certainty",https://apps.apple.com/us/app/tarteel-ai-quran-memorization/id1391009396?see-all=reviews | https://support.tarteel.ai/en/collections/15105282-troubleshooting-and-support,Paraphrased pattern; no personal data retained.
2026-09-11,Tarteel AI,AI Quran memorization,feedback_ui,Correction details can be too small or difficult to inspect,User cannot understand or act on the detected issue,App Store review with developer acknowledgement,medium,anecdotal,"Use readable Arabic, word-level highlighting, zoom-safe layout and one-tap comparison with recognized audio",https://apps.apple.com/us/app/tarteel-ai-quran-memorization/id1391009396?platform=iphone&see-all=reviews,"Single visible review is a product signal, not prevalence proof."
2026-09-11,Tarteel AI,AI Quran memorization,paywall_and_prompting,Core mistake detection is Premium and repeated upgrade prompts can distract,Learners may leave before trusting the flagship value,Official pricing plus App Store feedback,medium,confirmed,Give a bounded free diagnostic and several transparent sample checks before subscription; suppress prompts during recitation,https://tarteel.ai/en/pricing | https://apps.apple.com/us/app/tarteel-ai-quran-memorization/id1391009396?see-all=reviews,Commercial boundary is confirmed; prompt frequency is review-derived.
2026-09-11,Quranly,Quran reading habit,pricing_transparency,Several current and legacy subscription/lifetime SKUs are visible without a simple public comparison,Choice can feel uncertain across devices or campaigns,US App Store in-app purchase list,medium,inference,"Show one canonical local-currency comparison, renewal date and restore-purchase action before checkout",https://apps.apple.com/us/app/quran-by-quranly/id1559233786,No recurring low-review pattern was reliably accessible.
2026-09-11,Quranly,Quran reading habit,no_reliable_pattern,No repeated pain pattern could be established from accessible official review/help surfaces,Prevalence cannot be claimed,Official site and App Store checked,low,not_found,Instrument exit reasons and support tags in Muslingo rather than borrowing unsupported assumptions,https://www.quranly.app/ | https://apps.apple.com/us/app/quran-by-quranly/id1559233786,not_found does not mean users have no problems.
2026-09-11,Quranic,Quranic Arabic microlearning,free_tier_friction,Waiting timers and reduced free practice are perceived as deliberate degradation by some long-term users,Breaks learning momentum and can damage trust before conversion,Official pricing confirms timer gates; App Store review records the perceived impact and developer response,high,anecdotal,"Do not time-lock due reviews or error correction; monetize depth, analytics, offline packs and teacher review",https://www.getquranic.com/pricing/ | https://apps.apple.com/us/app/quranic-quran-arabic-learning/id1381145375?see-all=reviews,One detailed review plus matching confirmed mechanism; prevalence remains limited.
2026-09-11,Quranic,Quranic Arabic microlearning,course_continuity,Learners report weak continuation after completing available lessons or translating broader Quran content,Successful users can hit a dead end,App Store review and public curriculum/price surface,medium,inference,"Generate a mastery-based next path across vocabulary, grammar, meaning and ayah practice instead of a finite lesson wall",https://apps.apple.com/us/app/quranic-quran-arabic-learning/id1381145375?see-all=reviews | https://www.getquranic.com/pricing/,Needs product telemetry to confirm frequency.
2026-09-11,Learn Quran Tajwid,Tajweed curriculum,surprise_paywall,A placement/test result can be hidden behind payment only after the learner finishes the test,Creates a bait-and-switch feeling,App Store review plus visible Pro packaging,medium,anecdotal,Reveal the paywall boundary before work begins and always provide a useful free result summary,https://apps.apple.com/us/app/learn-quran-tajwid/id960134803?see-all=reviews | https://apps.apple.com/us/app/learn-quran-tajwid/id960134803,Single visible review; mechanism is directly described.
2026-09-11,Learn Quran Tajwid,Tajweed curriculum,audio_and_stability,Audio download and theory-section stability issues appear in official reviews and release notes,Blocks the core listen-first learning loop,App Store reviews and release notes referencing audio fixes,medium,confirmed,"Preflight audio assets, cache checksums, expose retry state and include automated offline/audio regression tests",https://apps.apple.com/us/app/learn-quran-tajwid/id960134803?see-all=reviews | https://apps.apple.com/us/app/learn-quran-tajwid/id960134803,Evidence spans older review and current maintenance notes.
2026-09-11,TajweedMate,Offline AI Tajweed practice,validation_visibility,Strong AI accuracy claims are not paired with a public independent benchmark or rule-level error table,Users cannot calibrate what the score means,Official App Store and product pages,medium,inference,"Publish test-set scope, teacher agreement, supported recitation styles and known failure modes",https://apps.apple.com/us/app/tajweedmate/id1547696689 | https://tajweedmate.com/,"This is an evidence gap, not a claim that the engine is inaccurate."
