ID,Area,Current evidence / state,Risk to learner or launch,Concrete action,Acceptance evidence,Owner,Priority,Dependency,Target phase
G-01,Tajwid rights,All 36 Muslingo Tajwid lessons cite one Understand Al-Quran course URL; that provider's terms prohibit copying/reproduction without written permission.,"High legal and launch risk; unclear whether explanations, examples or assessment wording are derivative.","Either secure a written commercial curriculum license, or independently re-author all lessons from rule-level facts with new examples, scripts, exercises and assessments.","Signed license, or clean-room authoring log plus side-by-side originality review and rights sign-off.",Legal + Content,P0,UQA response / scholar availability,Before public launch
G-02,Named scholarly governance,"No named Tajwid/Qira'at editorial board, reviewer credentials, approval date or correction policy found in the current course inventory.",Users cannot distinguish product content from scholar-approved instruction; errors may persist.,"Appoint a lead reviewer holding recognized ijazah in Hafs 'an 'Asim, a second reviewer, and an Arabic/ru/kk terminology editor; publish the governance policy.","Reviewer roster, credentials verified, signed approval per release, versioned correction register.",Academic Director,P0,Partner/reviewer contracts,Before public launch
G-03,Canonical Quran text,Current reader pulls Arabic editions from AlQuran.cloud while Muslingo has no visible source/version/checksum registry in the audited content inventory.,Silent upstream changes or edition mixing can create integrity defects.,"Select one canonical Hafs text package (KFGQPC or Tanzil), store version and SHA-256, prohibit mutation, and compare every API response/build artifact against it.","6236-ayah count, source version, checksum, basmala/numbering policy, automated diff test and zero unexplained differences.",Quran Data Lead,P0,Source selection,Foundation
G-04,Translation rights/versioning,"Muslingo requests ru.kuliev and transliteration via AlQuran.cloud; edition-level rights, version and correction ownership are not documented in-product.",Aggregator terms may not cover the underlying translation; outdated or corrected translations may remain cached.,Build a translation registry; prefer QuranEnc editions with publisher/version/attribution; obtain confirmation for Kuliev and any transliteration.,"Per-edition rights field, version/date, attribution string, update job and takedown contact.",Legal + Localization,P0,Publisher confirmation,Foundation
G-05,Audio rights,Current code combines AlQuran.cloud per-ayah audio and MP3Quran surah audio without a recording-level rights ledger.,Reciter estates or hosts may restrict commercial/offline redistribution or request removal.,"Use KFGQPC approved recordings for the core pack; register every reciter/riwayah/file source, grant, checksum and removal path.","Recording inventory with archived license evidence, attribution, offline/stream permission and tested replacement procedure.",Audio Producer + Legal,P0,Reciter/source confirmation,Foundation
G-06,Practice coverage,36 Tajwid lessons reference only 19 unique ayahs in the current inventory.,Learners may memorize examples rather than generalize rules to unseen Quran text.,"Create a rule-to-example matrix with multiple positive, contrastive and unseen examples per rule; balance positions within words/ayahs.","At least 6 reviewed examples per core rule, 2 contrastive non-examples, and an unseen assessment set with no lesson leakage.",Curriculum Lead,P0,Canonical text + reviewers,MVP curriculum
G-07,Assessment claim boundary,"Muslingo has speech evaluation, but the audited product evidence does not establish phoneme-, makhraj- or Tajwid-rule-level validation.",Calling generic ASR similarity a Tajwid score may misteach learners and overstate accuracy.,"Separate four scores: recall/completeness, word accuracy, pronunciation, and Tajwid application. Ship only validated dimensions; route uncertain cases to a teacher.","Published evaluation spec, Arabic recitation test set, per-dimension precision/recall, confidence threshold and human escalation.",ML Lead + Scholar,P0,Consent dataset + labels,Before automated Tajwid grading
G-08,Hifz review model,"Hafiz mode and due reviews exist, but no transparent Sabaq/Sabqi/Manzil or adaptive-interval model is documented in the content inventory.",Review load may be arbitrary; long-term retention cannot be explained or coached.,"Expose a configurable new/recent/old review model, adaptive intervals and teacher overrides; start with Juz 30 and prayer-surah pathways.","Learner-visible daily plan, interval rules, override log, retention metric and 4-week pilot results.",Learning Science + Product,P1,Curriculum design,MVP
G-09,Oral checkpoints,"No teacher-validated checkpoints, sanad/ijazah pathway or cumulative oral exam flow found.",Automation alone cannot certify recitation or advanced memorization.,"Add periodic recorded submissions and optional live/async review through qualified partners; label product certificates as completion, not ijazah.","Reviewer SLA, rubric, consent/retention policy, pass record and explicit certificate wording.",Partnerships + Academic,P1,Teacher network,Post-MVP
G-10,Mutashabihat,"No dedicated similar-ayah/confusable-passage drills found, despite 602 unique ayahs in Quran lessons.",Advanced learners may plateau on common substitution errors.,"Create scholar-reviewed mutashabihat sets using QUL only after dataset-specific license clearance, or author the set internally.","Rights-approved dataset, reviewed pairs/groups, spaced drills and error analytics.",Hifz Lead,P1,QUL rights,Post-MVP
