"source_id","organization","source_title","url","language","direction","audience","format","learning_structure","author_reviewers","quality_risks","reuse_status","potential_muslingo_module","verified_2026_09_11"
"KK01","Қазақстан мұсылмандары діни басқармасы (ҚМДБ)","Ресми электрондық кітапхана","https://www.muftiyat.kz/kk/books/","қазақша; орысша; арабша","Құран; ислам негіздері; сира; этика","жалпы аудитория; имамдар; студенттер","PDF кітаптар; журналдар; каталог","тіл және сараптамадан өту мәртебесі бойынша сүзілетін кітапхана; жеке еңбектер тарауларға бөлінген","ҚМДБ; жекелеген кітаптарда автор көрсетіледі; каталогта сараптамадан өткен/өтпеген белгісі бар","Біркелкі курс емес; ескі PDF-терде метадерек пен ISBN толық емес; әр кітаптың сараптама мәртебесін жеке тексеру қажет","REFERENCE_ONLY_PERMISSION_REQUIRED: ашық оқу/жүктеу бар, бірақ коммерциялық өңдеу лицензиясы табылмады","дереккөздер реестрі; ислам негіздері; сира; этика; мұғалім CMS-і","HTTP 200; ресми ҚМДБ домені; каталог пен сараптама сүзгісі қаралды"
"KK02","ҚМДБ","Құран оқып - үйренейік!","https://www.muftyat.kz/kk/book/28695/","қазақша; арабша","арабша оқу; Құран; тәжуид","араб тілін білмейтін бастаушылар","104 беттік PDF оқулық","әліпби -> харакат/сукун -> әріп қосу -> оқу қағидалары -> тәжуид ережелері мен мысалдар","ҚМДБ басылымы; кітап бетінде автор/рецензент толық көрсетілмеген","Күшті тақырыптық реттілік, бірақ цифрлық бағалау, тыңдап ажырату және дыбыстық кері байланыс жоқ; кейбір қаріп белгілері ескі PDF-де бұзылады","DOWNLOAD_AVAILABLE_RIGHTS_UNCLEAR: PDF ресми түрде жүктеледі; туынды/коммерциялық пайдалану құқығы көрсетілмеген","Қазақша Arabic Reading Path; тәжуидтің базалық картасы; әріп-мысал банкіне clean-room талаптары","HTTP 200; PDF құрылымы мен тараулары тікелей тексерілді"
"KK03","ҚМДБ","Иман негіздері","https://www.muftyat.kz/media/muftyat/967689_1387344824.pdf","қазақша","ислам негіздері; ақида","жасөспірімдер; ересек бастаушылар","PDF монография/оқу кітабы","дін ұғымы -> алты иман шарты -> дәлелдер мен түсіндірулер","Смайыл Сейтбеков; ҚМДБ кітапханасы","Дереккөздерге сүйенеді және жүйелі, бірақ интерактивті курс емес; кейбір тұжырымдарды жас ерекшелігіне бейімдеп, кеңес рецензиясынан өткізу керек","DOWNLOAD_AVAILABLE_RIGHTS_UNCLEAR: ресми PDF; ашық лицензия жоқ","Иман негіздері 20-30 сабақ; дәлелді түсіндіру; misconception checks","HTTP 200; авторы мен мазмұны PDF/ҚМДБ сипаттамасымен расталды"
"KK04","ҚМДБ электрондық кітапханасы","Имани гүл","https://kitap.muftyat.kz/kk/view/17/","қазақша","ислам негіздері; этика; заманауи сұрақтар","жалпы қазақтілді аудитория","онлайн оқу; PDF кітап","сенім негіздері мен қоғамдағы күрделі сұрақтарға тақырыптық жауаптар","Қайрат Жолдыбайұлы; ҚМДБ платформасы","Тілі қолжетімді және жергілікті контекст мықты; көлемді прозаны қысқа оқу мақсаттарына бөлмей тікелей көшіруге болмайды","REFERENCE_ONLY_PERMISSION_REQUIRED: авторлық еңбек; лицензия көрсетілмеген","Қазақ контекстіндегі иман және сыни сұрақтар; AI Coach үшін тек лицензияланған/қайта жазылған knowledge cards","HTTP 200; автор мен аудитория ресми беттен расталды"
"KK05","ҚМДБ / Muftiyat баспасы","Бабалар ізімен: Қазақ даласындағы мұсылмандық мектеп","https://kitap.muftyat.kz/kk/read/284/","қазақша","ислам тарихы; негіздер; этика; дәстүр","жастар; отбасылар; жалпы аудитория","кітап таныстырылымы; баспа еңбегі","3 бөлім: тарихи негіздер -> дәстүрлі діни таным -> дін мен дәстүр сабақтастығы","ҚМДБ әзірлеген басылым; бетте жеке автор/рецензенттер ашылмаған","Қазақстандық мәдени контекст өте құнды; толық мазмұн/аппарат бетте жоқ; дәстүр мен діни үкімді интерфейсте шатастырмау қажет","METADATA_ONLY_PERMISSION_REQUIRED: сипаттамаға сілтеме жасауға болады; мәтінді лицензиясыз алмау","Қазақстандағы ислам тарихы; Дін және дәстүр; этика кейстері","HTTP 200; үш бөлімдік құрылым ресми таныстырылымнан расталды"
"KK06","ҚМДБ","Ислам сайты және Құран аудиосы","https://islam.muftyat.kz/kk/","қазақша; арабша","Құран тыңдау; ислам негіздері","жалпы аудитория","веб-портал; аят/сүре аудио; мақалалар","сүре бойынша тыңдау және тақырыптық білім беттері; бірыңғай бағаланатын курс жоқ","ҚМДБ; жекелеген материалдарда автор/бөлім көрсетіледі","Ресми локализация мен аудио құнды; аудио файлдарының кариі, нұсқасы және лицензиясын әр жазбаға жеке архивтеу керек","STREAM_OR_LINK_ONLY_PERMISSION_REQUIRED: лицензиясыз аудионы көшірмеу; ресми бетке сілтеме/серіктестік","Қазақша Quran Reader аудио; күн аяты; source-grounded Coach","HTTP 200; ҚМДБ субдомені және Фатиха аудиосы тексерілді"
"KK07","ҚМДБ Уағыз-насихат бөлімі","Жұма мінбері","https://www.muftiyat.kz/kk/nasihat/","қазақша","этика; ислам негіздері; рухани тәрбие","ересектер; жамағат; ұстаздар","мерзімді мәтіндік уағыздар","әр материалда тақырып, аят/хадис дәлелі, түсіндіру және қорытынды дұға; курсаралық прогрессия жоқ","ҚМДБ Уағыз-насихат бөлімі; кей беттерде автор көрсетіледі","Ресми әрі өзекті, бірақ жанр мотивациялық; хадис дәрежесі мен бастапқы сілтемелер біркелкі емес; кәмелетке толмағандарға бейімдеу керек","REFERENCE_ONLY_PERMISSION_REQUIRED: сілтеме және қысқа метадерек; толық мәтінді рұқсатсыз алмау","Апталық этика lesson; күнделікті рефлексия; дереккөзді reminder мәтіндері","HTTP 200; ресми бөлім мен жарияланым құрылымы тексерілді"
"KK08","ҚМДБ","ҚМДБ оқу орындарының ресми тізімі/анықтамалығы","https://www.muftyat.kz/media/muftyat/book_6350.pdf","қазақша; орысша","оқу стандарттары; Құран; тәжуид; араб тілі","серіктестік және сарапшы іздейтін өнім командасы","PDF анықтамалық","оқу орындары мен пәндер тізімі; тәжуид, Құран оқу, араб тілі секілді бағыттар көрсетілген","ҚМДБ","Бұл контент курстың өзі емес және ескі болуы мүмкін; байланыстар мен мәртебені қайта растау қажет","METADATA_ONLY: сарапшы/серіктес картасы ретінде пайдалану; оқу мәтіні жоқ","Expert Council; ұстаздар пулын және контент review workflow-ын құру","HTTP 200; PDF-де тәжуид/Құран пәндері табылды"
"KK09","Нұр-Мүбарак Египет ислам мәдениеті университеті","6B02201 Исламтану білім беру бағдарламасы (2025)","https://www.nmu.edu.kz/wp-content/uploads/2025/12/BBB_6B.pdf","қазақша; ішінара орысша; арабша пәндер","араб тілі; Құран фонетикасы; жаттау; қырағат; ислам негіздері; тарих","ЖОО студенттері; кәсіби бағдар","36 беттік ресми оқу жоспары","семестрлік prerequisite: Араб тілі 1-4; Құран фонетикасы 1-2; махраж; Құран жаттау 1-2; қырағат; Құран ілімдері; ақида; ғибадат; тарих","университет бағдарламасы; кафедра/академиялық кеңес деңгейіндегі бекіту","Ең мықты жергілікті curriculum map, бірақ бакалавр көлемі consumer app үшін тым терең; оқу нәтижелерін микросабақтарға қайта жобалау керек","REFERENCE_ONLY_PERMISSION_REQUIRED: оқу жоспарын benchmark ету; мәтін/тапсырмаларды лицензиясыз алмау","Толық KK learning graph; Tajwid levels; Quran Sciences; teacher-review rubric","HTTP 200; пәндер, кредиттер және семестрлер PDF-ден тікелей тексерілді"
"KK10","Нұр-Мүбарак университеті","6B02201 Исламтану бағдарламасы (2019-2020)","https://www.nmu.edu.kz/wp-content/uploads/2022/04/2019-2020-oku-zhylyna-arnalgan-bilim-beru-bagdarlamasy.pdf","қазақша","исламтану; араб тілі; теология","бакалавриат; curriculum зерттеушілері","ресми PDF оқу бағдарламасы","240 ECTS, құзыреттер, оқу нәтижелері және пәндер сабақтастығы","Нұр-Мүбарак университеті","Ескі нұсқа; тек тарихи салыстыруға жарайды; ағымдағы пән атауларын 2025 жоспарымен басым растау керек","REFERENCE_ONLY","Curriculum versioning; оқу нәтижелерін және prerequisites салыстыру","HTTP 200; ресми университет домені және бағдарлама көлемі расталды"
