canonical_product_id,product,canonical_url,source_type,accessed_at,http_status,source_file
elevate,Elevate,https://elevateapp.com/,product,2026-09-11,200,tool/build_competitor_landscape.mjs | docs/research/competitors/edtech-growth-mechanics-2026-09-11.csv
elevate,Elevate,https://support.elevateapp.com/hc/en-us/articles/4402922583067-What-is-Elevate,documentation,2026-09-11,403,tool/build_competitor_landscape.mjs | docs/research/competitors/edtech-growth-mechanics-2026-09-11.csv
elevate,Elevate,https://support.elevateapp.com/hc/en-us/articles/4402925042715-What-is-a-streak,documentation,2026-09-11,403,tool/build_competitor_landscape.mjs | docs/research/competitors/edtech-growth-mechanics-2026-09-11.csv
elevate,Elevate,https://get.elevateapp.com/,product,2026-09-11,200,tool/build_competitor_landscape.mjs | docs/research/competitors/edtech-growth-mechanics-2026-09-11.csv
ayatika,Ayatika,https://play.google.com/store/apps/details?id=fr.ayatika.app,app_store,2026-09-11,200,docs/research/competitors/direct-quran-ai-competitors-2026-09-11.csv
ayatika,Ayatika,https://ayatika.fr,product,2026-09-11,200,docs/research/competitors/direct-quran-ai-competitors-2026-09-11.csv
zad-academy,Zad Academy,https://zad-academy.com/en,product,2026-09-11,200,docs/research/agents/product-pedagogy-expansion-2026-09-11.csv | docs/research/competitors/islamic-gamified-learning-2026-09-11.csv
zad-academy,Zad Academy,https://zad-academy.com/en/curriculum,product,2026-09-11,200,docs/research/agents/product-pedagogy-expansion-2026-09-11.csv | docs/research/competitors/islamic-gamified-learning-2026-09-11.csv
zad-academy,Zad Academy,https://support.zad-academy.com/en/275805-Exams,documentation,2026-09-11,200,docs/research/agents/product-pedagogy-expansion-2026-09-11.csv | docs/research/competitors/islamic-gamified-learning-2026-09-11.csv
noor,NOOR,https://noor.vip/,product,2026-09-11,200,tool/build_competitor_landscape.mjs
loora,Loora,https://www.loora.com/,product,2026-09-11,200,docs/research/competitors/edtech-growth-mechanics-2026-09-11.csv
loora,Loora,https://www.loora.com/support/billing-and-subscription/pricing-plans,documentation,2026-09-11,200,docs/research/competitors/edtech-growth-mechanics-2026-09-11.csv
loora,Loora,https://www.loora.com/use-cases/intermediate-english,product,2026-09-11,200,docs/research/competitors/edtech-growth-mechanics-2026-09-11.csv
praktika,Praktika,https://praktika.ai/,product,2026-09-11,200,docs/research/competitors/edtech-growth-mechanics-2026-09-11.csv
huffaz,Huffaz,https://www.huffaz.id/,product,2026-09-11,network_error,docs/research/competitors/direct-quran-ai-competitors-2026-09-11.csv
elsa-speak,ELSA Speak,https://elsaspeak.com/en,product,2026-09-11,200,docs/research/competitors/edtech-growth-mechanics-2026-09-11.csv
elsa-speak,ELSA Speak,https://elsaspeak.com/en/elsa-subscription,pricing,2026-09-11,200,docs/research/competitors/edtech-growth-mechanics-2026-09-11.csv
elsa-speak,ELSA Speak,https://elsaspeak.com/en/enterprise/business,product,2026-09-11,200,docs/research/competitors/edtech-growth-mechanics-2026-09-11.csv
speak,Speak,https://www.speak.com/,product,2026-09-11,200,docs/research/competitors/edtech-growth-mechanics-2026-09-11.csv
speak,Speak,https://help.speak.com/en/articles/5358417-what-s-the-difference-between-premium-and-premium-plus,documentation,2026-09-11,200,docs/research/competitors/edtech-growth-mechanics-2026-09-11.csv
speak,Speak,https://app.speak.com/us-en/gift,product,2026-09-11,200,docs/research/competitors/edtech-growth-mechanics-2026-09-11.csv
deendropz,DeenDropz,https://apps.apple.com/my/app/deendropz/id6759574013,app_store,2026-09-11,200,docs/research/competitors/islamic-gamified-learning-2026-09-11.csv
quran-by-islam-org,Quran+ by Islam.org,https://apps.apple.com/us/app/quran-by-islam-org/id1621850736,app_store,2026-09-11,200,docs/research/competitors/islamic-superapps-2026-09-11.csv
quran-by-islam-org,Quran+ by Islam.org,https://www.islamicity.org/,product,2026-09-11,403,docs/research/competitors/islamic-superapps-2026-09-11.csv
athan-pro,Athan Pro,https://apps.apple.com/us/app/athan-pro-muslim-prayer-times/id743843090,app_store,2026-09-11,200,docs/research/competitors/islamic-superapps-2026-09-11.csv
al-islam-islamic-pillars,Al-Islam: Islamic Pillars,https://apps.apple.com/us/app/al-islam-islamic-pillars/id6449729655,app_store,2026-09-11,200,docs/research/competitors/islamic-superapps-2026-09-11.csv
amau-academy,AMAU Academy,https://www.amauacademy.com/,product,2026-09-11,200,docs/research/agents/product-pedagogy-expansion-2026-09-11.csv | docs/research/competitors/islamic-gamified-learning-2026-09-11.csv | docs/research/competitors/competitive-growth-switching-2026-09-11.csv
amau-academy,AMAU Academy,https://helpdesk.amauacademy.com/articles/getting-started-with-amau/what-is-amau-academy/,documentation,2026-09-11,200,docs/research/agents/product-pedagogy-expansion-2026-09-11.csv | docs/research/competitors/islamic-gamified-learning-2026-09-11.csv | docs/research/competitors/competitive-growth-switching-2026-09-11.csv
amau-academy,AMAU Academy,https://www.amauacademy.com/pages/plans,pricing,2026-09-11,200,docs/research/agents/product-pedagogy-expansion-2026-09-11.csv | docs/research/competitors/islamic-gamified-learning-2026-09-11.csv | docs/research/competitors/competitive-growth-switching-2026-09-11.csv
amau-academy,AMAU Academy,https://helpdesk.amauacademy.com/articles/gift-sharing-and-family-use/refer-and-win/,documentation,2026-09-11,200,docs/research/agents/product-pedagogy-expansion-2026-09-11.csv | docs/research/competitors/islamic-gamified-learning-2026-09-11.csv | docs/research/competitors/competitive-growth-switching-2026-09-11.csv
alifbee-kids,AlifBee Kids,https://alifbeekids.com/ar,product,2026-09-11,200,docs/research/competitors/kids-family-new-muslim-2026-09-11.csv
alifbee-kids,AlifBee Kids,https://help.alifbee.com/hc/en-us/articles/10239530428573--What-is-AlifBee-Kids,documentation,2026-09-11,403,docs/research/competitors/kids-family-new-muslim-2026-09-11.csv
alifbee-kids,AlifBee Kids,https://help.alifbee.com/hc/en-us/articles/10213436606621--AlifBee-Kids-Sections,documentation,2026-09-11,403,docs/research/competitors/kids-family-new-muslim-2026-09-11.csv
alifbee-kids,AlifBee Kids,https://help.alifbee.com/hc/en-us/articles/10239728344477--Is-AlifBee-Kids-free,documentation,2026-09-11,403,docs/research/competitors/kids-family-new-muslim-2026-09-11.csv
madinah-arabic,Madinah Arabic,https://madinaharabic.com/free-content/reading,product,2026-09-11,200,tool/build_competitor_landscape.mjs
arabic101,Arabic101,https://arabic101.org/,product,2026-09-11,200,docs/research/agents/product-pedagogy-expansion-2026-09-11.csv | docs/research/competitors/competitive-growth-switching-2026-09-11.csv
arabic101,Arabic101,https://academy.arabic101.org/courses/,product,2026-09-11,200,docs/research/agents/product-pedagogy-expansion-2026-09-11.csv | docs/research/competitors/competitive-growth-switching-2026-09-11.csv
arabic101,Arabic101,https://academy.arabic101.org/tiersplans3/,pricing,2026-09-11,200,docs/research/agents/product-pedagogy-expansion-2026-09-11.csv | docs/research/competitors/competitive-growth-switching-2026-09-11.csv
arabic101,Arabic101,https://arabic101.org/aca/getting-started/,product,2026-09-11,200,docs/research/agents/product-pedagogy-expansion-2026-09-11.csv | docs/research/competitors/competitive-growth-switching-2026-09-11.csv
arabic101,Arabic101,https://arabic101.org/aca/faq-teaching/,documentation,2026-09-11,200,docs/research/agents/product-pedagogy-expansion-2026-09-11.csv | docs/research/competitors/competitive-growth-switching-2026-09-11.csv
pimsleur,Pimsleur,https://www.pimsleur.com/,product,2026-09-11,200,docs/research/agents/product-pedagogy-expansion-2026-09-11.csv | docs/research/competitors/edtech-growth-mechanics-2026-09-11.csv | docs/research/competitors/competitor-pricing-packaging-2026-09-11.csv | docs/research/competitors/competitor-review-painpoints-2026-09-11.csv
pimsleur,Pimsleur,https://www.pimsleur.com/pimsleur-faq/,documentation,2026-09-11,200,docs/research/agents/product-pedagogy-expansion-2026-09-11.csv | docs/research/competitors/edtech-growth-mechanics-2026-09-11.csv | docs/research/competitors/competitor-pricing-packaging-2026-09-11.csv | docs/research/competitors/competitor-review-painpoints-2026-09-11.csv
pimsleur,Pimsleur,https://www.pimsleur.com/learn-french/subscription-audio/,pricing,2026-09-11,200,docs/research/agents/product-pedagogy-expansion-2026-09-11.csv | docs/research/competitors/edtech-growth-mechanics-2026-09-11.csv | docs/research/competitors/competitor-pricing-packaging-2026-09-11.csv | docs/research/competitors/competitor-review-painpoints-2026-09-11.csv
pimsleur,Pimsleur,https://www.pimsleur.com/learn-arabic-modern-standard,product,2026-09-11,200,docs/research/agents/product-pedagogy-expansion-2026-09-11.csv | docs/research/competitors/edtech-growth-mechanics-2026-09-11.csv | docs/research/competitors/competitor-pricing-packaging-2026-09-11.csv | docs/research/competitors/competitor-review-painpoints-2026-09-11.csv
hifz-jatra,Hifz Jatra,https://play.google.com/store/apps/details?id=com.ummahfirstlabs.hifzjatra,app_store,2026-09-11,200,docs/research/competitors/direct-quran-ai-competitors-2026-09-11.csv
hifz-jatra,Hifz Jatra,https://hifzjatra.top,product,2026-09-11,200,docs/research/competitors/direct-quran-ai-competitors-2026-09-11.csv
irshad,Irshad,https://apps.apple.com/us/app/irshad-islamic-learning/id6761447206,app_store,2026-09-11,200,docs/research/competitors/islamic-gamified-learning-2026-09-11.csv
safar-publications,Safar Publications,https://www.safaracademy.org/curriculum/,product,2026-09-11,200,docs/research/agents/product-pedagogy-expansion-2026-09-11.csv
safar-publications,Safar Publications,https://safarpublications.org/islamic-studies-primary/,product,2026-09-11,403,docs/research/agents/product-pedagogy-expansion-2026-09-11.csv
safar-publications,Safar Publications,https://docs.safarpublications.org/article/76-who-writes-the-textbooks,documentation,2026-09-11,403,docs/research/agents/product-pedagogy-expansion-2026-09-11.csv
naml,Naml,https://naml-app.com/en,product,2026-09-11,200,docs/research/agents/product-pedagogy-expansion-2026-09-11.csv | docs/research/competitors/direct-quran-ai-competitors-2026-09-11.csv | docs/research/competitors/islamic-gamified-learning-2026-09-11.csv | docs/research/competitors/kids-family-new-muslim-2026-09-11.csv | docs/research/competitors/competitive-growth-switching-2026-09-11.csv | docs/research/competitors/competitor-pricing-packaging-2026-09-11.csv | docs/research/competitors/competitor-review-painpoints-2026-09-11.csv
naml,Naml,https://naml-app.com/en/pricing,pricing,2026-09-11,200,docs/research/agents/product-pedagogy-expansion-2026-09-11.csv | docs/research/competitors/direct-quran-ai-competitors-2026-09-11.csv | docs/research/competitors/islamic-gamified-learning-2026-09-11.csv | docs/research/competitors/kids-family-new-muslim-2026-09-11.csv | docs/research/competitors/competitive-growth-switching-2026-09-11.csv | docs/research/competitors/competitor-pricing-packaging-2026-09-11.csv | docs/research/competitors/competitor-review-painpoints-2026-09-11.csv
naml,Naml,https://naml-app.com/en/legal/privacy,policy,2026-09-11,200,docs/research/agents/product-pedagogy-expansion-2026-09-11.csv | docs/research/competitors/direct-quran-ai-competitors-2026-09-11.csv | docs/research/competitors/islamic-gamified-learning-2026-09-11.csv | docs/research/competitors/kids-family-new-muslim-2026-09-11.csv | docs/research/competitors/competitive-growth-switching-2026-09-11.csv | docs/research/competitors/competitor-pricing-packaging-2026-09-11.csv | docs/research/competitors/competitor-review-painpoints-2026-09-11.csv
naml,Naml,https://naml-app.com/ar/pricing,pricing,2026-09-11,200,docs/research/agents/product-pedagogy-expansion-2026-09-11.csv | docs/research/competitors/direct-quran-ai-competitors-2026-09-11.csv | docs/research/competitors/islamic-gamified-learning-2026-09-11.csv | docs/research/competitors/kids-family-new-muslim-2026-09-11.csv | docs/research/competitors/competitive-growth-switching-2026-09-11.csv | docs/research/competitors/competitor-pricing-packaging-2026-09-11.csv | docs/research/competitors/competitor-review-painpoints-2026-09-11.csv
learning-roots-kiitab,Learning Roots / Kiitab,https://www.learningroots.us/,product,2026-09-11,200,docs/research/competitors/kids-family-new-muslim-2026-09-11.csv
learning-roots-kiitab,Learning Roots / Kiitab,https://www.learningroots.com/products/home-progress-kit-free-download,product,2026-09-11,200,docs/research/competitors/kids-family-new-muslim-2026-09-11.csv
hifzai-by-nxgenz,HifzAI by NxGenZ,https://hifzai.org/,product,2026-09-11,200,docs/research/competitors/direct-quran-ai-competitors-2026-09-11.csv | docs/research/competitors/competitor-pricing-packaging-2026-09-11.csv
hifzai-by-nxgenz,HifzAI by NxGenZ,https://hifzai.org/privacy,policy,2026-09-11,200,docs/research/competitors/direct-quran-ai-competitors-2026-09-11.csv | docs/research/competitors/competitor-pricing-packaging-2026-09-11.csv
almaghrib-institute,AlMaghrib Institute,https://www.almaghrib.org/online/,product,2026-09-11,200,docs/research/competitors/islamic-gamified-learning-2026-09-11.csv
almaghrib-institute,AlMaghrib Institute,https://www.almaghrib.org/allaccess/,product,2026-09-11,200,docs/research/competitors/islamic-gamified-learning-2026-09-11.csv
lingq,LingQ,https://www.lingq.com/en/ios-app/,product,2026-09-11,200,docs/research/agents/product-pedagogy-expansion-2026-09-11.csv | docs/research/competitors/edtech-growth-mechanics-2026-09-11.csv | docs/research/competitors/competitive-growth-switching-2026-09-11.csv
lingq,LingQ,https://www.lingq.com/en/schools/,product,2026-09-11,200,docs/research/agents/product-pedagogy-expansion-2026-09-11.csv | docs/research/competitors/edtech-growth-mechanics-2026-09-11.csv | docs/research/competitors/competitive-growth-switching-2026-09-11.csv
lingq,LingQ,https://www.lingq.com/en/signup/,product,2026-09-11,200,docs/research/agents/product-pedagogy-expansion-2026-09-11.csv | docs/research/competitors/edtech-growth-mechanics-2026-09-11.csv | docs/research/competitors/competitive-growth-switching-2026-09-11.csv
lingq,LingQ,https://www.lingq.com/,product,2026-09-11,200,docs/research/agents/product-pedagogy-expansion-2026-09-11.csv | docs/research/competitors/edtech-growth-mechanics-2026-09-11.csv | docs/research/competitors/competitive-growth-switching-2026-09-11.csv
lingq,LingQ,https://www.lingq.com/en/accounts/new/,product,2026-09-11,200,docs/research/agents/product-pedagogy-expansion-2026-09-11.csv | docs/research/competitors/edtech-growth-mechanics-2026-09-11.csv | docs/research/competitors/competitive-growth-switching-2026-09-11.csv
clozemaster,Clozemaster,https://www.clozemaster.com/pro?source=signup,product,2026-09-11,200,docs/research/competitors/edtech-growth-mechanics-2026-09-11.csv
clozemaster,Clozemaster,https://www.clozemaster.com/l/deu-eng/collections/fluency-fast-track-f3f781f5-b1a4-48e4-8c93-9c85355c9479,product,2026-09-11,200,docs/research/competitors/edtech-growth-mechanics-2026-09-11.csv
coursera-arabic,Coursera Arabic,https://www.coursera.org/learn/arabic-for-beginners-1-arabic-alphabet-and-phonology,product,2026-09-11,200,tool/build_competitor_landscape.mjs
safar-journey2jannah,Safar Journey2Jannah,https://safarpublications.org/,product,2026-09-11,403,docs/research/competitors/islamic-gamified-learning-2026-09-11.csv
safar-journey2jannah,Safar Journey2Jannah,https://docs.safarpublications.org/,documentation,2026-09-11,403,docs/research/competitors/islamic-gamified-learning-2026-09-11.csv
miyao,Miyao,https://miyaokids.com/,product,2026-09-11,200,docs/research/competitors/islamic-gamified-learning-2026-09-11.csv
sajda,Sajda,https://sajda.com/,product,2026-09-11,200,docs/research/agents/product-pedagogy-expansion-2026-09-11.csv | docs/research/competitors/islamic-superapps-2026-09-11.csv | docs/research/competitors/competitive-growth-switching-2026-09-11.csv | docs/research/competitors/competitor-pricing-packaging-2026-09-11.csv | docs/research/competitors/competitor-review-painpoints-2026-09-11.csv
sajda,Sajda,https://sajda.com/en,product,2026-09-11,200,docs/research/agents/product-pedagogy-expansion-2026-09-11.csv | docs/research/competitors/islamic-superapps-2026-09-11.csv | docs/research/competitors/competitive-growth-switching-2026-09-11.csv | docs/research/competitors/competitor-pricing-packaging-2026-09-11.csv | docs/research/competitors/competitor-review-painpoints-2026-09-11.csv
sajda,Sajda,https://sajda.com/en/privacy,policy,2026-09-11,200,docs/research/agents/product-pedagogy-expansion-2026-09-11.csv | docs/research/competitors/islamic-superapps-2026-09-11.csv | docs/research/competitors/competitive-growth-switching-2026-09-11.csv | docs/research/competitors/competitor-pricing-packaging-2026-09-11.csv | docs/research/competitors/competitor-review-painpoints-2026-09-11.csv
qalam,Qalam,https://apps.apple.com/us/app/qalam-quran-deen-stories/id6744072027,app_store,2026-09-11,200,docs/research/competitors/islamic-superapps-2026-09-11.csv
beckah-games,Beckah Games,https://www.beckah.org/en/games,product,2026-09-11,200,docs/research/competitors/kids-family-new-muslim-2026-09-11.csv
ameen,Ameen,https://apps.apple.com/us/app/ameen-quran-athan-prayer/id6742055838,app_store,2026-09-11,200,docs/research/competitors/islamic-superapps-2026-09-11.csv
hafiz-quran-memorization,Hafiz - Quran Memorization,https://play.google.com/store/apps/details?id=com.hafiz.app.hafiz_app,app_store,2026-09-11,200,docs/research/competitors/direct-quran-ai-competitors-2026-09-11.csv
hifzease,HifzEase,https://play.google.com/store/apps/details?id=com.zuapps.hifz_ease,app_store,2026-09-11,200,docs/research/competitors/direct-quran-ai-competitors-2026-09-11.csv
tathbeet,Tathbeet,https://play.google.com/store/apps/details?id=linahfad.quran.app,app_store,2026-09-11,200,docs/research/competitors/direct-quran-ai-competitors-2026-09-11.csv
tathbeet,Tathbeet,https://play.google.com/store/apps/details?id=linahfad.warshquran.app,app_store,2026-09-11,200,docs/research/competitors/direct-quran-ai-competitors-2026-09-11.csv
nuri,Nuri,https://learnwithnuri.com/,product,2026-09-11,200,docs/research/competitors/islamic-gamified-learning-2026-09-11.csv
itqan-ayah,Itqan Ayah,https://apps.apple.com/sa/app/itqan-ayah-quran-memorization/id6468956692,app_store,2026-09-11,200,docs/research/competitors/direct-quran-ai-competitors-2026-09-11.csv | docs/research/competitors/competitor-pricing-packaging-2026-09-11.csv | docs/research/competitors/competitor-review-painpoints-2026-09-11.csv
sabil-children-academy,SABIL Children Academy,https://thesabilinstitute.org/masjid/academy/children,product,2026-09-11,200,tool/build_competitor_landscape.mjs
journey2jannah,Journey2Jannah,https://journey2jannah.com/,product,2026-09-11,200,tool/build_competitor_landscape.mjs
salam-learn,Salam Learn,https://salamgames.com/learn/,product,2026-09-11,200,docs/research/competitors/islamic-gamified-learning-2026-09-11.csv
learndeen,LearnDeen,https://play.google.com/store/apps/details?id=com.learndeen.learndeen,app_store,2026-09-11,200,docs/research/competitors/islamic-gamified-learning-2026-09-11.csv
mondly,Mondly,https://www.mondly.com/,product,2026-09-11,405,tool/build_competitor_landscape.mjs | docs/research/competitors/edtech-growth-mechanics-2026-09-11.csv
mondly,Mondly,https://apps.apple.com/us/app/mondly-learn-41-languages/id987873536,app_store,2026-09-11,200,tool/build_competitor_landscape.mjs | docs/research/competitors/edtech-growth-mechanics-2026-09-11.csv
mondly,Mondly,https://www.pearson.com/languages/en-us/educators/mondly-by-pearson.html,product,2026-09-11,200,tool/build_competitor_landscape.mjs | docs/research/competitors/edtech-growth-mechanics-2026-09-11.csv
sabinoor,Sabinoor,https://sabinoor.com/,product,2026-09-11,200,docs/research/competitors/islamic-gamified-learning-2026-09-11.csv | docs/research/competitors/competitor-pricing-packaging-2026-09-11.csv
sabinoor,Sabinoor,https://apps.apple.com/us/app/sabinoor/id6765837763,app_store,2026-09-11,200,docs/research/competitors/islamic-gamified-learning-2026-09-11.csv | docs/research/competitors/competitor-pricing-packaging-2026-09-11.csv
sabinoor,Sabinoor,https://www.sabinoor.com/,product,2026-09-11,200,docs/research/competitors/islamic-gamified-learning-2026-09-11.csv | docs/research/competitors/competitor-pricing-packaging-2026-09-11.csv
quran-era,Quran Era,https://quranera.com/FAQ.html,product,2026-09-11,200,docs/research/competitors/islamic-gamified-learning-2026-09-11.csv | docs/research/competitors/kids-family-new-muslim-2026-09-11.csv | docs/research/competitors/competitor-pricing-packaging-2026-09-11.csv | docs/research/competitors/competitor-review-painpoints-2026-09-11.csv
quran-era,Quran Era,https://quranera.com/pricing.html,pricing,2026-09-11,200,docs/research/competitors/islamic-gamified-learning-2026-09-11.csv | docs/research/competitors/kids-family-new-muslim-2026-09-11.csv | docs/research/competitors/competitor-pricing-packaging-2026-09-11.csv | docs/research/competitors/competitor-review-painpoints-2026-09-11.csv
quran-era,Quran Era,https://quranera.com/privacy-policy.html,policy,2026-09-11,200,docs/research/competitors/islamic-gamified-learning-2026-09-11.csv | docs/research/competitors/kids-family-new-muslim-2026-09-11.csv | docs/research/competitors/competitor-pricing-packaging-2026-09-11.csv | docs/research/competitors/competitor-review-painpoints-2026-09-11.csv
quran-era,Quran Era,https://quranera.com/live-classes.html,product,2026-09-11,200,docs/research/competitors/islamic-gamified-learning-2026-09-11.csv | docs/research/competitors/kids-family-new-muslim-2026-09-11.csv | docs/research/competitors/competitor-pricing-packaging-2026-09-11.csv | docs/research/competitors/competitor-review-painpoints-2026-09-11.csv
quran-for-kids-tarteel-noor,"Quran For Kids, Tarteel: NOOR",https://play.google.com/store/apps/details?hl=en_US&id=com.kaderisoft.islam,app_store,2026-09-11,200,docs/research/competitors/kids-family-new-muslim-2026-09-11.csv
iman-app,iman.app,https://iman.app/,product,2026-09-11,200,docs/research/competitors/direct-quran-ai-competitors-2026-09-11.csv | docs/research/competitors/competitor-pricing-packaging-2026-09-11.csv | docs/research/competitors/competitor-review-painpoints-2026-09-11.csv
iman-app,iman.app,https://iman.app/pricing,pricing,2026-09-11,200,docs/research/competitors/direct-quran-ai-competitors-2026-09-11.csv | docs/research/competitors/competitor-pricing-packaging-2026-09-11.csv | docs/research/competitors/competitor-review-painpoints-2026-09-11.csv
iman-app,iman.app,https://apps.apple.com/us/app/iman-app-memorize-quran/id6736880861,app_store,2026-09-11,200,docs/research/competitors/direct-quran-ai-competitors-2026-09-11.csv | docs/research/competitors/competitor-pricing-packaging-2026-09-11.csv | docs/research/competitors/competitor-review-painpoints-2026-09-11.csv
