id,category,source,artifact,publisher_or_authority,primary_url,license_or_terms,license_url,versioning,attribution,commercial_use,offline_use,api_or_access_limits,source_grounded_ai_fit,recommendation,verified_on
QUR-001,Quran text,KFGQPC Developer Platform,Digital Madinah Mushaf Hafs database,"King Fahd Glorious Quran Printing Complex",https://qurancomplex.gov.sa/en/techquran/dev/,"Official page explicitly offers files for desktop, mobile, browser, educational and publishing use; no standalone open-license text was found and printing is subject to the site's privacy policy",https://qurancomplex.gov.sa/en/techquran/dev/,"Update 6.0; page records 2020-08-21 creation and 2022-06-30 modification",Credit KFGQPC and preserve edition/version/checksums; confirm wording in writing,Conditional; intended app use is stated but monetized redistribution is not expressly licensed,Yes; downloadable Excel/CSV/HTML5/SQL/XML/JSON/PDF and fonts,Direct download; no published quota,Excellent canonical display/retrieval source after written clarification; do not train or transform text without permission,Priority A after KFGQPC written permission covering commercial app/offline/RAG,2026-09-11
QUR-002,Tafsir,KFGQPC Developer Platform,Tafsir al-Muyassar database,"King Fahd Glorious Quran Printing Complex",https://qurancomplex.gov.sa/en/techquran/dev/,"Official page says approved content is provided to developers/researchers/publishers for application and research use; no explicit open license or AI clause found",https://qurancomplex.gov.sa/en/techquran/dev/,"Download identified by MD5 5601682965e32f4dd6992c7600fdccc3 and SHA-1 5f533113c2f54f32eded734bb49e6a5837965722; release date not stated",Credit full title and KFGQPC; retain file checksum and review date,Conditional; commercial terms not explicit,Yes; downloadable database in several formats,Direct download; no published quota,Strong retrieval source but embeddings/summaries/translation are unlicensed transformations,Priority A reference; obtain written commercial and AI/RAG permission,2026-09-11
QUR-003,Quranic lexicon,KFGQPC Developer Platform,Al-Muyassar fi Gharib al-Quran database,"King Fahd Glorious Quran Printing Complex",https://qurancomplex.gov.sa/en/techquran/dev/,"Official page authorizes use in apps and research but publishes no named open license or derivative-use grant",https://qurancomplex.gov.sa/en/techquran/dev/,"Created/modified 2021-04-06; MD5 7E22381EEDB152EE7ED6488F2395C6CD; SHA-1 055A908C6EC7F06912C33BD00920406C665CC5F9",Credit KFGQPC and the named work; retain version/checksum,Conditional; monetized reuse not explicit,Yes; Excel/CSV/HTML5/SQL/XML/JSON,Direct download; no quota,Very useful for cited word explanations; generated paraphrases need separate approval,Priority A after rights letter and scholar review,2026-09-11
QUR-004,Tajwid reference,KFGQPC Developer Platform,Al-Tajwid al-Muyassar,"King Fahd Glorious Quran Printing Complex",https://qurancomplex.gov.sa/en/techquran/dev/,"Official downloadable publication; no open-license or adaptation permission found",https://qurancomplex.gov.sa/en/techquran/dev/,"Created/modified 2023-01-12; MD5 b4a265a810c0ce4a722019791910b67e; SHA-1 d2496382fc5e843ccb693b94dd19407eaa174bea",Name work and KFGQPC; link edition,Not established; use as editorial reference unless licensed,Download for internal reference; redistribution unclear,Direct download,Good human-review reference but not safe as an ingest corpus,Reference-only until a written content/adaptation license is obtained,2026-09-11
QUR-005,Quran translations,KFGQPC Publications,Official translations catalogue,"King Fahd Glorious Quran Printing Complex",https://qurancomplex.gov.sa/en/category/translations/,"Official downloads are offered but no blanket open license covering every translation/audio edition was found; edition-specific rights must be checked",https://qurancomplex.gov.sa/en/category/translations/,Page-level publication and modification dates vary by edition,Attribute KFGQPC plus language/translator/edition,Permission/edition review required,Some editions are downloadable; offline redistribution not automatically granted,No API documented on catalogue,High canonical authority but rights must be attached per translation,Use as authority and licensing lead; do not assume catalogue-wide reuse rights,2026-09-11
QUR-006,Quran text,Tanzil Quran Text,Uthmani and Imlaei text,"Tanzil Project",https://tanzil.net/docs/download,"Creative Commons Attribution 3.0 plus explicit terms: verbatim copying/distribution allowed; changing text prohibited; source/link and copyright notice required",https://tanzil.net/docs/text_license,"Text version 1.1; continuously monitored; updates page is authoritative",Clearly indicate Tanzil Project; link tanzil.net; include copyright notice in substantial copies,Yes if verbatim and attributed,Yes; downloadable UTF-8 files,No API quota; downloadable files,Excellent immutable retrieval/search base; never allow model output to rewrite canonical Arabic,Priority A baseline Quran text with automated checksum/update monitoring,2026-09-11
QUR-007,Quran metadata,Tanzil Quran Metadata,Surah/partition/page/sajdah metadata,"Tanzil Project",https://tanzil.net/docs/quran_metadata,"No separate license is printed on metadata page; do not infer the Quran-text CC BY terms automatically",https://tanzil.net/docs/quran_metadata,"Metadata version 1.0 with change log",Credit Tanzil and link source; preserve version,Unclear until confirmed,Yes; XML and JavaScript downloads,No API quota,Good deterministic navigation source; avoid treating revelation-order metadata as undisputed without editorial note,Use provisionally only after written license confirmation or source through licensed API,2026-09-11
QUR-008,Quran translations,Tanzil Translations Repository,Multilingual translations and selected tafsir,"Tanzil Project and named translators/publishers",https://tanzil.net/trans/,"Non-commercial purposes only; other use requires permission from translator/publisher; link back required when more than three translations are used; redistribution of the list is prohibited without Tanzil permission",https://tanzil.net/trans/,Individual translations vary; repository tracks updates but no single corpus version,Name translator/publisher and Tanzil; link repository when applicable,No without separate permission,Technically downloadable but commercial offline bundling requires permission,No quota; bulk files available,Useful for evaluation only until translation-specific rights are cleared; not for training,Do not ship in Muslingo commercial builds without signed rights per translation,2026-09-11
QUR-009,Quran translations,QuranEnc,Translation API and downloadable editions,"QuranEnc / IslamHouse ecosystem",https://quranenc.com/en/home/api,"Republishing allowed only unmodified; identify publisher and QuranEnc; include version/transcript metadata; report notes; update to latest version; no inappropriate advertising",https://quranenc.com/en/home/api,"API list returns version and last_update per translation; feedback example shows version 1.0.9",Credit named translator/publisher and QuranEnc.com; show version,Commercial status not explicitly stated; obtain confirmation for paid/freemium app,Yes if terms are followed; downloadable editions and API,Public GET endpoints; no published rate limit found,Strong for source-grounded display; embeddings/paraphrases are not covered by no-modification terms,Priority A for display after written commercial/RAG clarification and automated version sync,2026-09-11
QUR-010,Quran translation audio,QuranEnc,Ayah-level audio translations,"QuranEnc / named translation producers",https://quranenc.com/en/home/api,"Same published translation terms; audio recording rights are not separately detailed",https://quranenc.com/en/home/api,Static URL by translation key and padded surah/ayah; availability varies,Credit translation voice/source and QuranEnc; preserve version,Unclear; recording rights need written confirmation,Streaming is documented; offline redistribution is not explicit,Static MP3 URLs; 404 where unavailable,Good playback source but not a speech-training corpus without explicit recording/ML rights,Stream only after rights confirmation; no model training or voice cloning,2026-09-11
