"product","publisher","segment","platforms","reader_audio_search","academy_learning","widgets_lock_screen","notifications_streak","personalization","trust_sources","monetization","data_privacy","ecosystem_lock_in","breadth_focus","evidence_status","verified_date","primary_url","secondary_url","notes"
"Sajda","GOOD/APP LLP","Islamic superapp","iOS; Android; Huawei","confirmed: Quran reader, 52 translations, audio, Mushaf, saved verses and notes","confirmed: Sajda Academy with Umrah, salah, taharah, Ramadan and 99 Names courses","confirmed: home widgets; iOS 26 Sajda Alarm; lock-screen verse listed in iOS storefront","confirmed: prayer alerts, adaptive alarm; streak not found","inference: location and routine drive prayer experience; adaptive learning path not found","confirmed: site describes courses built with qualified experts; exact review board and source metadata per item not found","confirmed: free plus Sajda+; both tiers ad-free; exact regional price not found","confirmed: privacy policy exists; device permissions and billing described; granular data map and retention detail not fully found","medium-high: prayer, Quran, dhikr, Academy, media and subscription in one account/app","very broad daily-worship ecosystem with meaningful education, but no confirmed diagnostic Quran learning path","confirmed","2026-09-11","https://sajda.com/en","https://sajda.com/en/privacy","Official site and legal pages are the primary evidence."
"Muslim Pro","Bitsmedia Pte Ltd","Islamic superapp and media ecosystem","iOS; Android; web; Apple Watch; Apple TV","confirmed: Quran read/listen/memorize, search, translations, progress, playlists, notes and offline premium","confirmed: Learn tab, Project Iqra and Academy with Quran/Arabic levels, quizzes, teacher-led offerings and Qalbox distribution","confirmed: home and lock-screen widgets for prayer, Quran, daily inspiration, AI, dua and tasbih","confirmed: prayer alerts, Quran goals, Journal and multi-activity streak","confirmed: customizable home feature shelf, reading goals, recents and progress; adaptive pedagogy not confirmed","confirmed: claims verified prayer times and named Academy partners/lecturers; per-answer source governance varies by surface and was not fully found","confirmed: free with ads; Premium $12.99/month or $34.99/year in US App Store snapshot; separate course offers","confirmed: policy covers profile, activity, searches, bookmarks, Qalbox viewing and partners; account deletion supported","high: one account spans worship utilities, Quran, Qalbox, Academy, community and Umrah services","widest ecosystem in sample; strong distribution and cross-sell, but core learning is one surface among many","confirmed","2026-09-11","https://apps.apple.com/us/app/muslim-pro-quran-athan/id388389451","https://www.muslimpro.com/academy-islamic-courses/","Pricing is US storefront snapshot and can vary by region."
"Quran Majeed","Pakistan Data Management Services","Quran-first superapp","iOS; Android; Apple Watch; macOS","confirmed: multiple scripts, translations, tafsir, search, reciters, word highlighting, bookmarks and sync","not found: structured Academy; publisher offers adjacent apps and guides","confirmed: Apple Watch; prayer widgets inferred from broader listing but lock-screen Quran widget not found","confirmed: prayer alerts; Quran engagement time; learning streak not found","confirmed: settings, translations, reciters, bookmarks and iCloud sync; adaptive plan not found","confirmed: Quran text is described as proofread by a Muslim scholar; named governance workflow not found","confirmed: free with ads/IAP; US listing shows weekly, monthly, yearly and $49.99 full upgrade options","confirmed: Pakdata policy covers optional sync/engagement data and usage data; Apple disclosure reports tracking identifiers","medium-high: mature reader plus prayer ecosystem and publisher app family","deep reader with strong installed-base claims; weak evidence for guided curriculum","confirmed","2026-09-11","https://apps.apple.com/us/app/quran-majeed-%D8%A7%D9%84%D9%82%D8%B1%D8%A7%D9%86-%D8%A7%D9%84%D9%83%D8%B1%D9%8A%D9%85/id365557665","https://pakdata.com/privacy-policy/","Storefront states 100M+ users; treated as publisher claim, not independently audited."
"Athan by IslamicFinder","Islamic Finder","Islamic superapp","iOS; Android; web","confirmed: Quran audio, 45+ translation languages, bookmarks, search and sharing","confirmed: Athan Stories and separate Athan Academy with interactive Quran/tajwid classes and teacher feedback","confirmed: home prayer widget; lock-screen support not found in reviewed official page","confirmed: prayer/dua alerts, customizable daily goals, tasks and streaks","confirmed: customizable goals and menstrual mode; adaptive Quran path not found","confirmed: Academy listing names scholars/Qari/Ulama/Mufti/Alim involvement; granular lesson citations not found","confirmed: free with ads and monthly/yearly Athan Pro; exact current US amounts not found","confirmed: policy describes location, contacts, identifiers, analytics partners, export and deletion","high: Athan, IslamicFinder web, Academy, PrayerBook/Ramadan Book and content feed","broad habit platform with learning adjacency; Quran mastery is not the single organizing loop","confirmed","2026-09-11","https://apps.apple.com/us/app/athan-prayer-times-dua-azkar/id505858403","https://www.islamicfinder.org/privacypolicy/","Athan Academy is a separate official app in the same ecosystem."
"Pillars","The Pillars Group Ltd","Privacy-first prayer app","iOS; Android; Apple Watch","confirmed absent: official FAQ says no Quran feature is planned","not found","confirmed: home and lock-screen prayer widgets; Apple Watch premium","confirmed: prayer notifications and prayer/fast tracking; streak behavior present","confirmed: local calculation, madhhab/method choices and tracker settings","confirmed: prayer-method configurability; Quran source question not applicable","confirmed: free, ad-free; US listing shows $11.99/month, $49.99/year, $87.90 family","confirmed: no account required; coordinates processed on-device; no ads or advertising identifiers","medium: premium themes, weather, watch and tracker deepen prayer-specific retention","narrow and polished prayer focus; useful counterexample to feature-bloated superapps","confirmed","2026-09-11","https://www.thepillarsapp.com/privacy","https://apps.apple.com/us/app/pillars-prayer-times-qibla/id1559086853","Official FAQ explicitly recommends Tarteel instead of adding Quran."
"Salam App","Salam Labs","Privacy-first Islamic superapp","iOS; Android; Apple Watch","confirmed: offline Quran, multiple modes, search, word-by-word, tajwid, tafsir, downloadable audio and bookmarks","not found: structured Academy","confirmed: home and lock-screen widgets plus Apple Watch","confirmed: athan, custom reminders, fasting reminders and prayer tracker; Quran streak not found","confirmed: calculation methods, custom lists, favorites, local/cloud backup and display options","confirmed: named tafsirs and hadith collections in listing; review governance not found","confirmed: free and ad-free","confirmed: policy says no personal data collected by default; cloud backup is optional","medium-high: prayer, Quran, hadith, dua, trackers, charity directory and backup in one app","very broad free utility set with privacy as primary differentiation; guided mastery remains thin","confirmed","2026-09-11","https://apps.apple.com/us/app/salam-app-muslim-companion/id1629159763","https://www.salam.app/privacy-policy","App Store privacy claims are developer-declared and not independently verified by Apple."
"Quran.com","Quran Foundation","Nonprofit Quran platform ecosystem","web; iOS; Android; connected apps","confirmed: read, listen, search, translations, tafsir, word-by-word and Study Mode","confirmed: Study Mode and deeper study tools; full sequential Academy not found","not found: native lock-screen/home widget in reviewed official pages","confirmed: connected account supports goals and streaks; notification detail not found","confirmed: bookmarks, goals, streaks and cross-app sync","confirmed: nonprofit governance and verified-content ecosystem stated; exact review workflow per translation not fully found","confirmed: free, nonprofit, no subscription found","confirmed: mobile app privacy page reports no identifiable tracking and anonymous crash analytics for Android family","high through open connected-app identity: bookmarks, goals and streaks sync across partner apps","focused Quran infrastructure with unusually strong content and account portability inside its ecosystem","confirmed","2026-09-11","https://quran.com/apps","https://quran.com/en/product-updates/new-study-mode-on-quran-com","Best benchmark for trusted Quran infrastructure, not for a complete adaptive course."
"Quran for Android","Quran.com community","Open-source Quran reader","Android","confirmed: Quran reading, translations, audio and related reader capabilities","not found","not found","not found","confirmed: local reader preferences; account sync not confirmed on reviewed privacy page","confirmed: part of Quran.com app family; detailed source metadata not found on privacy page","confirmed: free","confirmed: no identifiable data collection; anonymous crash analytics via named processors","low-medium: utility loyalty and open-source trust rather than commercial account lock-in","focused reader, not superapp","confirmed","2026-09-11","https://android.quran.com/","https://android.quran.com/privacy.html","Privacy page covers several Quran.com Android apps."
"Tarteel","Tarteel AI","AI Quran memorization platform","iOS; Android; web","confirmed: adaptive Mushaf, recitation follow-along, voice search, listening and mistake history","confirmed: memorization planner, goals, hidden verses and AI feedback; broad Islamic Academy not found","not found","confirmed: streaks, goals and today's goals","confirmed: memorization plan, mistake history, analytics and off-platform sessions","confirmed: product is Quran-specific; independent scholarly validation and tajwid-teacher agreement metrics not found in reviewed pages","confirmed: core free; Premium monthly/annual, exact price varies and was not captured","confirmed: privacy policy exists; Google Play declares personal/financial and other data collection, encrypted in transit","high for hifz users due mistake history, goals and accumulated recitation analytics","deepest AI memorization specialist in sample; not an Islamic superapp","confirmed","2026-09-11","https://tarteel.ai/","https://support.tarteel.ai/en/articles/12267535-can-i-use-tarteel-for-free","Mistake detection is word/tashkeel focused; do not infer certified tajwid grading."
"Quranly","Quranly Ltd","Quran habit app","iOS; Android","confirmed: Quran reading centered on timed reading levels","not found: structured curriculum","not found","confirmed: reading levels, leaderboard, reminders to family and habit framing","confirmed: goals through time levels and social circles; adaptive learning not found","not found: detailed content review/source governance","confirmed: free entry; subscription processing described; exact price not found","confirmed: policy details accounts, usage/device data, push and deletion; advertising IDs mentioned","high social lock-in through family/friend leaderboard and accumulated habit streak","focused on consistency and social motivation, not reading quality or understanding depth","confirmed","2026-09-11","https://www.quranly.app/","https://www.quranly.app/privacy-policy","The homepage claim of 1M+ users is publisher-provided."
