"product","segment","official_url","onboarding","placement","adaptive_path","srs_review","lesson_sequence","transfer_tasks","speech_feedback","habit_mechanics","competition_social","notifications_reactivation","monetization","family_teacher","applicable_to_muslingo","unacceptable_or_risky","evidence_status","not_found","checked_at","source_urls"
"Duolingo","gamified language learning","https://www.duolingo.com/","Goal and level choices; short first task [confirmed]","Path personalization uses answer-level prediction; public test details not fully specified [confirmed/inference]","Predicts probability of correct response and personalizes practice [confirmed]","Mistake practice is included in paid Practice Hub; exact scheduler not public [confirmed/not found]","Single guided path with short exercises [confirmed]","Speaking and role-play exist in selected plans/courses [confirmed]","Speech exercises; diagnostic granularity varies and is not publicly specified [confirmed/not found]","Streak, streak freeze, quests, Energy/Hearts, daily goal [confirmed]","Leagues, friend streaks, feed celebrations, Friends Quests [confirmed]","Reminders are confirmed; trigger policy not public [confirmed/not found]","Freemium; Super removes ads and pacing limits; Max adds AI features [confirmed]","Family plan supports six accounts; Schools product exists [confirmed]","Short daily path; social accountability; mistake review; family plan","Loss framing, public XP status, aggressive Energy/Hearts gating and guilt-heavy reminders are inappropriate around Quran learning","confirmed + inference","Exact SRS intervals; speech confidence thresholds; notification decision model","2026-09-11","https://investors.duolingo.com/static-files/f19d76fb-dee4-4f13-96ae-138ebfd0f2d3 | https://blog.duolingo.com/friends-social-features/ | https://blog.duolingo.com/plus-family-plan/"
"Busuu","structured language learning","https://www.busuu.com/","Goal, level and schedule feed a Study Plan [confirmed]","Simple placement test in supported languages [confirmed]","Study Plan connects target level, weekly schedule, estimated completion and progress [confirmed]","Review exists; exact spaced algorithm not found in reviewed official sources [not found]","CEFR-aligned progression with adjustable plan [confirmed]","Community writing/speaking exercises add authentic correction [confirmed]","Community feedback and speaking practice; automated scoring detail not found [confirmed/not found]","Daily and weekly goals plus planned study time [confirmed]","Community correction rather than public performance competition [confirmed]","Notifications and calendar invites tied to Study Plan [confirmed]","Freemium with Premium and Premium Plus [confirmed]","Business/education offerings; no consumer family plan confirmed [confirmed/not found]","Editable daily plan; calendar-aware reminders; learner-to-learner correction with moderation","Unreviewed peer correction cannot be authoritative for tajwid or religious explanations","confirmed + not found","Exact SRS; family plan; speech-scoring model","2026-09-11","https://www.busuu.com/en/english/personalized-study-plan-busuu-premium | https://business.busuu.com/hubfs/Admin%20Portal/Learners%20-%20self-paced%20learning%20and%201_1%20and%20group%20Live%20Lessons.pdf"
"Babbel","structured language learning","https://www.babbel.com/","Goal-oriented start is marketed; exact current flow not documented in reviewed pages [inference/not found]","Placement availability and implementation not confirmed in reviewed official pages [not found]","Course recommendations exist, but adaptation logic is not public [not found]","Review manager uses spaced repetition; errors return sooner, correct items less often [confirmed]","Expert-built lessons add vocabulary into Review [confirmed]","Conversation Practice and varied review modes connect recall to use [confirmed]","Speech capabilities exist, but scoring detail was not established in reviewed sources [not found]","Progress and review queue support routine [confirmed]","No league or peer competition confirmed [not found]","Reminder policy not found [not found]","Subscription; regional offers vary [confirmed]","Business product exists; family/teacher dashboard not confirmed here [not found]","Error-sensitive review scheduling; calm mastery-first tone","Do not copy unsupported fluency claims or treat vocabulary recall as Quran recitation mastery","confirmed + not found","Placement; notification logic; family plan; speech thresholds","2026-09-11","https://support.babbel.com/hc/en-us/articles/360037496932-Memorizing-vocabulary"
"Memrise","video-first language learning","https://www.memrise.com/","Choose language and practical goals; free start requires no card [confirmed]","Structured paths span levels; a formal placement test was not found [confirmed/not found]","Interest and goal-oriented paths; AI conversation practice [confirmed]","Spaced repetition for vocabulary is explicitly described [confirmed]","High-frequency phrases, native-speaker video, then MemBot practice [confirmed]","AI conversations simulate real situations [confirmed]","Pronunciation practice follows native-speaker video; scoring detail not found [confirmed/not found]","15-minute daily framing and playful tests [confirmed]","No current league/family social mechanic confirmed [not found]","Reactivation logic not public [not found]","Free lessons/video; Pro unlocks unlimited AI, grammar, ad-free; monthly/annual/lifetime offers [confirmed]","No family/teacher plan confirmed in reviewed pages [not found]","Listen-before-speak; authentic exemplars; goals based on real use","Do not make self-reported efficacy claims the core proof; AI role-play cannot validate tajwid","confirmed + not found","Placement; notification model; family/teacher features","2026-09-11","https://www.memrise.com/es-mx/ | https://app.memrise.com/payment/plans/en-us"
"Rosetta Stone","immersive language learning","https://www.rosettastone.com/","Language and interest selection; setup includes microphone when speech is used [confirmed]","Placement support varies by product; consumer test not confirmed [not found]","Learning Path is structured; personalization logic not public [confirmed/not found]","Flashcards/review available; scheduler not found [confirmed/not found]","Dynamic Immersion uses images, native audio and progressive practice [confirmed]","Chat Missions and real-life scenarios [confirmed]","TruAccent gives pronunciation feedback; speech can be disabled when unavailable [confirmed]","Progressive lesson path; explicit streak system not found [not found]","No consumer league confirmed [not found]","Reminder/reactivation logic not found [not found]","Subscription with monthly/yearly and multi-language access; offers vary [confirmed]","School and enterprise products; parent resources [confirmed]","Microphone fallback; visual inference; model audio before response","Avoid forcing speech when device/ability prevents it; no-translation doctrine is unsuitable for meaning and tafsir","confirmed + not found","Consumer placement; SRS timing; notification model","2026-09-11","https://www.rosettastone.com/radiorental | https://support.rosettastone.com/using-without-speech-feature/ | https://support.rosettastone.com/sapphire-learning-path/"
"Pimsleur","audio-first language learning","https://www.pimsleur.com/","Select language and begin a 30-minute audio lesson [confirmed]","No placement test found [not found]","Sequential course; personalized path not confirmed [not found]","Graduated/spaced recall is part of the method; saved vocabulary and practice tools reinforce completed lessons [confirmed]","Listen, recall aloud, then reinforce via flashcards, quizzes and role-play [confirmed]","Speak Easy and Challenge mode require responding from a cue [confirmed]","Voice Coach gives AI feedback where supported; otherwise record-and-compare [confirmed]","Daily Challenges, streak, badges and reminders [confirmed]","No league found; sharing with household members [confirmed/not found]","User-set reminders are confirmed; adaptive reactivation not found [confirmed/not found]","7-day trial; audio, premium and all-access subscriptions; lifetime purchase available [confirmed]","Share with three household members [confirmed]","Audio learning mode; recall before reveal; honest fallback when ASR is unsupported","Thirty-minute default is too long for many users; binary AI confidence should not be presented as tajwid authority","confirmed + not found","Placement; adaptive notification logic; teacher dashboard","2026-09-11","https://www.pimsleur.com/pimsleur-faq/ | https://www.pimsleur.com/learn-french/subscription-audio/"
"Mango Languages","conversation and institutional learning","https://mangolanguages.com/","Institution or learner selects course; rostered users can be provisioned [confirmed]","Computer-adaptive placement for selected courses [confirmed]","Adaptive Review personalizes review-card sequence [confirmed]","Adaptive Review System [confirmed]","Conversation-focused lessons with native audio and cultural notes [confirmed]","Listening/reading tasks include familiar and new content [confirmed]","Speaking practice is promoted; detailed scoring model not found [confirmed/not found]","Progress and assessment history [confirmed]","No public league confirmed [not found]","Reminder model not found [not found]","Often institution-funded; consumer packaging not evaluated here [confirmed/not found]","Teacher plans, groups, LMS deep links, auto-graded assessments and dashboards [confirmed]","Teacher dashboard; per-question history; deep links; adaptive placement","Do not assume placement or speech coverage across every Arabic/Quran skill","confirmed + not found","Consumer pricing; notifications; speech threshold","2026-09-11","https://www.mangolanguages.com/k12/reporting | https://mangolanguages.com/wp-content/uploads/2022/12/Mango-Languages-Mango-Classroom-Overview.pdf"
"LingQ","content immersion and reader","https://www.lingq.com/","Choose a language and content; beginner Mini Stories provide an entry point [confirmed]","No formal placement test confirmed [not found]","Machine learning guides progress; learners largely choose content [confirmed]","Explicit SRS and due-for-review vocabulary [confirmed]","Read/listen in context, save unknown words, revisit across content [confirmed]","Import real content; tutoring, writing correction and live conversation [confirmed]","AI chatbot/tutors exist, but pronunciation scoring details not found [confirmed/not found]","Targets, challenges and activity statistics [confirmed]","Community, challenges, forums and rankings [confirmed]","Web/mobile activity notifications [confirmed]","Free limits saved terms/imports; Premium and Premium Plus [confirmed]","School portal tracks groups and individuals; teachers can share lessons [confirmed]","Contextual review; import-to-lesson concept; teacher-curated content; cross-device state","Open content import is unsafe for Quran without rights, source validation and review","confirmed + not found","Formal placement; pronunciation scoring; notification trigger detail","2026-09-11","https://www.lingq.com/en/ios-app/ | https://www.lingq.com/en/schools/ | https://www.lingq.com/en/signup/"
"LingoDeer","grammar-first language learning","https://www.lingodeer.com/","Select language; free alphabet/unit offer provides value before payment [confirmed]","Unit Test Outs let experienced learners skip [confirmed]","Targets weak areas; exact adaptive model not public [confirmed/not found]","Built-in flashcards and review; support documents an SRS [confirmed]","Expert curriculum, grammar notes, native audio, stories and Fluent dialogues [confirmed]","Speaking/writing exercises, dialogue speed controls and hidden translations [confirmed]","Recording and speaking exercises; diagnostic depth varies [confirmed/not found]","Short lessons and review games; streak detail not found [confirmed/not found]","No league confirmed [not found]","Notification logic not found [not found]","Free alphabet/Unit One/Test Outs; Premium for remaining content, offline and sync [confirmed]","No family/teacher dashboard confirmed [not found]","Test-out; prerequisite guidance; slow/normal audio; explanations before harder practice","Do not hide critical Quran meaning as a game; avoid uneven feature coverage without labels","confirmed + not found","Notification and streak policy; teacher/family offering; ASR scoring","2026-09-11","https://www.lingodeer.com/ | https://lingodeer.freshdesk.com/support/solutions/articles/61000194357-is-lingodeer-free-how-much-is-it- | https://lingodeer.freshdesk.com/support/solutions/articles/61000307428-where-is-fluent-and-what-is-it-"
"Drops","visual vocabulary games","https://languagedrops.com/","Choose language/topic and start immediately [confirmed]","Learners can select level/topic; formal diagnostic not found [confirmed/not found]","Topic and review tools exist; personalized path not demonstrated [not found]","Review Dojo reinforces learned vocabulary; exact schedule not public [confirmed/not found]","Five-minute visual game sessions [confirmed]","Mostly recognition/matching; limited productive transfer [confirmed/inference]","Professional audio; speech-scoring feedback not found [confirmed/not found]","Five-minute cap, goals, rewards, streak and achievements [confirmed]","No league confirmed [not found]","Reactivation logic not public [not found]","Free time gate; Premium removes limits and adds review/offline; monthly/yearly/lifetime [confirmed]","Kids companion product exists; teacher dashboard not confirmed [confirmed/not found]","Ultra-low activation energy; polished microinteractions; visual mnemonic support","Time/battery gates that block learning, shallow picture guessing and vocabulary-only mastery are unsuitable","confirmed + inference + not found","Formal placement; speech; teacher features; notification policy","2026-09-11","https://languagedrops.com/welcome | https://planblabs.zendesk.com/hc/en-us/articles/360012598660-What-s-the-difference-between-free-and-premium-subscriptions | https://apps.apple.com/us/app/drops-language-learning-games/id939540371"
