"snapshot_date","product","segment","app_store_positioning","onboarding","referrals","sharing","streak","streak_repair","challenges","portability","teacher_community_distribution","evidence_level","ethical_muslingo_implication","source_urls","notes"
"2026-09-11","Tarteel","AI Quran memorization","confirmed: Memorize, Recite, Fix Mistakes; AI Quran companion","confirmed: choose memorized range and goals; account supports sync","not_found: no public consumer referral reward located","confirmed: groups and leaderboards support invited collective practice","confirmed: goals, heatmaps and recitation/test activity contribute","confirmed: Premium off-platform session can restore a missed-day streak","confirmed: adaptive tests, Weakest Link, group leaderboards","confirmed: account resyncs progress; no user-facing export/import located","inference: groups enable family/mosque distribution; no teacher dashboard located","mixed","Do not claim superior recognition. Win on diagnosis-to-lesson continuity, meaning and transparent confidence; offer private group migration without importing Tarteel data.","https://apps.apple.com/us/app/tarteel-ai-quran-memorization/id1391009396; https://support.tarteel.ai/en/articles/12414382-groups-and-leaderboards; https://support.tarteel.ai/en/articles/12414408-how-to-add-an-off-platform-session; https://support.tarteel.ai/en/articles/16557351-testing-faqs","Official pages accessed 2026-09-11. Product claims are not independent efficacy validation."
"2026-09-11","Quranly","Quran reading habit","confirmed: habit-building Quran app","confirmed: select daily reading goal and level","not_found: no monetary referral program located","confirmed: invite accepted friends/family, private leaderboard, reminders to read","confirmed: daily streak and weekly tracker","not_found: no official repair/freeze mechanism located","confirmed: reading levels, badges and friends/family competition","not_found: no export/import or cross-app portability located","confirmed: invited private friends/family; no teacher workflow located","mixed","Position Muslingo as the next step after habit formation: reading plus understanding, recitation practice and assigned review. Preserve private accountability and avoid public piety rankings.","https://www.quranly.app/; https://www.quranly.app/blog/quranly-everything-you-need-to-know; https://apps.apple.com/us/app/quran-by-quranly/id1559233786","Official site and App Store accessed 2026-09-11."
"2026-09-11","HIFZ","Quran memorization","confirmed: guided Hifz companion with Sabaq, Sabqi and Manzil","confirmed: guest can begin Al-Fatihah or chosen surah; optional account sync","not_found","not_found: no social sharing flow located","inference: scheduled daily review supports routine; no explicit public streak mechanic located","not_found","confirmed: listen, read, repeat, recall and scheduled practice","confirmed: guest progress stays on device and account syncs across devices; no file export located","confirmed: official guidance recommends pairing with a qualified teacher or Hifz circle; no built-in teacher dashboard located","mixed","Match the low-friction guest start, then differentiate with a cross-track learning profile and explicit teacher escalation for uncertain recitation feedback.","https://gethifz.com/; https://gethifz.com/support","Official site accessed 2026-09-11."
"2026-09-11","Sadr","Free Quran memorization with SRS and voice","confirmed: free, ad-free Quran memorization with SRS, voice recognition and personalized path","confirmed: initial test claims to assess Arabic and memory level","not_found: no tracked referral reward located","confirmed: official support page asks users to share with family, friends and mosque; WhatsApp share","not_found: no explicit streak mechanic located","not_found","inference: scheduled Sabaq/Sabqi/Manzil reviews function as recurring challenge","not_found: account is required for most features; no export/import located","inference: mosque sharing is encouraged; no teacher console located","mixed","Compete on evidence and trust, not price. Muslingo should disclose what speech scoring can and cannot assess, and add an accountable teacher-review lane.","https://sadr.app/?lang=en; https://sadr.app/support-us; https://sadr.app/terms","Official site accessed 2026-09-11."
"2026-09-11","Mualim","Quran memorization","confirmed: memorization assistant with verse mismatch detection","confirmed: learner selects Quran material and method","not_found","not_found","not_found","not_found","confirmed: structured revision and tests","not_found","confirmed: official positioning says the tool does not assess tajwid/pronunciation and should complement learning; no embedded teacher marketplace located","mixed","Use similarly honest limits, but make Muslingo's handoff actionable: save the uncertain attempt, learner consent, teacher rubric and returned correction.","https://mualim-app.com/en","Official site accessed 2026-09-11."
"2026-09-11","Naml","Parent-led child Hifz","confirmed: parent's companion for memorizing Quran with children","confirmed: add child, age and current memorization point in about two minutes; guest practice before account","not_found","not_found: certificates may be shared but a built-in share flow was not located","inference: five-minute daily sessions and scheduled cooldowns support continuity; no streak counter located","not_found","confirmed: jigsaw progress map, star mastery levels, parent-led exams","confirmed: per-child progress sync after account creation; no export/import located","confirmed: parent dashboard, multiple child profiles and schools contact","mixed","For minors, copy the role separation, not the artwork: parent-owned consent, private progress, no public ranking, and clear account-after-value onboarding.","https://naml-app.com/en; https://naml-app.com/en/pricing","Official site accessed 2026-09-11."
"2026-09-11","TajweedMate","AI tajwid practice","confirmed: AI-assisted pronunciation/tajwid feedback positioned as practice, not teacher replacement","confirmed: learner starts with letters or a tajwid topic","not_found","not_found","not_found","not_found","inference: repeat-until-improved exercises; no published social challenge located","not_found","confirmed: privacy language frames product as support rather than teacher replacement; no human-review workflow located","mixed","Muslingo can win through calibrated feedback: listen-first, confidence labels, retry after success, exact scope of automated checks and escalation to a person.","https://tajweedmate.com/; https://tajweedmate.com/privacy.html","Official site and privacy page accessed 2026-09-11."
"2026-09-11","Learn Quran Tajwid","Scholar-certified tajwid curriculum","confirmed: Scholar-Certified App for Learning Tajweed Easily, Used by Millions Worldwide","confirmed: placement test, beginner-to-advanced curriculum and bookmarks","not_found","confirmed: store pages provide standard app sharing; no progress-sharing mechanism located","not_found","not_found","confirmed: auto-evaluated tests and progress tracking","not_found: no user-content export/import located","confirmed: designed for self-study or use with a teacher; content claims scholar verification","mixed","Do not compete with unverified superlatives. Show Muslingo's source review, diagnostic result, lesson rationale and measurable delayed mastery in-product.","https://play.google.com/store/apps/details?id=com.bi.learnquran; https://tajwid.learn-quran.co/; https://tajwid.learn-quran.co/id/faq/","Official Google Play and site pages accessed 2026-09-11."
"2026-09-11","Muslim Pro","Islamic superapp","confirmed: ultimate Quran and prayer companion; comprehensive Islamic needs","confirmed: Today page, feature customization and account-gated social/reward actions","not_found: invite friends exists for community but no verified paid referral reward located","confirmed: share/repost/download daily inspiration and community posts; invite via email or text","confirmed: Deen journey check-in tracks Quran/prayer activity","not_found: no formal streak repair located","confirmed: Quests and Stars with daily check-in and redeemable rewards","confirmed: account continuity for reading/listening position; no general export/import located","confirmed: Ummah community and Academy courses; public UGC moderation rules","mixed","Do not become a superapp. Position Muslingo as the focused learning layer: one daily decision, one lesson, one next review. Let utilities remain integrations or deep links.","https://apps.apple.com/us/app/muslim-pro-quran-athan/id388389451; https://support.muslimpro.com/hc/en-us/articles/49726715851545-Guide-to-the-Updated-and-Enhanced-App; https://support.muslimpro.com/help/en/articles/community-ummah-pro; https://support.muslimpro.com/help/en/articles/quest-and-stars","Official App Store and help center accessed 2026-09-11."
"2026-09-11","Sajda","Islamic superapp and academy","confirmed: daily Islamic utilities plus Academy","inference: utility-first home with program/course entry; no placement flow located","not_found","not_found: exact current sharing mechanics were not documented on accessible official pages","inference: recurring daily use; exact streak logic not confirmed","not_found","inference: Academy programs; exact challenge rules not confirmed","not_found","confirmed: Academy/content ecosystem; teacher/community workflow details not found","limited","Differentiate by focus and evidence. Muslingo should not duplicate prayer, qibla and generic content feeds; it should turn the learner's current weakness into today's lesson.","https://sajda.com/","Official site accessed 2026-09-11; detailed help documentation was limited."
"2026-09-11","Quran Majeed by IRD Foundation","Quran reader and study","confirmed: Quran reading, understanding, listening and memorization tools","confirmed: immediate reader and beginner-friendly Qaida; no formal diagnostic located","not_found","confirmed: ayah copy/share and share screenshots","not_found","not_found","confirmed: memorization planning and repeat tools","confirmed: bookmarks across devices; memorization progress included in export/import and remote sync","not_found: no teacher/community layer located","mixed","Offer a respectful import for user-owned Quran progress where formats are documented, with preview and consent. Never scrape another app's private store.","https://play.google.com/store/apps/details?id=com.ihadis.quran","Official Google Play page accessed 2026-09-11."
"2026-09-11","Quran.com / Quran Foundation","Connected Quran ecosystem","confirmed: trusted Quran reading and connected apps ecosystem","confirmed: hosted Quran Foundation account can provide SSO and continuity","not_found: no consumer referral reward located","confirmed: connected apps and share-capable Quran experiences","confirmed: User APIs include goals, reading sessions, activity days and streaks","not_found: repair behavior not established in reviewed docs","confirmed: rooms/posts exist in User APIs; specific consumer challenge UX varies by connected app","confirmed: OAuth2/OIDC can sync bookmarks, collections, notes, reading progress, goals, preferences and streaks across approved apps","confirmed: curated Connected Apps program and builder network; no teacher-review service implied","confirmed","This is the strongest ethical switching route: apply for Connected Apps, use Authorization Code with PKCE and request only needed scopes. Continuity replaces coercive migration.","https://quran.com/apps; https://api-docs.quran.com/docs/connected-apps/; https://api-docs.quran.com/docs/tutorials/oidc/mobile-apps/; https://api-docs.quran.com/docs/category/user-related-apis-1.0.0/","Official Quran Foundation pages accessed 2026-09-11; integration remains subject to approval and current terms."
"2026-09-11","Quranic","Quranic Arabic learning","confirmed: fun interactive Quranic Arabic and Islam learning","confirmed: starts with frequent vocabulary and story-based lessons; no formal placement located","not_found","not_found","not_found","not_found","confirmed: customized quizzes and spaced repetition are described in official product materials","not_found","not_found: no teacher dashboard located","mixed","Position Muslingo beyond vocabulary acquisition: diagnose reading, pronunciation, meaning and memory together, then prove the selected next action.","https://www.getquranic.com/learners/; https://www.getquranic.com/pricing/; https://play.google.com/store/apps/details?id=com.pnw.quranic.quranicandroid","Official product and Google Play pages accessed 2026-09-11."
"2026-09-11","AlifBee","Arabic learning and virtual school","confirmed: structured Arabic from beginner to advanced","confirmed: smart placement test and level path","not_found","not_found","inference: personalized review supports habit; exact streak mechanics not located","not_found","confirmed: quizzes, spaced review and certificates","not_found: no learner data import/export located","confirmed: Virtual School, live placement and graded teacher feedback","mixed","Borrow the clear placement-to-level handoff, while differentiating with Quran-specific meaning, recitation scope and RU/KZ localization.","https://www.alifbee.com/en; https://help.alifbee.com/hc/en-us/articles/9421698273821--Placement-test; https://store.alifbee.com/products/alifbee-premium","Official site, help and store pages accessed 2026-09-11."
"2026-09-11","Arabic101 Academy","Arabic, Quranic Arabic and tajwid","confirmed: free structured self-study plus guided/live plans","confirmed: course/level selection; live track personalized","not_found","not_found","not_found","not_found","confirmed: periodic quizzes/exams in guided plans","not_found","confirmed: teacher dashboard, recorded sessions, reports, supervised communication and academic standards","mixed","Build teacher distribution as a controlled institution surface, not open messaging: assignments, rubrics, consented audio, reports and auditable access.","https://academy.arabic101.org/courses/; https://arabic101.org/aca/getting-started/; https://arabic101.org/aca/faq-teaching/","Official academy pages accessed 2026-09-11."
