priority,track,module,lesson_title,learning_outcome,required_activity,source_class,review_gate,acceptance_criterion
P0,Quran,Al-Fatiha,Why Al-Fatiha comes first,Explain the surah's role without unsupported claims,Context plus source choice,Quran plus reviewed tafsir,Islamic review,Every claim has verse or reviewed tafsir citation
P0,Quran,Al-Fatiha,Bismillah word map,Map bism Allah al-Rahman al-Rahim to meaning,Word matching plus listening,Quran text plus licensed translation,Arabic and Islamic review,80 percent delayed word-meaning recall
P0,Quran,Al-Fatiha,Al-hamdu and Rabb,Distinguish praise and Lord in the opening ayah,Minimal meaning contrast,Quran plus reviewed lexicon,Arabic review,Correctly rejects two plausible distractors
P0,Quran,Al-Fatiha,Al-alamin,Recognize al-alamin in audio and text,Audio discrimination plus matching,Quran audio plus lexicon,Arabic and audio review,Three unseen trials at 80 percent
P0,Quran,Al-Fatiha,Al-Rahman and Al-Rahim,Recognize and explain the paired names carefully,Listen compare explain,Quran plus reviewed tafsir,Islamic review,No speculative theological wording
P0,Quran,Al-Fatiha,Maliki yawm al-din,Connect phrase structure to meaning,Word order plus meaning choice,Quran plus licensed translation,Arabic and Islamic review,Solved without transliteration hint
P0,Quran,Al-Fatiha,Iyyaka na'budu,Identify object-fronting and core meaning,Chunk listening plus word order,Quran plus grammar reference,Arabic review,Meaning retained after 48 hours
P0,Quran,Al-Fatiha,Iyyaka nasta'in,Contrast worship and seeking help,Minimal pair meaning task,Quran plus reviewed tafsir,Islamic review,Explains distinction in one sentence
P0,Quran,Al-Fatiha,Sirat al-mustaqim,Recognize the phrase across script audio and meaning,Tri-modal matching,Quran text audio translation,Arabic and audio review,All three representations matched
P0,Quran,Al-Fatiha,Final ayah groups,Segment the final ayah into meaningful chunks,Chunking plus listening,Quran plus reviewed tafsir,Islamic review,Chunk boundaries approved by reviewer
P0,Quran,Al-Fatiha,Waqf in Al-Fatiha,Choose safe stopping points without distorting meaning,Waqf scenarios,Quran plus Tajwid reference,Tajwid review,All stop choices reviewed and explained
P0,Quran,Al-Fatiha,Close sounds in Al-Fatiha,Hear and attempt ح ع ض ص,Minimal-pair listening plus speech,Reviewed recitation audio,Tajwid and audio review,Human reviewers agree on target clips
P0,Quran,Al-Fatiha,Ayat 1-3 recall,Recite ayat 1-3 from memory after listening,Hidden text plus recording,Licensed recitation,Tajwid review,Word sequence score separated from Tajwid score
P0,Quran,Al-Fatiha,Ayat 4-7 recall,Recite ayat 4-7 from memory,Progressive hide plus recording,Licensed recitation,Tajwid review,No text visible on final attempt
P0,Quran,Al-Fatiha,Meaning sequence,Reconstruct the meaning flow of the surah,Scenario ordering,Reviewed translation and tafsir,Islamic review,Orders all seven ayah meanings
P0,Quran,Al-Fatiha,Whole-surah follow along,Maintain place while listening to a full recitation,Word highlight follow-along,Timed licensed audio,Audio review,Timing drift stays within approved tolerance
