id,domain,evidence_tier,citation,url_or_doi,year,population_language,method,finding,causal_interpretation,limitation,license_data_availability,concrete_implication_for_muslingo
AR01,Arabic reading and diglossia,Systematic review,"Thomure, H. T., Taha, H., Sabella, T., & Saleh, R. A systematic review of teaching and learning in the context of Arabic diglossia. Social Sciences & Humanities Open, 12, 102281.",https://doi.org/10.1016/j.ssaho.2025.102281,2025,"Arabic learners; 101 studies, 1970-2021","PRISMA-style systematic review across eight databases; 927 records screened and 101 included","Diglossic distance repeatedly affects literacy; systematic exposure to simplified Standard Arabic and explicit bridging between spoken and standard forms are recurring recommendations.","Synthesis supports a design direction but does not establish one universally effective intervention.","Large heterogeneity; much evidence is observational and regional; intervention quality varies.","Open access, CC BY-NC-ND 4.0; review forms available from authors on request.","Ask for home dialect and expose spoken-to-Standard-Arabic contrasts before Quranic decoding; do not assume Arabic-speaking users already know MSA phonology."
AR02,Arabic reading and diglossia,Systematic review,"Jouhar, M. R. Effects of Diglossia on the Acquisition of Underlying Reading Processes: Toward Pragmatic Solutions. International Journal for Research in Education, 47(1), 200-229.",https://doi.org/10.36771/ijre.47.1.23-pp200-229,2023,"Arabic-speaking children and students; studies of Standard and Spoken Arabic","Systematic review of diglossia effects on phonological, orthographic and morphological processes","Systematic Standard-Arabic exposure of 15-60 minutes daily was associated across included studies with narrower oral-written gaps and better word reading and comprehension.","The review aggregates mixed designs; duration-outcome statements are not equivalent to a pooled randomized dose-response estimate.","Search and risk-of-bias detail is less extensive than in major evidence-synthesis standards; syntax gap may persist.","Institutional full text is publicly downloadable; no reusable dataset or explicit content-reuse licence stated.","Build short daily MSA/Quranic-Arabic exposure and measure decoding and comprehension separately over months, not only lesson completion."
AR03,Arabic orthography,Controlled experiment,"Abu-Rabia, S. The Effect of Arabic Vowels on the Reading Comprehension of Second- and Sixth-Grade Native Arab Children. Journal of Psycholinguistic Research, 28, 93-101.",https://doi.org/10.1023/A:1023291620997,1999,"145 native Arabic-speaking children: grade 2 n=71 and grade 6 n=74","Within-participant comparison of vowelized and unvowelized stories with comprehension questions","Short vowels significantly facilitated comprehension in both age groups.","The manipulated text condition supports a causal effect for these materials and samples.","School samples from northern Israel; old study; comprehension measures and texts were narrow; not Quran-specific.","Publisher copyright; abstract/index openly available; materials and participant data not released.","Keep full tashkeel for beginners and make removal gradual and proficiency-gated; never hide diacritics merely to raise difficulty."
AR04,Arabic reading development,Cross-sectional study,"Asadi, I. A., Khateb, A., & Shany, M. How simple is reading in Arabic? A cross-sectional investigation of reading comprehension from first to sixth grade. Journal of Research in Reading, 40(1), 1-22.",https://doi.org/10.1111/1467-9817.12093,2017,"Native Arabic-speaking children, grades 1-6","Cross-sectional measurement of decoding, language and comprehension across grades","Arabic comprehension draws on changing combinations of decoding and language skills as children move from vowelized to unvowelized print.","Predictive associations do not prove that training a measured component will cause gains.","Cross-sectional rather than longitudinal; native-child context differs from adult and non-Arab learners.","Publisher copyright; no open participant dataset stated.","Maintain separate learner estimates for grapheme decoding, oral vocabulary and comprehension; use staged vowelized-to-unvowelized transitions."
AR05,Arabic phonology and morphology,Intervention study,"Taha, H., & Saiegh-Haddad, E. The Role of Phonological versus Morphological Skills in the Development of Arabic Spelling: An Intervention Study. Journal of Psycholinguistic Research, 45, 507-535.",https://doi.org/10.1007/s10936-015-9362-6,2016,"Native Arabic readers in grades 2, 4 and 6; skilled and poor readers","Pre/post comparison of phonological training, morphological training and non-intervention control","Both linguistic interventions improved spelling; transfer appeared between phonological and morphological skills.","The controlled intervention supports causality for spelling outcomes under the study conditions, not Quran recitation or comprehension.","Assignment and sample details constrain certainty; spelling is not oral recitation; no long-term follow-up reported in the abstract.","Publisher copyright; no open intervention package or participant data stated.","Teach roots/patterns and sound segmentation as explicit but linked strands; test transfer on unseen Quranic words rather than familiar lesson items."
AR06,Arabic reading disability,Developmental observational study,"Saiegh-Haddad, E., & Taha, H. The Role of Morphological and Phonological Awareness in the Early Development of Word Spelling and Reading in Typically Developing and Disabled Arabic Readers. Dyslexia, 23(4), 345-371.",https://doi.org/10.1002/dys.1572,2017,"160 Arabic-speaking children in grades 1-4; typical and reading-accuracy-disabled groups","Cross-sectional case-control tasks covering morphology, phonology, vowelized/unvowelized reading and spelling","Phonological awareness was the strongest reading predictor; morphological awareness explained additional variance, especially for spelling.","Results identify diagnostic correlates, not effects of a particular lesson intervention.","Cross-sectional; local diagnostic definitions; does not establish optimal instructional dosage.","Publisher copyright; no open data or task licence stated.","Placement should test phoneme manipulation and root/pattern awareness separately; adapt support without diagnosing dyslexia in-app."
AR07,Arabic oral language and reading,Path-analysis study,"Rakhlin, N. V., Li, N., Aljughaiman, A., & Grigorenko, E. L. Speech Is Golden: The Importance of Colloquial Arabic for Reading Standard Arabic for Beginning Readers. Journal of Speech, Language, and Hearing Research, 68(3S), 1441-1467.",https://doi.org/10.1044/2024_JSLHR-23-00522,2025,"110 Saudi Arabic-speaking children, grades 2-4","Oral-language, decoding and phonological-awareness measures analyzed with single and serial mediation/path models","Colloquial oral-language skills contributed to Standard-Arabic reading comprehension through measured pathways.","Path analysis is correlational even when mediation language is used; it does not prove instructional causality.","One regional sample; vowelized reading; model specification may not generalize to non-native learners.","Publisher page/abstract available; no open dataset or reuse licence stated.","Use the learner's stronger spoken language to explain meaning and bridge to MSA; do not penalize dialect knowledge as an error."
AR08,Arabic diglossic phonology,Developmental observational study,"Saiegh-Haddad, E., & Haj, L. Does phonological distance impact quality of phonological representations? Evidence from Arabic diglossia. Journal of Child Language, 45(6), 1377-1399.",https://doi.org/10.1017/S0305000918000302,2018,"120 Arabic-speaking children: kindergarten, grades 1, 2 and 6","Cross-age phonological representation tasks contrasting spoken-standard distance","Standard-Arabic phonological representations were weaker when forms were distant from the spoken variety, especially early in development.","Age and distance associations support a diagnostic hypothesis, not a causal treatment effect.","Cross-sectional cohorts; dialect-specific distance; task performance may not map directly to Quranic tajwid.","Publisher copyright; no open data stated.","Tag lesson words by dialect-to-MSA distance and add listen-discriminate-produce scaffolds for distant phonemes/lexemes."
AR09,Early Arabic literacy,Randomized controlled trial,"Eghbaria-Ghanamah, H., Ghanamah, R., Shalhoub-Awwad, Y., Adi-Japha, E., & Karni, A. Long-term benefits after a rhyme-repetition based intervention program for kindergarteners: Better reading and spelling in the first grade. Developmental Psychology, 58(2), 252-269.",https://doi.org/10.1037/dev0001284,2022,"Arabic-speaking kindergarten children followed into grade 1","Randomized intervention comparing MSA rhyme recitation, repeated listening and related conditions, with delayed literacy outcomes","Active recitation-based familiarization with MSA rhymes produced longer-term literacy benefits beyond passive exposure in reported outcomes.","Random allocation and active-control comparisons support a causal interpretation for this program and population.","Rhyme program is not Quran recitation; setting and age are narrow; exact components cannot be isolated completely.","APA copyright; study materials/data not openly licensed in the publisher record.","For children, require listen-then-recite interaction rather than autoplay-only exposure; measure transfer to novel letters/words months later."
AR10,Arabic decoding,Foundational field study,"Wagner, D. A., & Spratt, J. E. Arabic Orthography and Reading Acquisition. In The Cross-Language Study of Reading and Spelling, 229-244.",https://doi.org/10.1016/S0166-4115(08)61665-9,1993,"Beginning Arabic readers in Morocco","Field study within a longitudinal literacy-acquisition program","Early Arabic reading depended strongly on alphabetic decoding skills, with similarities to other alphabetic scripts.","Observational and developmental evidence does not determine the best digital intervention.","Older Moroccan context; measures and schooling differ from current app learners; chapter is not open access.","Publisher copyright; no open data stated.","Do not skip grapheme-phoneme mastery: gate connected-script and ayah tasks on accurate letter-form and vowel decoding."
