ID,Publisher / authority,Page / artifact,Direct URL,Primary-source role,Claims used,Accessed,Reuse note
S01,King Fahd Complex,Developer resources,https://qurancomplex.gov.sa/en/techquran/dev/,Official publisher,"Developer Quran text formats, metadata, riwayat and Tajwid reference materials",2026-09-10,File-specific public-use status must be retained
S02,King Fahd Complex,Vision and mandate,https://qurancomplex.gov.sa/en/kfgqpc/vision/,Official organization page,Safeguarding Quran text and translations,2026-09-10,Reference only
S03,King Fahd Complex,Policies,https://policy.qurancomplex.gov.sa/?Lan=en,Official policy,Ownership; exception for content explicitly declared public use,2026-09-10,Do not infer blanket reuse
S04,Tanzil Project,Text download,https://tanzil.net/docs/download,Official corpus page,Versioned Uthmani/Imlaei Quran text download,2026-09-10,Follow linked text license
S05,Tanzil Project,Text license,https://tanzil.net/docs/Text_License,Official license,CC BY 3.0; verbatim text; attribution; no changes,2026-09-10,Core legal evidence
S06,Tanzil Project,Project verification,https://tanzil.net/docs/tanzil_project,Official methodology,Automated and manual text verification with specialists/huffaz,2026-09-10,Methodology reference
S07,Quran Foundation,About Quran.com,https://quran.com/about-us?locale=en,Official organization page,Nonprofit/waqf governance and product scope,2026-09-10,Reference/attribution
S08,Quran Foundation,API reference,https://api-docs.quran.com/docs/api-reference/,Official API docs,"Text, translations, tafsir, audio and structural APIs",2026-09-10,Terms apply
S09,Quran Foundation,Developer terms,https://api-docs.quran.com/legal/developer-terms/,Official legal terms,"API license, caching, attribution, commercial limits, no ML training",2026-09-10,Core legal evidence; updated 2026-08-26
S10,Quran Foundation,Developer FAQ,https://api-docs.quran.com/docs/tutorials/faq/,Official docs,"Content Sync, offline categories and attribution",2026-09-10,Confirm eligibility
S11,Quran Foundation,Connected Apps,https://api-docs.quran.com/docs/connected-apps/,Official docs,Approved endpoints/licensed content and correction synchronization,2026-09-10,Program requirements
S12,QuranEnc,Translation repository,https://quranenc.com/en/home,Official publisher platform,80+ languages; versioned translations; downloadable formats,2026-09-10,Edition terms apply
S13,QuranEnc,API and republishing policies,https://quranenc.com/en/home/api,Official API/policy,Endpoints; no modification; attribution/version/update duties,2026-09-10,Core legal evidence
S14,King Fahd Complex,Hafs recitation downloads,https://qurancomplex.gov.sa/category/moratal/hafs/,Official audio catalogue,Approved reciters and downloads,2026-09-10,Archive recording-level rights page
S15,AlQuran.cloud,API,https://alquran.cloud/api,Official service docs,Keyless Quran API and editions,2026-09-10,Aggregator/source terms apply
S16,AlQuran.cloud,Contributors,https://alquran.cloud/contributors,Official provenance page,Tanzil/Quran Academy texts and named audio contributors,2026-09-10,Use edition-level provenance
S17,AlQuran.cloud,Terms and conditions,https://alquran.cloud/terms-and-conditions,Official legal terms,"2026 text/API/audio reuse conditions, attribution, removal rights",2026-09-10,Not a blanket underlying-rights grant
S18,MP3Quran,API v3,https://www.mp3quran.net/ar/api/2,Official API docs,"Reciters, chapters, ayah/range and radio endpoints",2026-09-10,Recording-level check advised
S19,MP3Quran,Contact / permissions,https://www.mp3quran.net/eng/contact-us,Official permissions statement,Broad permission to copy site material/use URLs,2026-09-10,Seek written commercial/offline confirmation
S20,MP3Quran,English site,https://www.mp3quran.net/eng/,Official catalogue,Reciter library and supported interface languages,2026-09-10,Reference/streaming
S21,Tarteel / QUL,Quranic Universal Library,https://qul.tarteel.ai/,Official data catalogue,"Scripts, translations, audio, Tajwid, morphology and metadata",2026-09-10,Dataset-specific licenses
S22,Tarteel / QUL,Documentation,https://qul.tarteel.ai/docs,Official docs,Data model and resource guides,2026-09-10,Dataset-specific licenses
S23,Tarteel / QUL,FAQ,https://qul.tarteel.ai/docs/faq,Official docs,"Downloads, self-hosting and commercial license cautions",2026-09-10,Core licensing caveat
