id,category,name,url,status,finalUrl,title,description,reuse,fetchedAt,fetchError
"quran-foundation-api","quran-data","Quran Foundation API","https://api-docs.quran.com/docs/api-reference/","200","https://api-docs.quran.com/docs/api-reference/","API Reference | Quran Foundation Documentation Portal","Choose the right Quran Foundation API reference for content, search, OAuth2, User APIs, and pre-live user API validation.","API terms and source-specific licenses apply","2026-09-10T18:26:32.033Z",""
"quran-foundation-connected-apps","quran-data","Quran Foundation Connected Apps","https://api-docs.quran.com/docs/connected-apps/","200","https://api-docs.quran.com/docs/connected-apps/","Connected Apps | Quran Foundation Documentation Portal","Partner and developer guide for Quran Foundation Connected Apps discovery, listing review, visibility, user consent, and responsible integration.","Approved endpoints or written license; attribution required","2026-09-10T18:26:34.208Z",""
"tanzil-text","quran-data","Tanzil Quran Text","https://tanzil.net/docs/Text_License","200","https://tanzil.net/docs/Text_License","Text License - Tanzil Documents","","CC BY 3.0; verbatim text only; attribution and update link required","2026-09-10T18:26:40.154Z",""
"quranenc","quran-translation","QuranEnc Translations","https://quranenc.com/en/home","200","https://quranenc.com/en/home","Encyclopedia of the Noble Quran","Encyclopedia of the Noble Quran","Edition-specific conditions; preserve attribution, version and text integrity","2026-09-10T18:26:51.720Z",""
"kfgqpc-audio","quran-audio","King Fahd Complex Recitations","https://qurancomplex.gov.sa/category/moratal/hafs/","","https://qurancomplex.gov.sa/category/moratal/hafs/","King Fahd Complex Recitations","","Verify the grant for each exact recording and retain source and reciter attribution","2026-09-10T18:27:02.225Z","fetch failed"
"quran-com","quran-reader","Quran.com","https://quran.com/","200","https://quran.com/","Read, Listen & Study the Noble Quran - Quran.com","Read the Quran in Arabic with translations, tafsir, word-by-word study, recitations, search, and reading tools for free in many languages at Quran.com...","Use Quran Foundation APIs and applicable content licenses","2026-09-10T18:27:07.583Z",""
"quranic-arabic-corpus","quranic-arabic","Quranic Arabic Corpus","https://corpus.quran.com/","200","https://corpus.quran.com/","The Quranic Arabic Corpus - Word by Word Grammar, Syntax and Morphology of the Holy Quran","","Verify corpus copyright and attribution before integration","2026-09-10T18:27:09.512Z",""
"tarteel","memorization","Tarteel","https://tarteel.ai/en/pricing","200","https://tarteel.ai/pricing","Pricing","Whether you’re starting your Quran memorization or trying to revise your hifz, Tarteel AI’s flexible pricing plans have been crafted to give you a boost at every stage of the journey!","Reference product behavior only; no content reuse without permission","2026-09-10T18:27:15.056Z",""
"tarteel-help","memorization","Tarteel Help Center","https://support.tarteel.ai/en/collections/15105266-tarteel-features","200","https://support.tarteel.ai/en/collections/15105266-tarteel-features","Tarteel Features | Tarteel Help Center","Guides explaining the Tarteel app&#x27;s features","Reference product behavior only","2026-09-10T18:27:21.568Z",""
"quranly","habit","Quranly","https://www.quranly.app/","200","https://www.quranly.app/","Quranly - The world","Transform your Quranic journey with Quranly, the world","Reference product behavior only","2026-09-10T18:27:24.350Z",""
"qariah","recitation","Qariah","https://qariah.app/","200","https://qariah.org/","Qariah - A Quran App for Our Daughters","Qariah translates to a woman Quran reciter. The app makes Qariah recitations easily accessible, featuring over 60 women from around the world.","Obtain permission for recitations and curriculum assets","2026-09-10T18:27:27.135Z",""
"madinah-arabic-reading","arabic-reading","Madinah Arabic Reading Course","https://madinaharabic.com/free-content/reading","200","https://madinaharabic.com/free-content/reading","Arabic Reading Course – Madinah Arabic","","Free access does not imply reuse; verify written terms","2026-09-10T18:27:28.645Z",""
"duolingo-writing-systems","pedagogy","Duolingo Writing Systems","https://blog.duolingo.com/learning-other-writing-systems/","200","https://blog.duolingo.com/learning-other-writing-systems/","Tools for learning to read other writing systems","We’ve got the tools to teach you Cyrillic, Hangeul, and eight other writing systems!","Reference pedagogy only","2026-09-10T18:27:30.581Z",""
"seekersguidance-academy","islamic-studies","SeekersGuidance Academy","https://academy.seekersguidance.org/?redirect=0&track=odc","403","https://academy.seekersguidance.org/?redirect=0&track=odc","Just a moment...","","Free enrollment does not imply redistribution; seek permission","2026-09-10T18:27:33.871Z",""
"seekersguidance-curriculum","islamic-studies","SeekersGuidance Curriculum","https://seekersguidance.org/articles/teaching/seekershub-steps-curriculum/","200","https://seekersguidance.org/articles/teaching/seekershub-steps-curriculum/","The SeekersGuidance Steps Curriculum Explained","The SeekersGuidance Steps Curriculum allows you to navigate your journey from an absolute beginner in the Islamic sciences to scholarship and mastery.","Reference structure; seek permission for course content","2026-09-10T18:27:35.778Z",""
"yaqeen-curriculum","islamic-studies","Yaqeen Curriculum","https://yaqeeninstitute.org/curriculum","200","https://yaqeeninstitute.org/curriculum","Islamic Curriculum | Yaqeen Institute for Islamic Research","Yaqeen Curriculum™ is scholar-approved, teacher-developed Islamic studies material covering principles of faith, ethics, and prophethood — designed for high school and middle school students in Islamic schools, weekend schools, and homeschools.","Proprietary teaching material; license or partnership required","2026-09-10T18:27:38.055Z",""
"bayyinah-tv","quranic-arabic","Bayyinah TV","https://bayyinahtv.com/","200","https://bayyinahtv.com/","Bayyinah TV","","Subscription content; partnership or license required","2026-09-10T18:27:39.969Z",""
"arabic101","tajwid-arabic","Arabic101","https://arabic101.org/","200","https://arabic101.org/","Arabic101 &#8211; The Official Website of Arabic101","","Reference public curriculum; request permission for assets or lesson reuse","2026-09-10T18:27:41.918Z",""
